NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCARB1	NA	418	0.15977078676223755	-0.0086021	Yes	
row_1	MAPK13	NA	533	0.14984041452407837	0.0012625791	Yes	
row_2	AGR2	NA	704	0.13640707731246948	0.0059717116	Yes	
row_3	GPER1	NA	726	0.13576160371303558	0.020217098	Yes	
row_4	MEST	NA	736	0.13478563725948334	0.035124335	Yes	
row_5	SCNN1A	NA	745	0.13408388197422028	0.050015435	Yes	
row_6	PCP4	NA	836	0.12908002734184265	0.059042603	Yes	
row_7	DLG5	NA	873	0.12710393965244293	0.071325675	Yes	
row_8	TMPRSS3	NA	934	0.12466756254434586	0.081780806	Yes	
row_9	TPD52L1	NA	1270	0.11007983982563019	0.072822355	Yes	
row_10	ASS1	NA	1305	0.10889946669340134	0.083142616	Yes	
row_11	PRSS23	NA	1379	0.10637930035591125	0.090657815	Yes	
row_12	PERP	NA	1586	0.09971150010824203	0.088828415	Yes	
row_13	CPE	NA	1630	0.0984797403216362	0.097370885	Yes	
row_14	PDLIM3	NA	1702	0.09641139954328537	0.10386971	Yes	
row_15	SULT2B1	NA	1939	0.08995912969112396	0.09898471	Yes	
row_16	OVOL2	NA	1954	0.08948193490505219	0.10836376	Yes	
row_17	HPRT1	NA	2000	0.08825845271348953	0.11560275	Yes	
row_18	TRIM29	NA	2023	0.08762626349925995	0.12425257	Yes	
row_19	CCND1	NA	2179	0.08338607102632523	0.12383675	Yes	
row_20	TPBG	NA	2225	0.08239489793777466	0.13040197	Yes	
row_21	SCUBE2	NA	2433	0.0777619332075119	0.12598592	Yes	
row_22	RET	NA	2469	0.07687582820653915	0.13256197	Yes	
row_23	CHPT1	NA	2673	0.07217983901500702	0.1277625	Yes	
row_24	GLA	NA	2709	0.07139377295970917	0.13370861	Yes	
row_25	MAPT	NA	2734	0.07087169587612152	0.14030424	Yes	
row_26	FRK	NA	2843	0.06893754750490189	0.14125966	Yes	
row_27	CLIC3	NA	2950	0.06672270596027374	0.14208958	Yes	
row_28	KLF4	NA	3035	0.06541095674037933	0.14418775	Yes	
row_29	SLC26A2	NA	3040	0.06532610207796097	0.15143615	Yes	
row_30	FARP1	NA	3089	0.06448774039745331	0.15575023	Yes	
row_31	PTGER3	NA	3101	0.06426037102937698	0.16242465	Yes	
row_32	ST14	NA	3242	0.061984606087207794	0.16051716	Yes	
row_33	LARGE1	NA	3257	0.06176039204001427	0.16671082	Yes	
row_34	PGR	NA	3317	0.06079242378473282	0.16989079	Yes	
row_35	TH	NA	3346	0.06037241593003273	0.17502199	Yes	
row_36	RPS6KA2	NA	3502	0.05795874074101448	0.1716844	Yes	
row_37	NAB2	NA	3647	0.0555465929210186	0.16877913	Yes	
row_38	LAMC2	NA	3693	0.054686274379491806	0.17216045	Yes	
row_39	TJP3	NA	3739	0.05401573330163956	0.17546473	Yes	
row_40	IMPA2	NA	3810	0.05299757048487663	0.17703952	Yes	
row_41	PKP3	NA	3892	0.05172412097454071	0.1777585	Yes	
row_42	SLC9A3R1	NA	4200	0.046970512717962265	0.16335437	No	
row_43	ELOVL5	NA	4206	0.046873413026332855	0.16841793	No	
row_44	CALCR	NA	4223	0.046594373881816864	0.17273992	No	
row_45	DNAJC1	NA	4345	0.04488186910748482	0.1700927	No	
row_46	LLGL2	NA	4725	0.03897576034069061	0.15012597	No	
row_47	UNC13B	NA	4746	0.03868050500750542	0.1532806	No	
row_48	CCNA1	NA	4787	0.038167476654052734	0.15508631	No	
row_49	CD9	NA	4865	0.037255268543958664	0.15440072	No	
row_50	METTL3	NA	4874	0.0371442474424839	0.15815283	No	
row_51	PDCD4	NA	4909	0.03659125417470932	0.16016443	No	
row_52	FOS	NA	5065	0.03452203795313835	0.15413381	No	
row_53	HSPB8	NA	5347	0.030480794608592987	0.13951188	No	
row_54	MDK	NA	5348	0.030472051352262497	0.14301333	No	
row_55	RABEP1	NA	5438	0.029289064928889275	0.14063837	No	
row_56	CCN5	NA	5557	0.027498438954353333	0.13618718	No	
row_57	TSPAN13	NA	5627	0.026559889316558838	0.13478862	No	
row_58	PRKAR2B	NA	5790	0.0241959560662508	0.12711997	No	
row_59	BCL2	NA	6173	0.018959078937768936	0.104659684	No	
row_60	GAL	NA	6265	0.01752755045890808	0.100804254	No	
row_61	ASCL1	NA	6403	0.01574218086898327	0.0937767	No	
row_62	PRLR	NA	6488	0.014541804790496826	0.090029694	No	
row_63	RBBP8	NA	6575	0.013262219727039337	0.08600665	No	
row_64	HOMER2	NA	6589	0.013057186268270016	0.08666851	No	
row_65	STIL	NA	6632	0.012483393773436546	0.08539396	No	
row_66	NMU	NA	6673	0.011823976412415504	0.08417263	No	
row_67	KCNK5	NA	6693	0.01163741946220398	0.08428435	No	
row_68	PPIF	NA	6719	0.011332622729241848	0.083974056	No	
row_69	SIAH2	NA	6849	0.00950580183416605	0.0767459	No	
row_70	KIF20A	NA	6891	0.008988077752292156	0.0751342	No	
row_71	CHST8	NA	7032	0.007385799661278725	0.06695295	No	
row_72	SLC7A5	NA	7055	0.007126646116375923	0.06635286	No	
row_73	SFN	NA	7072	0.006924283690750599	0.06611651	No	
row_74	ST6GALNAC2	NA	7166	0.0055457353591918945	0.0607553	No	
row_75	CAV1	NA	7175	0.005420001223683357	0.060862098	No	
row_76	GINS2	NA	7260	0.004565922077745199	0.055968795	No	
row_77	GALE	NA	7328	0.003703318303450942	0.052072864	No	
row_78	CXCL14	NA	7417	0.0025027887895703316	0.046684496	No	
row_79	WFS1	NA	7477	0.0018666046671569347	0.043093514	No	
row_80	TNNC1	NA	7502	0.0014850585721433163	0.041716166	No	
row_81	SNX10	NA	7665	-7.167506846599281E-4	0.03134961	No	
row_82	HMGCS2	NA	7817	-0.0025885743089020252	0.021907631	No	
row_83	EMP2	NA	7826	-0.0026889569126069546	0.021700613	No	
row_84	SLC16A1	NA	7844	-0.002896759659051895	0.020936979	No	
row_85	ATP2B4	NA	7874	-0.0032449059654027224	0.019439355	No	
row_86	BATF	NA	8029	-0.005494008772075176	0.010137729	No	
row_87	FAM102A	NA	8198	-0.007637119386345148	1.7936938E-4	No	
row_88	RAPGEFL1	NA	8224	-0.008079783990979195	-5.0469895E-4	No	
row_89	MYB	NA	8278	-0.008779957890510559	-0.0029142986	No	
row_90	ADD3	NA	8460	-0.011368759907782078	-0.013282362	No	
row_91	JAK2	NA	8553	-0.012504122219979763	-0.017779512	No	
row_92	TOP2A	NA	8863	-0.016321711242198944	-0.035834383	No	
row_93	JAK1	NA	9019	-0.01834217645227909	-0.04372417	No	
row_94	XRCC3	NA	9109	-0.019467609003186226	-0.047227673	No	
row_95	IDH2	NA	9130	-0.019729452207684517	-0.046250623	No	
row_96	OLFM1	NA	9298	-0.022081678733229637	-0.05448471	No	
row_97	SLC24A3	NA	9392	-0.023204177618026733	-0.057816856	No	
row_98	ITPK1	NA	9425	-0.023598546162247658	-0.057169214	No	
row_99	GJB3	NA	9434	-0.023715639486908913	-0.05496013	No	
row_100	CD44	NA	9593	-0.025937817990779877	-0.06217063	No	
row_101	ID2	NA	9646	-0.02666565589606762	-0.06246055	No	
row_102	DYNLT3	NA	10029	-0.03186843916773796	-0.083437465	No	
row_103	FKBP4	NA	10168	-0.033778201788663864	-0.08845706	No	
row_104	ABCA3	NA	10272	-0.03509474918246269	-0.091067895	No	
row_105	PLK4	NA	10276	-0.03513046354055405	-0.087224685	No	
row_106	CDC6	NA	10282	-0.035218920558691025	-0.0835003	No	
row_107	ACOX2	NA	10284	-0.035254936665296555	-0.07951378	No	
row_108	CDC20	NA	10345	-0.036293938755989075	-0.07921334	No	
row_109	ARL3	NA	10372	-0.03653411194682121	-0.07669233	No	
row_110	TFPI2	NA	10412	-0.03696399927139282	-0.07496041	No	
row_111	CACNA2D2	NA	10495	-0.0381169319152832	-0.075869486	No	
row_112	DHCR7	NA	10513	-0.03829874098300934	-0.07256521	No	
row_113	SGK1	NA	10599	-0.03941003605723381	-0.0735192	No	
row_114	TOB1	NA	10608	-0.039527419954538345	-0.06949324	No	
row_115	FOXC1	NA	10672	-0.040330562740564346	-0.068922475	No	
row_116	FLNB	NA	10677	-0.04038763791322708	-0.06453967	No	
row_117	SLC29A1	NA	10708	-0.040904924273490906	-0.061774418	No	
row_118	ALDH3A2	NA	10792	-0.04173608869314194	-0.062332135	No	
row_119	CKB	NA	10984	-0.044920239597558975	-0.06948991	No	
row_120	SLC22A5	NA	11206	-0.04847279191017151	-0.078174464	No	
row_121	CXCL12	NA	11224	-0.048855870962142944	-0.0736571	No	
row_122	NCOR2	NA	11261	-0.0495234914124012	-0.070288524	No	
row_123	PAPSS2	NA	11477	-0.05300243943929672	-0.07806559	No	
row_124	SORD	NA	11485	-0.05313824489712715	-0.072411165	No	
