NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMM2	NA	319	0.1717212051153183	-0.0024486026	No	
row_1	KDELR3	NA	501	0.15187302231788635	0.0019127781	No	
row_2	ECD	NA	729	0.13549819588661194	0.0015754887	No	
row_3	ABCB6	NA	902	0.1258513331413269	0.0037689009	No	
row_4	ANKZF1	NA	1229	0.11155541986227036	-0.0054871878	No	
row_5	QSOX1	NA	1254	0.11056961119174957	0.004644003	No	
row_6	SAP30	NA	1291	0.10945970565080643	0.013883455	No	
row_7	XYLT2	NA	1319	0.10855360329151154	0.023608059	No	
row_8	ERO1A	NA	1324	0.10844839364290237	0.034805994	No	
row_9	FUT8	NA	1383	0.1059885323047638	0.042258855	No	
row_10	GNPDA1	NA	1743	0.09533234685659409	0.029159164	No	
row_11	ME2	NA	1804	0.0937986969947815	0.035195254	No	
row_12	AK3	NA	1943	0.08988693356513977	0.035783917	No	
row_13	CAPN5	NA	2051	0.0867265835404396	0.0380395	No	
row_14	LHPP	NA	2219	0.08249340951442719	0.035975445	No	
row_15	TPBG	NA	2225	0.08239489793777466	0.04435664	No	
row_16	GNE	NA	2318	0.08023334294557571	0.04689442	No	
row_17	HAX1	NA	2633	0.07314231246709824	0.034355003	No	
row_18	LHX9	NA	2705	0.0714225023984909	0.0373174	No	
row_19	IGFBP3	NA	2793	0.06970953196287155	0.039066188	No	
row_20	SRD5A3	NA	2804	0.06943614035844803	0.045755763	No	
row_21	VLDLR	NA	2856	0.06875839829444885	0.049727555	No	
row_22	GOT2	NA	2912	0.06744376569986343	0.053302314	No	
row_23	MDH2	NA	3004	0.06589610129594803	0.0543901	No	
row_24	NDUFV3	NA	3104	0.06421457231044769	0.054783925	No	
row_25	MPI	NA	3219	0.06242810934782028	0.054020923	No	
row_26	PRPS1	NA	3375	0.05992872267961502	0.050347704	No	
row_27	PKM	NA	3589	0.05641462281346321	0.042559884	No	
row_28	ANGPTL4	NA	3668	0.055174630135297775	0.043354128	No	
row_29	NASP	NA	3760	0.05373900756239891	0.043157686	No	
row_30	GOT1	NA	3961	0.05047951266169548	0.035581935	No	
row_31	GLCE	NA	3966	0.050437379628419876	0.040651795	No	
row_32	B4GALT2	NA	4470	0.04300722852349281	0.012730746	No	
row_33	FAM162A	NA	4471	0.042962007224559784	0.017269097	No	
row_34	MED24	NA	4535	0.042019814252853394	0.017641831	No	
row_35	ARTN	NA	4631	0.0403718464076519	0.01577516	No	
row_36	GAL3ST1	NA	4649	0.04013520106673241	0.018917702	No	
row_37	KIF2A	NA	4754	0.03855026513338089	0.016277738	No	
row_38	SDHC	NA	4866	0.037246380001306534	0.013048248	No	
row_39	RRAGD	NA	4887	0.036908719688653946	0.015656332	No	
row_40	AGL	NA	5034	0.03499579429626465	0.009930159	No	
row_41	CHPF	NA	5226	0.03213390335440636	9.973163E-4	No	
row_42	NANP	NA	5349	0.030458170920610428	-0.0036592074	No	
row_43	EFNA3	NA	5350	0.030440906062722206	-4.4353915E-4	No	
row_44	NT5E	NA	5363	0.030241549015045166	0.0019765762	No	
row_45	AGRN	NA	5749	0.02490975894033909	-0.020240374	No	
row_46	MET	NA	5808	0.02393357828259468	-0.021455502	No	
row_47	GPC1	NA	5955	0.02185468003153801	-0.028569855	No	
row_48	RARS1	NA	6136	0.01941235363483429	-0.0381366	No	
row_49	CHST1	NA	6178	0.018857328221201897	-0.03879077	No	
row_50	TXN	NA	6352	0.01620660535991192	-0.048244372	No	
row_51	BPNT1	NA	6360	0.01617024466395378	-0.046987996	No	
row_52	HOMER1	NA	6495	0.014412816613912582	-0.054113984	No	
row_53	COL5A1	NA	6828	0.009771646000444889	-0.07450939	No	
row_54	TGFBI	NA	6842	0.009606776759028435	-0.0743336	No	
row_55	KIF20A	NA	6891	0.008988077752292156	-0.07648211	No	
row_56	DLD	NA	6958	0.008244196884334087	-0.07987093	No	
row_57	SLC35A3	NA	7085	0.0067313970066607	-0.08729203	No	
row_58	CASP6	NA	7137	0.005955586675554514	-0.0899545	No	
row_59	SLC16A3	NA	7191	0.005216920282691717	-0.09282409	No	
row_60	GALE	NA	7328	0.003703318303450942	-0.10121047	No	
row_61	B3GAT1	NA	7392	0.0027652753051370382	-0.10498445	No	
row_62	P4HA2	NA	7405	0.002612302778288722	-0.10548299	No	
row_63	AURKA	NA	7586	3.181025676894933E-4	-0.117066786	No	
row_64	CACNA1H	NA	7593	1.5852641081437469E-4	-0.11743728	No	
row_65	GALK2	NA	7670	-7.814214914105833E-4	-0.12225986	No	
row_66	GFPT1	NA	7709	-0.0012682249071076512	-0.12457845	No	
row_67	P4HA1	NA	7761	-0.0018763082334771752	-0.12767184	No	
row_68	UGP2	NA	7764	-0.001916196895763278	-0.12759851	No	
row_69	PDK3	NA	8008	-0.0052289338782429695	-0.14272963	No	
row_70	PAXIP1	NA	8193	-0.007607258856296539	-0.15380159	No	
row_71	MXI1	NA	8297	-0.008988451212644577	-0.15949982	No	
row_72	TALDO1	NA	8324	-0.00948367454111576	-0.16017607	No	
row_73	SOX9	NA	8357	-0.009985833428800106	-0.16118652	No	
row_74	VCAN	NA	8365	-0.01007769163697958	-0.16057374	No	
row_75	DPYSL4	NA	8366	-0.010106748901307583	-0.15950608	No	
row_76	HS6ST2	NA	8435	-0.01111358031630516	-0.16272089	No	
row_77	ELF3	NA	8450	-0.01127421110868454	-0.16243349	No	
row_78	PFKP	NA	8538	-0.012339171953499317	-0.16674511	No	
row_79	ALDH7A1	NA	8607	-0.013169314712285995	-0.16974275	No	
row_80	AK4	NA	8885	-0.016656702384352684	-0.18586108	No	
row_81	PPFIA4	NA	8910	-0.016988007351756096	-0.18561551	No	
row_82	TPI1	NA	9136	-0.01984773762524128	-0.19804062	No	
row_83	PGAM1	NA	9188	-0.020643368363380432	-0.19915152	No	
row_84	EGLN3	NA	9265	-0.021607114002108574	-0.20177415	No	
row_85	CHPF2	NA	9496	-0.024607187137007713	-0.2140192	No	
row_86	CD44	NA	9593	-0.025937817990779877	-0.21747516	No	
row_87	IL13RA1	NA	9608	-0.02615499682724476	-0.21561581	No	
row_88	TGFA	NA	9698	-0.02719893865287304	-0.21848677	No	
row_89	B4GALT4	NA	9869	-0.029593972489237785	-0.22633256	No	
row_90	IDUA	NA	9974	-0.031032133847475052	-0.22976671	No	
row_91	ALG1	NA	9991	-0.031202413141727448	-0.22750326	No	
row_92	HMMR	NA	10068	-0.03247557207942009	-0.22897778	No	
row_93	CDK1	NA	10100	-0.0330439917743206	-0.2274879	No	
row_94	FKBP4	NA	10168	-0.033778201788663864	-0.22824396	No	
row_95	CITED2	NA	10415	-0.037006866186857224	-0.2402118	Yes	
row_96	GALK1	NA	10437	-0.03722914680838585	-0.2376344	Yes	
row_97	POLR3K	NA	10444	-0.03730614855885506	-0.23408076	Yes	
row_98	PPIA	NA	10465	-0.037693090736866	-0.23138982	Yes	
