NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNTFR	NA	739	0.13462507724761963	0.025272131	Yes	
row_1	PTCH1	NA	980	0.1230284571647644	0.076231025	Yes	
row_2	RTN1	NA	1555	0.10076051950454712	0.09380876	Yes	
row_3	THY1	NA	2108	0.08525221794843674	0.10443467	Yes	
row_4	SLIT1	NA	2382	0.07894197106361389	0.12951611	Yes	
row_5	VLDLR	NA	2856	0.06875839829444885	0.13630717	Yes	
row_6	CRMP1	NA	3055	0.06498054414987564	0.15866284	Yes	
row_7	RASA1	NA	3203	0.06264609098434448	0.18302432	Yes	
row_8	AMOT	NA	3456	0.058694325387477875	0.19853513	Yes	
row_9	PML	NA	4065	0.04915037751197815	0.1861157	Yes	
row_10	HEY1	NA	4327	0.04510640725493431	0.19372575	Yes	
row_11	MYH9	NA	4566	0.04145960882306099	0.20084204	Yes	
row_12	OPHN1	NA	5189	0.03269925341010094	0.1786584	No	
row_13	UNC5C	NA	5425	0.02954709529876709	0.17954512	No	
row_14	ETS2	NA	5839	0.023393217474222183	0.1657218	No	
row_15	SCG2	NA	6362	0.016145972535014153	0.14101534	No	
row_16	GLI1	NA	6502	0.014282631687819958	0.13981798	No	
row_17	NRCAM	NA	6760	0.010659817606210709	0.12911522	No	
row_18	SHH	NA	6892	0.008981849998235703	0.12557246	No	
row_19	NKX6-1	NA	7100	0.0065439254976809025	0.11585118	No	
row_20	DPYSL2	NA	7253	0.004605525638908148	0.10860522	No	
row_21	LDB1	NA	7395	0.0027367521543055773	0.10105592	No	
row_22	CDK6	NA	8304	-0.009145076386630535	0.047869954	No	
row_23	TLE3	NA	9174	-0.020490217953920364	0.0032958777	No	
row_24	VEGFA	NA	10550	-0.038776662200689316	-0.06380676	No	
row_25	CELSR1	NA	10598	-0.039403174072504044	-0.04557423	No	
row_26	CDK5R1	NA	12466	-0.06905239820480347	-0.1278464	No	
row_27	NRP2	NA	12506	-0.06971874833106995	-0.092759885	No	
row_28	HEY2	NA	12789	-0.07484746724367142	-0.070461676	No	
row_29	NRP1	NA	13768	-0.09734097123146057	-0.080584936	No	
row_30	PLG	NA	14349	-0.11452354490756989	-0.055972107	No	
row_31	TLE1	NA	14361	-0.11476730555295944	0.005190457	No	
row_32	NF1	NA	14997	-0.14401103556156158	0.042178623	No	
