NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS1	NA	351	0.16692045331001282	0.021190824	Yes	
row_1	IL12RB1	NA	446	0.15626387298107147	0.056066684	Yes	
row_2	STAT2	NA	461	0.15509046614170074	0.095763616	Yes	
row_3	IL7	NA	497	0.1521238535642624	0.13333789	Yes	
row_4	CNTFR	NA	739	0.13462507724761963	0.15312679	Yes	
row_5	IL2RA	NA	947	0.12412384897470474	0.17234653	Yes	
row_6	STAT1	NA	1432	0.10434568673372269	0.168633	Yes	
row_7	IRF1	NA	1488	0.10275264829397202	0.19200249	Yes	
row_8	TNFRSF21	NA	1929	0.09023164957761765	0.18741517	Yes	
row_9	FAS	NA	2131	0.08458035439252853	0.19666916	Yes	
row_10	JUN	NA	2230	0.08228091895580292	0.21192384	Yes	
row_11	PIK3R5	NA	2364	0.07931903749704361	0.22415967	Yes	
row_12	CD38	NA	2519	0.07591120153665543	0.23415735	Yes	
row_13	HAX1	NA	2633	0.07314231246709824	0.24605851	Yes	
row_14	IFNGR2	NA	2649	0.07272165268659592	0.2641316	Yes	
row_15	IL6	NA	3247	0.06191210076212883	0.24206764	No	
row_16	STAT3	NA	3495	0.058092765510082245	0.24143988	No	
row_17	IL15RA	NA	3945	0.05081145465373993	0.22595754	No	
row_18	ACVRL1	NA	4737	0.03883586451411247	0.18541756	No	
row_19	LEPR	NA	4766	0.038396839052438736	0.19367293	No	
row_20	CD9	NA	4865	0.037255268543958664	0.1971423	No	
row_21	IL2RG	NA	5237	0.03200496360659599	0.18173744	No	
row_22	BAK1	NA	5767	0.024584367871284485	0.15426205	No	
row_23	OSMR	NA	5772	0.024534717202186584	0.16042751	No	
row_24	MYD88	NA	6534	0.013937507756054401	0.11529355	No	
row_25	CSF2RB	NA	6628	0.012554464861750603	0.112618096	No	
row_26	INHBE	NA	7693	-0.0011262954212725163	0.044707775	No	
row_27	CSF3R	NA	8071	-0.006052565295249224	0.022125348	No	
row_28	MAP3K8	NA	8123	-0.006860275752842426	0.020651769	No	
row_29	ACVR1B	NA	8265	-0.008575312793254852	0.013857865	No	
row_30	PDGFC	NA	8285	-0.008854479528963566	0.014957544	No	
row_31	IL10RB	NA	8549	-0.012468921020627022	0.0013622656	No	
row_32	PIM1	NA	8808	-0.0156487375497818	-0.011080195	No	
row_33	HMOX1	NA	9198	-0.020804021507501602	-0.030570714	No	
row_34	CD44	NA	9593	-0.025937817990779877	-0.049037993	No	
row_35	IL13RA1	NA	9608	-0.02615499682724476	-0.043089453	No	
row_36	A2M	NA	9971	-0.03100438043475151	-0.058179297	No	
row_37	CSF1	NA	10135	-0.0334632508456707	-0.05986913	No	
row_38	CBL	NA	10357	-0.036447007209062576	-0.06449592	No	
row_39	CD36	NA	10629	-0.03987713158130646	-0.07143002	No	
row_40	ITGB3	NA	10662	-0.04018804430961609	-0.06296223	No	
row_41	ITGA4	NA	10743	-0.04127230867743492	-0.05728756	No	
row_42	PTPN2	NA	10806	-0.04202067479491234	-0.05026316	No	
row_43	IL17RA	NA	11408	-0.05199291557073593	-0.07517984	No	
row_44	DNTT	NA	11414	-0.05207141488790512	-0.061870847	No	
row_45	TLR2	NA	12438	-0.0686667263507843	-0.1094745	No	
row_46	IFNAR1	NA	12822	-0.07564572989940643	-0.11422579	No	
row_47	PTPN1	NA	13100	-0.0812784880399704	-0.11070785	No	
row_48	IL4R	NA	13103	-0.08133778721094131	-0.08954618	No	
row_49	IFNGR1	NA	13159	-0.08257309347391129	-0.071458615	No	
row_50	GRB2	NA	13298	-0.08542675524950027	-0.057944626	No	
row_51	IL6ST	NA	14113	-0.10734185576438904	-0.08202777	No	
row_52	TNFRSF1A	NA	14236	-0.11123958230018616	-0.060731724	No	
row_53	IL18R1	NA	14568	-0.12174662202596664	-0.050082933	No	
row_54	PTPN11	NA	14669	-0.12614068388938904	-0.023476321	No	
row_55	SOCS3	NA	15184	-0.1572694033384323	-0.0152603425	No	
row_56	STAM2	NA	15343	-0.17365135252475739	0.020064067	No	
