NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPSTI1	NA	5	0.3206617534160614	0.06288907	Yes	
row_1	CMPK2	NA	60	0.2360515594482422	0.105960004	Yes	
row_2	USP18	NA	66	0.23062081634998322	0.15110004	Yes	
row_3	MOV10	NA	68	0.23033758997917175	0.19644053	Yes	
row_4	UBE2L6	NA	102	0.21898797154426575	0.23749341	Yes	
row_5	OGFR	NA	113	0.21370829641819	0.27897924	Yes	
row_6	IRF7	NA	272	0.17824885249137878	0.30399233	Yes	
row_7	RSAD2	NA	305	0.1734752655029297	0.33613774	Yes	
row_8	TRAFD1	NA	431	0.15847669541835785	0.35936773	Yes	
row_9	STAT2	NA	461	0.15509046614170074	0.3880813	Yes	
row_10	IL7	NA	497	0.1521238535642624	0.41582566	Yes	
row_11	PROCR	NA	500	0.1520630419254303	0.44567245	Yes	
row_12	IFI35	NA	756	0.13351373374462128	0.45565212	Yes	
row_13	DHX58	NA	792	0.13172462582588196	0.47937533	Yes	
row_14	EIF2AK2	NA	848	0.12847556173801422	0.5011766	Yes	
row_15	CD74	NA	1016	0.12115855515003204	0.5143593	Yes	
row_16	NMI	NA	1029	0.12061014026403427	0.5373653	Yes	
row_17	TRIM14	NA	1163	0.11433585733175278	0.5513816	Yes	
row_18	CMTR1	NA	1242	0.11107880622148514	0.56827986	Yes	
row_19	CNP	NA	1337	0.1078561544418335	0.58351773	Yes	
row_20	IRF2	NA	1447	0.10373607277870178	0.59698236	Yes	
row_21	PARP9	NA	1449	0.10358679294586182	0.61733747	Yes	
row_22	IRF1	NA	1488	0.10275264829397202	0.63515747	Yes	
row_23	IFIH1	NA	1811	0.09363695234060287	0.6329836	No	
row_24	IFI30	NA	2331	0.08000737428665161	0.6155005	No	
row_25	IL15	NA	2678	0.07213731110095978	0.6075508	No	
row_26	NUB1	NA	2708	0.07140453904867172	0.619768	No	
row_27	WARS1	NA	3005	0.06588681787252426	0.6137899	No	
row_28	TMEM140	NA	3305	0.061008792370557785	0.60665804	No	
row_29	LAP3	NA	3544	0.05722564086318016	0.6026889	No	
row_30	ADAR	NA	3629	0.055828966200351715	0.6083118	No	
row_31	LPAR6	NA	4106	0.048482637852430344	0.5873696	No	
row_32	PNPT1	NA	4201	0.0469571091234684	0.590603	No	
row_33	CD47	NA	4933	0.03629554808139801	0.55091965	No	
row_34	GMPR	NA	5377	0.030097834765911102	0.5284679	No	
row_35	MVB12A	NA	6261	0.017611049115657806	0.47536224	No	
row_36	HELZ2	NA	6620	0.012652076780796051	0.45491782	No	
row_37	TENT5A	NA	7206	0.005074756685644388	0.418435	No	
row_38	ELF1	NA	8532	-0.012242678552865982	0.3359505	No	
row_39	RIPK2	NA	8568	-0.012747261673212051	0.33622068	No	
row_40	SLC25A28	NA	8751	-0.014835290610790253	0.3274836	No	
row_41	LAMP3	NA	9667	-0.026888297870755196	0.27415633	No	
row_42	PARP12	NA	9787	-0.02846258319914341	0.27214214	No	
row_43	CSF1	NA	10135	-0.0334632508456707	0.25650486	No	
row_44	TDRD7	NA	10443	-0.037291690707206726	0.24418521	No	
row_45	C1S	NA	11938	-0.05995164439082146	0.16027671	No	
row_46	UBA7	NA	12663	-0.07275902479887009	0.12822966	No	
row_47	IL4R	NA	13103	-0.08133778721094131	0.11613471	No	
row_48	NCOA7	NA	13947	-0.10231593251228333	0.0822892	No	
row_49	PSMA3	NA	14881	-0.13772621750831604	0.049657173	No	
