NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPSTI1	NA	5	0.3206617534160614	0.03550372	Yes	
row_1	DDX58	NA	43	0.25498631596565247	0.061610468	Yes	
row_2	CMPK2	NA	60	0.2360515594482422	0.08695328	Yes	
row_3	USP18	NA	66	0.23062081634998322	0.1123973	Yes	
row_4	UBE2L6	NA	102	0.21898797154426575	0.13461089	Yes	
row_5	TOR1B	NA	105	0.2175992727279663	0.15879317	Yes	
row_6	OGFR	NA	113	0.21370829641819	0.18221894	Yes	
row_7	IRF7	NA	272	0.17824885249137878	0.19196494	Yes	
row_8	RSAD2	NA	305	0.1734752655029297	0.20928676	Yes	
row_9	SOCS1	NA	351	0.16692045331001282	0.22503962	Yes	
row_10	TRAFD1	NA	431	0.15847669541835785	0.2376609	Yes	
row_11	STAT2	NA	461	0.15509046614170074	0.2531218	Yes	
row_12	IL7	NA	497	0.1521238535642624	0.2678651	Yes	
row_13	RNF213	NA	509	0.15123865008354187	0.28405407	Yes	
row_14	IFI35	NA	756	0.13351373374462128	0.28313857	Yes	
row_15	DHX58	NA	792	0.13172462582588196	0.2956028	Yes	
row_16	FGL2	NA	806	0.13073572516441345	0.3093724	Yes	
row_17	EIF2AK2	NA	848	0.12847556173801422	0.32108748	Yes	
row_18	CD74	NA	1016	0.12115855515003204	0.3238759	Yes	
row_19	NMI	NA	1029	0.12061014026403427	0.3365786	Yes	
row_20	TRIM14	NA	1163	0.11433585733175278	0.34079298	Yes	
row_21	CMTR1	NA	1242	0.11107880622148514	0.34818316	Yes	
row_22	STAT1	NA	1432	0.10434568673372269	0.34767732	Yes	
row_23	IRF2	NA	1447	0.10373607277870178	0.35836607	Yes	
row_24	UPP1	NA	1452	0.10348710417747498	0.3696706	Yes	
row_25	IRF1	NA	1488	0.10275264829397202	0.37889796	Yes	
row_26	CIITA	NA	1595	0.09946946054697037	0.38318908	Yes	
row_27	CASP7	NA	1746	0.0952298566699028	0.38417476	Yes	
row_28	MTHFD2	NA	1801	0.09384757280349731	0.3911844	Yes	
row_29	IFIH1	NA	1811	0.09363695234060287	0.40106663	Yes	
row_30	CD86	NA	1901	0.09114532917737961	0.40552184	Yes	
row_31	ARL4A	NA	2011	0.0879286378622055	0.40833047	Yes	
row_32	FAS	NA	2131	0.08458035439252853	0.41012147	Yes	
row_33	IFI30	NA	2331	0.08000737428665161	0.4062529	Yes	
row_34	XAF1	NA	2340	0.07985404878854752	0.4146596	Yes	
row_35	PLA2G4A	NA	2429	0.07784716039896011	0.41769344	Yes	
row_36	VCAM1	NA	2484	0.07660126686096191	0.42277625	Yes	
row_37	CD38	NA	2519	0.07591120153665543	0.42906916	Yes	
row_38	SRI	NA	2520	0.07588648051023483	0.43754748	Yes	
