NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NGB	NA	58	0.23803915083408356	0.024662297	Yes	
row_1	TLX1	NA	88	0.22539015114307404	0.049682762	Yes	
row_2	INSL5	NA	114	0.2136293351650238	0.07355777	Yes	
row_3	RSAD2	NA	305	0.1734752655029297	0.08201943	Yes	
row_4	GPR19	NA	309	0.1730707734823227	0.1024725	Yes	
row_5	GPR3	NA	478	0.15362276136875153	0.10998232	Yes	
row_6	CHRNG	NA	669	0.13950373232364655	0.1143914	Yes	
row_7	CNTFR	NA	739	0.13462507724761963	0.12600885	Yes	
row_8	KLHDC8A	NA	811	0.13050433993339539	0.13700597	Yes	
row_9	THNSL2	NA	894	0.12609735131263733	0.14676914	Yes	
row_10	WNT16	NA	1050	0.11958172172307968	0.15105505	Yes	
row_11	ATP6V1B1	NA	1059	0.11933474987745285	0.16477585	Yes	
row_12	KCNMB1	NA	1387	0.10595743358135223	0.15636258	Yes	
row_13	ARPP21	NA	1453	0.10342898964881897	0.16451608	Yes	
row_14	BTG2	NA	1515	0.10182508826255798	0.17273577	Yes	
row_15	IFNG	NA	1612	0.09896747767925262	0.17836116	Yes	
row_16	SLC29A3	NA	1624	0.09858962893486023	0.18941404	Yes	
row_17	PTGFR	NA	1626	0.09853251278400421	0.20110394	Yes	
row_18	COQ8A	NA	1817	0.09356503933668137	0.20003285	Yes	
row_19	GDNF	NA	1821	0.09334482997655869	0.21097513	Yes	
row_20	EDAR	NA	2026	0.08744160085916519	0.20827216	Yes	
row_21	ITGB1BP2	NA	2060	0.08642812073230743	0.21645783	Yes	
row_22	CAPN9	NA	2061	0.08641834557056427	0.22676697	Yes	
row_23	SYNPO	NA	2142	0.08430676907300949	0.23167357	Yes	
row_24	TFCP2L1	NA	2149	0.08417025953531265	0.24132822	Yes	
row_25	SOX10	NA	2290	0.08083301037549973	0.24195744	Yes	
row_26	MYOT	NA	2342	0.07983803749084473	0.24819805	Yes	
row_27	HSD11B2	NA	2463	0.07710202038288116	0.24966983	Yes	
row_28	NOS1	NA	2514	0.07601084560155869	0.2555183	Yes	
row_29	GTF3C5	NA	2565	0.07457508891820908	0.26119542	Yes	
row_30	PTPRJ	NA	2595	0.07383164763450623	0.26813596	Yes	
row_31	CD40LG	NA	2606	0.07357697188854218	0.27626938	Yes	
row_32	TENM2	NA	2740	0.07083147019147873	0.27615616	Yes	
row_33	MTHFR	NA	2917	0.06739935278892517	0.272865	Yes	
row_34	SELENOP	NA	2972	0.06628512591123581	0.2772957	Yes	
row_35	MYO15A	NA	3115	0.06400829553604126	0.27578905	No	
row_36	HTR1B	NA	3338	0.06049646437168121	0.26871282	No	
row_37	ACTC1	NA	3472	0.05855688080191612	0.2671353	No	
row_38	DCC	NA	3625	0.05586199089884758	0.26401302	No	
row_39	TSHB	NA	3700	0.05453519523143768	0.26575437	No	
row_40	KCNE2	NA	4117	0.04830100014805794	0.24473295	No	
row_41	CACNG1	NA	4120	0.0482306182384491	0.25035778	No	
row_42	MAST3	NA	4175	0.04738903418183327	0.2525343	No	
row_43	GPRC5C	NA	4293	0.0455579049885273	0.25043622	No	
row_44	FGF16	NA	4310	0.045340318232774734	0.2548149	No	
row_45	FGF22	NA	4361	0.04454568400979042	0.25690973	No	
row_46	HNF1A	NA	4523	0.04221140593290329	0.25157958	No	
row_47	GRID2	NA	4653	0.040040481835603714	0.24805072	No	
row_48	CCNA1	NA	4787	0.038167476654052734	0.24404089	No	
row_49	SLC12A3	NA	4975	0.03577439859509468	0.23626888	No	
row_50	P2RY4	NA	5011	0.03527893126010895	0.23822401	No	
row_51	PLAG1	NA	5244	0.031944043934345245	0.22709782	No	
row_52	PKP1	NA	5526	0.027947014197707176	0.21234004	No	
row_53	SIDT1	NA	6063	0.020613042637705803	0.18028964	No	
row_54	FGGY	NA	6262	0.01760798506438732	0.16964228	No	
row_55	TGFB2	NA	6309	0.016889527440071106	0.16869546	No	
row_56	PDE6B	NA	6765	0.010576396249234676	0.1406628	No	
row_57	BARD1	NA	6791	0.010322058573365211	0.14028458	No	
row_58	ZBTB16	NA	6866	0.009299707598984241	0.13662961	No	
row_59	CAMK1D	NA	6886	0.00904279574751854	0.13648508	No	
row_60	PRKN	NA	7106	0.006410612259060144	0.1231499	No	
row_61	CD80	NA	7444	0.002229358535259962	0.10171871	No	
row_62	ARHGDIG	NA	7480	0.0018098960863426328	0.099681206	No	
row_63	SLC30A3	NA	7691	-0.001089594210498035	0.08629072	No	
row_64	CLSTN3	NA	7979	-0.004767734557390213	0.068381496	No	
row_65	SNCB	NA	7992	-0.0050233881920576096	0.06820815	No	
row_66	NR4A2	NA	8063	-0.0059685786254704	0.06441334	No	
row_67	PDCD1	NA	8082	-0.006291382946074009	0.064004965	No	
row_68	SSTR4	NA	8300	-0.009026963263750076	0.051110663	No	
row_69	IRS4	NA	8339	-0.009735650382936	0.0498255	No	
row_70	PNMT	NA	8714	-0.01445374358445406	0.02747042	No	
row_71	HTR1D	NA	8743	-0.014751490205526352	0.027427446	No	
row_72	NTF3	NA	8777	-0.01517986599355936	0.02711366	No	
row_73	LFNG	NA	8811	-0.015658531337976456	0.026856974	No	
row_74	VPS50	NA	8839	-0.015969442203640938	0.027023679	No	
row_75	CDKAL1	NA	8994	-0.018088825047016144	0.019266544	No	
row_76	SNN	NA	9012	-0.0182355809956789	0.020347415	No	
row_77	TENT5C	NA	9182	-0.02055935747921467	0.01191925	No	
