NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LY96	NA	20	0.27312856912612915	0.027101325	Yes	
row_1	ATG10	NA	224	0.187471404671669	0.033496886	Yes	
row_2	TPH1	NA	337	0.16975262761116028	0.04391931	Yes	
row_3	ITGA2	NA	362	0.16556322574615479	0.059581473	Yes	
row_4	GADD45G	NA	518	0.15051689743995667	0.06523126	Yes	
row_5	BMP2	NA	682	0.13849903643131256	0.06911589	Yes	
row_6	CROT	NA	818	0.12999960780143738	0.073922776	Yes	
row_7	FGF9	NA	824	0.12972788512706757	0.08708526	Yes	
row_8	PCP4	NA	836	0.12908002734184265	0.099793464	Yes	
row_9	ZNF277	NA	933	0.12472820281982422	0.106567554	Yes	
row_10	PTCD2	NA	1011	0.12131474167108536	0.11421215	Yes	
row_11	SATB1	NA	1047	0.11969469487667084	0.12439697	Yes	
row_12	TSPAN7	NA	1061	0.1192595586180687	0.13595538	Yes	
row_13	ALDH1A2	NA	1076	0.11878833174705505	0.1474003	Yes	
row_14	USP12	NA	1150	0.11499778926372528	0.15464622	Yes	
row_15	CAB39L	NA	1236	0.1111983135342598	0.16072331	Yes	
row_16	ERO1A	NA	1324	0.10844839364290237	0.16638556	Yes	
row_17	GALNT3	NA	1473	0.10298293083906174	0.16754574	Yes	
row_18	CPE	NA	1630	0.0984797403216362	0.16772188	Yes	
row_19	ACE	NA	1654	0.09784460812807083	0.17640933	Yes	
row_20	HBEGF	NA	1724	0.0958976298570633	0.1819278	Yes	
row_21	TSPAN1	NA	1906	0.09102894365787506	0.17971717	Yes	
row_22	NR1H4	NA	2005	0.08818722516298294	0.18256392	Yes	
row_23	IL7R	NA	2032	0.08732851594686508	0.18996476	Yes	
row_24	G0S2	NA	2325	0.08010415732860565	0.17946	Yes	
row_25	PRRX1	NA	2532	0.07559099048376083	0.17403235	Yes	
row_26	IRF8	NA	2555	0.0749468132853508	0.18040411	Yes	
row_27	CBR4	NA	2717	0.07124339789152145	0.17742664	Yes	
row_28	IGFBP3	NA	2793	0.06970953196287155	0.17983596	Yes	
row_29	JUP	NA	2934	0.06704441457986832	0.17777632	Yes	
row_30	APOD	NA	2962	0.06652781367301941	0.1829505	Yes	
row_31	KLF4	NA	3035	0.06541095674037933	0.18510647	Yes	
row_32	LIF	NA	3045	0.06525041908025742	0.19130869	Yes	
row_33	TOR1AIP2	NA	3282	0.06140175834298134	0.18247136	No	
row_34	ANGPTL4	NA	3668	0.055174630135297775	0.16337755	No	
row_35	DUSP6	NA	3670	0.055157002061605453	0.16904652	No	
row_36	IL10RA	NA	3827	0.05273181572556496	0.16446726	No	
row_37	USH1C	NA	4052	0.04928232729434967	0.15514404	No	
row_38	ABCB1	NA	4088	0.048794686794281006	0.15795895	No	
row_39	GPNMB	NA	4100	0.04865017160773277	0.16230664	No	
row_40	BPGM	NA	4256	0.0461040697991848	0.15710293	No	
row_41	F2RL1	NA	4346	0.04484895244240761	0.15602517	No	
row_42	ALDH1A3	NA	4401	0.04390128329396248	0.15710609	No	
row_43	PTGS2	NA	4579	0.04126691445708275	0.14998077	No	
row_44	AMMECR1	NA	4587	0.041054945439100266	0.15379691	No	
row_45	BTC	NA	4591	0.04098883643746376	0.15786414	No	
row_46	AKAP12	NA	4623	0.0405096672475338	0.1600758	No	
row_47	STRN	NA	4923	0.03637397661805153	0.14457394	No	
row_48	PLVAP	NA	4996	0.03546514734625816	0.14361711	No	
row_49	SCG3	NA	5006	0.035326093435287476	0.14670877	No	
row_50	IL2RG	NA	5237	0.03200496360659599	0.13520265	No	
row_51	TRIB1	NA	5276	0.03145003318786621	0.13602115	No	
row_52	DOCK2	NA	5389	0.029988355934619904	0.13191536	No	
row_53	AVL9	NA	5455	0.02902853861451149	0.1307409	No	
row_54	TSPAN13	NA	5627	0.026559889316558838	0.122473754	No	
row_55	PLEK2	NA	5701	0.025532426312565804	0.12041994	No	
row_56	MAP3K1	NA	5704	0.025481928139925003	0.12293975	No	
row_57	INHBA	NA	5805	0.023985054343938828	0.118983835	No	
row_58	TMEM100	NA	6338	0.016419589519500732	0.086381316	No	
row_59	PLAU	NA	6377	0.016015371307730675	0.08559542	No	
row_60	DNMBP	NA	6411	0.01556336134672165	0.08508499	No	
row_61	ANKH	NA	6714	0.01138916052877903	0.06679254	No	
row_62	HOXD11	NA	6733	0.011090331710875034	0.066784516	No	
row_63	MAFB	NA	6785	0.010409233160316944	0.06457748	No	
row_64	PTPRR	NA	6906	0.008884647861123085	0.057762083	No	
row_65	SDCCAG8	NA	7115	0.006226680241525173	0.044995174	No	
row_66	CMKLR1	NA	7144	0.005803359672427177	0.04379267	No	
row_67	ITGB2	NA	7333	0.0036811428144574165	0.032050975	No	
row_68	GPRC5B	NA	7337	0.003597658360376954	0.032231472	No	
row_69	ANXA10	NA	7483	0.0017728330567479134	0.023064535	No	
row_70	CCL20	NA	7532	0.0011063112178817391	0.020083958	No	
row_71	TRAF1	NA	7719	-0.0013713751686736941	0.008231153	No	
row_72	TMEM158	NA	7872	-0.003226347267627716	-0.0012361318	No	
row_73	MTMR10	NA	7947	-0.004244680516421795	-0.005567252	No	
row_74	FBXO4	NA	8028	-0.005485336761921644	-0.010156356	No	
row_75	F13A1	NA	8241	-0.008319998160004616	-0.022963636	No	
row_76	CBX8	NA	8343	-0.009786484763026237	-0.028459959	No	
row_77	SOX9	NA	8357	-0.009985833428800106	-0.028260337	No	
row_78	PRELID3B	NA	8632	-0.0134936748072505	-0.044528276	No	
row_79	LAPTM5	NA	8663	-0.013845490291714668	-0.045023803	No	
row_80	SPRY2	NA	8746	-0.014798637479543686	-0.048773788	No	
