NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLLT11	NA	493	0.15239179134368896	-0.017026031	No	
row_1	FGL2	NA	806	0.13073572516441345	-0.024470437	No	
row_2	EEF1E1	NA	920	0.12532049417495728	-0.019593794	No	
row_3	SKAP2	NA	1194	0.11302545666694641	-0.026240544	No	
row_4	ERO1A	NA	1324	0.10844839364290237	-0.024035519	No	
row_5	BTG2	NA	1515	0.10182508826255798	-0.026411802	No	
row_6	ATP6V1D	NA	1633	0.09837301820516586	-0.024410646	No	
row_7	SYTL2	NA	1781	0.09443122893571854	-0.024729067	No	
row_8	MTHFD2	NA	1801	0.09384757280349731	-0.01684078	No	
row_9	HPRT1	NA	2000	0.08825845271348953	-0.021051176	No	
row_10	COPS5	NA	2272	0.08124734461307526	-0.030655239	No	
row_11	IFI30	NA	2331	0.08000737428665161	-0.026628925	No	
row_12	ASNS	NA	2533	0.07559068500995636	-0.032263342	No	
row_13	SERPINH1	NA	2541	0.07536393404006958	-0.025395574	No	
row_14	GLA	NA	2709	0.07139377295970917	-0.02924265	No	
row_15	PNO1	NA	2769	0.07023268193006516	-0.026230255	No	
row_16	VLDLR	NA	2856	0.06875839829444885	-0.02510411	No	
row_17	WARS1	NA	3005	0.06588681787252426	-0.028259445	No	
row_18	LTA4H	NA	3034	0.06544129550457001	-0.02371112	No	
row_19	LGMN	NA	3054	0.06500325351953506	-0.018624319	No	
row_20	ATP5MC1	NA	3194	0.06281513720750809	-0.02149697	No	
row_21	ARPC5L	NA	3261	0.061739224940538406	-0.019761402	No	
row_22	TBK1	NA	3328	0.06061564385890961	-0.01813496	No	
row_23	STARD4	NA	3508	0.057847339659929276	-0.024072418	No	
row_24	HSPA4	NA	3605	0.056195322424173355	-0.02481203	No	
row_25	MAP2K3	NA	3694	0.0546787865459919	-0.025182473	No	
row_26	NUP205	NA	3716	0.05427200719714165	-0.021267053	No	
row_27	DDIT3	NA	3772	0.05358092114329338	-0.019613719	No	
row_28	GOT1	NA	3961	0.05047951266169548	-0.02684779	No	
