NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TARDBP	NA	84	0.2266349345445633	0.021505076	Yes	
row_1	SRSF1	NA	382	0.1636810451745987	0.021785304	Yes	
row_2	ILF2	NA	477	0.15364690124988556	0.03397356	Yes	
row_3	PWP1	NA	514	0.15085303783416748	0.049572784	Yes	
row_4	RPS6	NA	725	0.13579301536083221	0.052154068	Yes	
row_5	GNL3	NA	908	0.1256353259086609	0.055335466	Yes	
row_6	SRSF2	NA	979	0.12304703146219254	0.06543703	Yes	
row_7	TOMM70	NA	1116	0.11688198149204254	0.07054697	Yes	
row_8	VBP1	NA	1215	0.11203137785196304	0.07753288	Yes	
row_9	SYNCRIP	NA	1256	0.1105133518576622	0.08808134	Yes	
row_10	SNRPD3	NA	1438	0.10393718630075455	0.08874937	Yes	
row_11	RNPS1	NA	1580	0.09991097450256348	0.09152038	Yes	
row_12	RSL1D1	NA	1609	0.09904176741838455	0.10148032	Yes	
row_13	SSB	NA	1666	0.09749232977628708	0.10944926	Yes	
row_14	HPRT1	NA	2000	0.08825845271348953	0.09844557	Yes	
row_15	RPS2	NA	2038	0.08704568445682526	0.1063995	Yes	
row_16	COPS5	NA	2272	0.08124734461307526	0.10101612	Yes	
row_17	AIMP2	NA	2347	0.0796290934085846	0.10570119	Yes	
row_18	MRPL23	NA	2396	0.07865766435861588	0.111948706	Yes	
row_19	NOP56	NA	2436	0.07770515978336334	0.11866385	Yes	
row_20	HSP90AB1	NA	2588	0.07407887279987335	0.11772049	Yes	
row_21	HNRNPU	NA	2630	0.07317489385604858	0.123768345	Yes	
row_22	PA2G4	NA	2675	0.0721626952290535	0.12950234	Yes	
row_23	CCT4	NA	2864	0.06863492727279663	0.12552449	Yes	
row_24	ODC1	NA	2869	0.06845982372760773	0.13339987	Yes	
row_25	PABPC4	NA	2876	0.06825504451990128	0.14112185	Yes	
row_26	GOT2	NA	2912	0.06744376569986343	0.14687599	Yes	
row_27	TXNL4A	NA	3173	0.06321121752262115	0.13760741	Yes	
row_28	SLC25A3	NA	3187	0.0629100501537323	0.14424264	Yes	
row_29	YWHAE	NA	3240	0.06200028955936432	0.14825301	Yes	
row_30	RAD23B	NA	3270	0.06166120246052742	0.15370736	Yes	
row_31	SNRPB2	NA	3475	0.058484964072704315	0.14749108	Yes	
row_32	DUT	NA	3549	0.05708754062652588	0.1495626	Yes	
row_33	C1QBP	NA	3556	0.05693932622671127	0.15594019	Yes	
row_34	NPM1	NA	3595	0.05625893548130989	0.16017191	Yes	
row_35	IMPDH2	NA	3656	0.05536401644349098	0.16287757	Yes	
row_36	NOP16	NA	3787	0.053424712270498276	0.16083555	Yes	
row_37	ERH	NA	3851	0.05243218317627907	0.1629993	Yes	
row_38	CLNS1A	NA	3923	0.05124922841787338	0.16450624	Yes	
row_39	YWHAQ	NA	4171	0.04746095463633537	0.15420534	Yes	
row_40	CCT7	NA	4191	0.047074951231479645	0.15857205	Yes	
row_41	MYC	NA	4209	0.04683517664670944	0.16303934	Yes	
row_42	IARS1	NA	4228	0.04652116820216179	0.1674048	Yes	
row_43	HNRNPA2B1	NA	4307	0.0453534759581089	0.16775955	Yes	
row_44	PHB2	NA	4311	0.045338328927755356	0.17295247	Yes	
row_45	PHB	NA	4338	0.04496196284890175	0.17661642	Yes	
row_46	VDAC1	NA	4352	0.04465048387646675	0.18108228	Yes	
row_47	GLO1	NA	4458	0.04312906786799431	0.17943038	Yes	
row_48	VDAC3	NA	4490	0.04275823011994362	0.18250984	Yes	
row_49	NDUFAB1	NA	4577	0.04134787991642952	0.18187244	Yes	
row_50	RRP9	NA	4683	0.03960791975259781	0.1798022	Yes	
row_51	ORC2	NA	4702	0.03931976854801178	0.18331207	Yes	
row_52	PSMD14	NA	4710	0.03916986659169197	0.187514	Yes	
row_53	RPL22	NA	4822	0.03785940259695053	0.18484883	Yes	
row_54	RPS10	NA	4872	0.03714819252490997	0.18610018	Yes	
row_55	SNRPD1	NA	4944	0.03617559000849724	0.18581627	Yes	
row_56	EIF2S2	NA	4957	0.03600441664457321	0.18931946	Yes	
row_57	EIF4E	NA	5465	0.02885395660996437	0.1600294	No	
row_58	SF3B3	NA	5481	0.02858269400894642	0.16245723	No	
row_59	UBE2L3	NA	5531	0.027859792113304138	0.16260506	No	
row_60	HNRNPR	NA	5603	0.02685321681201458	0.16121359	No	
row_61	EIF3J	NA	5888	0.022773297503590584	0.1455919	No	
row_62	DDX18	NA	6084	0.02028183452785015	0.13541764	No	
row_63	HNRNPD	NA	6135	0.019413260743021965	0.13449743	No	
row_64	RPL6	NA	6156	0.019183799624443054	0.13548595	No	
row_65	PSMC6	NA	6158	0.019153889268636703	0.13769703	No	
row_66	PSMA6	NA	6252	0.017763573676347733	0.13380592	No	
row_67	CCT3	NA	6318	0.016714319586753845	0.13159707	No	
row_68	NHP2	NA	6430	0.015364475548267365	0.12625934	No	
row_69	PPM1G	NA	6446	0.015057372860610485	0.12708026	No	
row_70	CDC45	NA	6459	0.014964564703404903	0.12808377	No	
row_71	RPS3	NA	6493	0.014437180012464523	0.12766942	No	
row_72	RAN	NA	6634	0.012467455118894577	0.12011606	No	
row_73	EIF2S1	NA	6722	0.011282187886536121	0.11584211	No	
row_74	AP3S1	NA	6769	0.010545250959694386	0.11412645	No	
row_75	CSTF2	NA	6774	0.010503771714866161	0.115116246	No	
row_76	KPNA2	NA	6844	0.00956056546419859	0.111799344	No	
row_77	RPLP0	NA	6920	0.008691283874213696	0.10799197	No	
row_78	SSBP1	NA	7004	0.007638151757419109	0.10354322	No	
row_79	EXOSC7	NA	7065	0.006997929885983467	0.100502655	No	
row_80	CCNA2	NA	7086	0.006705064792186022	0.10000861	No	
row_81	PSMB2	NA	7104	0.006449919193983078	0.099677846	No	
row_82	CCT2	NA	7160	0.005606791004538536	0.09679467	No	
row_83	SRSF7	NA	7279	0.004390851128846407	0.089701466	No	
row_84	EIF3B	NA	7283	0.004365167114883661	0.09002648	No	
row_85	PSMD3	NA	7404	0.0026203710585832596	0.082593866	No	
row_86	HSPD1	NA	7469	0.0019596682395786047	0.07869659	No	
row_87	SRPK1	NA	7507	0.0014420339139178395	0.0764802	No	
row_88	PTGES3	NA	7537	0.0010664223227649927	0.07473545	No	
row_89	PSMA7	NA	7567	6.413314258679748E-4	0.07294019	No	
row_90	EIF3D	NA	7671	-8.198645664379001E-4	0.06639072	No	
row_91	PABPC1	NA	7746	-0.001707721850834787	0.061818186	No	
row_92	EIF4G2	NA	7790	-0.0021769991144537926	0.05930192	No	
row_93	MAD2L1	NA	7887	-0.003500242717564106	0.053522624	No	
row_94	CBX3	NA	8122	-0.0068343388848006725	0.039233923	No	
row_95	RPL34	NA	8133	-0.00693150982260704	0.039412107	No	
row_96	PSMD7	NA	8287	-0.008874115534126759	0.030592898	No	
row_97	SERBP1	NA	8605	-0.013140948489308357	0.011697244	No	
row_98	PRDX3	NA	8642	-0.013626177795231342	0.01099295	No	
row_99	USP1	NA	8685	-0.014121714048087597	0.009960333	No	
row_100	MCM2	NA	8757	-0.014940834604203701	0.0071535814	No	
row_101	TYMS	NA	8786	-0.01527932845056057	0.007161956	No	
row_102	HNRNPA3	NA	8902	-0.016918815672397614	0.0017507605	No	
row_103	EEF1B2	NA	8926	-0.017154794186353683	0.002304617	No	
row_104	EIF1AX	NA	9032	-0.018431605771183968	-0.0022815203	No	
row_105	TFDP1	NA	9054	-0.018773900344967842	-0.0014062368	No	
row_106	KARS1	NA	9138	-0.019875328987836838	-0.0044011283	No	
row_107	TRA2B	NA	9318	-0.022273680195212364	-0.013306226	No	
row_108	SRSF3	NA	9335	-0.022521989420056343	-0.01166298	No	
row_109	SF3A1	NA	9513	-0.024766337126493454	-0.020142866	No	
row_110	MCM5	NA	9575	-0.025721287354826927	-0.021023495	No	
row_111	NOLC1	NA	9600	-0.026021338999271393	-0.019480763	No	
row_112	G3BP1	NA	9721	-0.027413384988904	-0.023967793	No	
row_113	TCP1	NA	9793	-0.028513019904494286	-0.025162073	No	
row_114	EPRS1	NA	9808	-0.028736472129821777	-0.022651436	No	
row_115	LSM7	NA	9844	-0.029171254485845566	-0.021444332	No	
row_116	GSPT1	NA	9892	-0.029998991638422012	-0.020913282	No	
row_117	RANBP1	NA	10004	-0.03136858344078064	-0.024349611	No	
row_118	PSMA4	NA	10137	-0.0334688164293766	-0.028891606	No	
row_119	PSMA1	NA	10199	-0.03413530811667442	-0.02877259	No	
row_120	UBA2	NA	10214	-0.03431253135204315	-0.02559948	No	
row_121	CCT5	NA	10223	-0.03444022312760353	-0.022024	No	
row_122	NAP1L1	NA	10267	-0.03501323238015175	-0.02063909	No	
row_123	CNBP	NA	10307	-0.0357016995549202	-0.018914254	No	
row_124	CDC20	NA	10345	-0.036293938755989075	-0.016989993	No	
row_125	PSMD1	NA	10374	-0.03658803552389145	-0.014449993	No	
row_126	PPIA	NA	10465	-0.037693090736866	-0.01577974	No	
row_127	XPO1	NA	10491	-0.038081686943769455	-0.012868685	No	
row_128	RPL14	NA	10548	-0.038757212460041046	-0.011877891	No	
row_129	DEK	NA	10579	-0.0391375757753849	-0.009164054	No	
row_130	SNRPG	NA	10666	-0.04026829078793526	-0.009929716	No	
row_131	MCM4	NA	10790	-0.04172571003437042	-0.0129099395	No	
row_132	NCBP1	NA	10851	-0.04286762699484825	-0.011688929	No	
row_133	PSMA2	NA	11092	-0.04664706811308861	-0.021634797	No	
row_134	HDDC2	NA	11104	-0.04686164855957031	-0.016777162	No	
row_135	CUL1	NA	11298	-0.05016527697443962	-0.023272	No	
row_136	SRM	NA	11302	-0.05019456148147583	-0.017502131	No	
row_137	EIF4H	NA	11648	-0.0556936152279377	-0.033149146	No	
row_138	NCBP2	NA	11669	-0.05598282068967819	-0.027788647	No	
row_139	MCM6	NA	11787	-0.057853635400533676	-0.028465563	No	
row_140	PCNA	NA	12100	-0.06283175945281982	-0.041134935	No	
row_141	SET	NA	12226	-0.06493877619504929	-0.041486345	No	
row_142	XPOT	NA	12421	-0.06844554841518402	-0.04587389	No	
row_143	ETF1	NA	12675	-0.07301237434148788	-0.0535263	No	
row_144	ACP1	NA	12785	-0.07477123290300369	-0.051677026	No	
row_145	XRCC6	NA	13032	-0.07988624274730682	-0.058061037	No	
row_146	IFRD1	NA	13324	-0.08593012392520905	-0.066630974	No	
row_147	CAD	NA	13577	-0.09226284176111221	-0.07193176	No	
row_148	POLE3	NA	13737	-0.09638520330190659	-0.07074123	No	
row_149	CTPS1	NA	13911	-0.10156916081905365	-0.06983826	No	
row_150	CANX	NA	13956	-0.10254275053739548	-0.060494903	No	
row_151	SMARCC1	NA	13962	-0.10274239629507065	-0.048611045	No	
row_152	FAM120A	NA	14095	-0.10694260895252228	-0.044423837	No	
row_153	DHX15	NA	14491	-0.11883004009723663	-0.05579644	No	
row_154	RFC4	NA	14538	-0.12042643874883652	-0.044457436	No	
row_155	PRDX4	NA	14620	-0.12401613593101501	-0.0349506	No	
row_156	U2AF1	NA	14921	-0.13995635509490967	-0.03768263	No	
row_157	BUB3	NA	15199	-0.15839292109012604	-0.036740012	No	
row_158	ABCE1	NA	15248	-0.1618398129940033	-0.020609874	No	
row_159	HDAC2	NA	15286	-0.16548876464366913	-0.0033363546	No	
row_160	PRPS2	NA	15582	-0.22851082682609558	0.004775174	No	
