NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL6A3	NA	180	0.19484516978263855	0.0095054945	Yes	
row_1	COL1A1	NA	265	0.17992010712623596	0.023585167	Yes	
row_2	COL6A2	NA	380	0.16389618813991547	0.033993524	Yes	
row_3	CHRNA1	NA	640	0.14156274497509003	0.03262987	Yes	
row_4	CHRNG	NA	669	0.13950373232364655	0.045941506	Yes	
row_5	CRYAB	NA	758	0.13346533477306366	0.054729063	Yes	
row_6	COL3A1	NA	802	0.1310623586177826	0.06615851	Yes	
row_7	MRAS	NA	809	0.13060270249843597	0.07992447	Yes	
row_8	TPM2	NA	812	0.13037718832492828	0.09392398	Yes	
row_9	MYF6	NA	880	0.12668421864509583	0.1033311	Yes	
row_10	SPDEF	NA	944	0.12425923347473145	0.1127334	Yes	
row_11	BDKRB2	NA	955	0.12390775233507156	0.12551588	Yes	
row_12	KLF5	NA	1130	0.11591195315122604	0.12685464	Yes	
row_13	AEBP1	NA	1135	0.1157258003950119	0.13913743	Yes	
row_14	TPD52L1	NA	1270	0.11007983982563019	0.14242402	Yes	
row_15	PDLIM7	NA	1363	0.10700720548629761	0.14808641	Yes	
row_16	TAGLN	NA	1403	0.10527975112199783	0.15697987	Yes	
row_17	CRAT	NA	1450	0.10354076325893402	0.16523343	Yes	
row_18	GABARAPL2	NA	1514	0.10182902961969376	0.17220506	Yes	
row_19	ATP6AP1	NA	1522	0.1017250269651413	0.18277715	Yes	
row_20	DES	NA	1527	0.10167136788368225	0.19353692	Yes	
row_21	MYH11	NA	1566	0.10036657750606537	0.20196246	Yes	
row_22	HBEGF	NA	1724	0.0958976298570633	0.20222877	Yes	
row_23	MYLK	NA	1748	0.09522106498479843	0.21106413	Yes	
row_24	TNNI2	NA	1991	0.08849025517702103	0.20504563	Yes	
row_25	SPHK1	NA	2183	0.08330312371253967	0.20175427	Yes	
row_26	SYNGR2	NA	2216	0.0826132521033287	0.20864291	Yes	
row_27	MYL1	NA	2361	0.07934939116239548	0.20795439	Yes	
row_28	MAPK12	NA	2421	0.0781230702996254	0.21261507	Yes	
row_29	TNNC2	NA	2424	0.07801897078752518	0.22094071	Yes	
row_30	PVALB	NA	2439	0.07765186578035355	0.22845262	Yes	
row_31	NOS1	NA	2514	0.07601084560155869	0.231917	Yes	
row_32	MYBPH	NA	2547	0.07516059279441833	0.23799801	Yes	
row_33	SGCA	NA	2642	0.07291818410158157	0.23983733	Yes	
row_34	FABP3	NA	2687	0.07194459438323975	0.2447959	Yes	
row_35	PSEN2	NA	2725	0.07105324417352676	0.25010934	Yes	
row_36	HSPB2	NA	2727	0.0710284635424614	0.25774196	Yes	
row_37	IGFBP3	NA	2793	0.06970953196287155	0.26110393	Yes	
row_38	MYOG	NA	2871	0.06837586313486099	0.26354742	Yes	
row_39	APOD	NA	2962	0.06652781367301941	0.2649522	Yes	
row_40	MYOM2	NA	3125	0.0638519898056984	0.26142338	Yes	
row_41	SLC6A8	NA	3157	0.06344063580036163	0.26629886	Yes	
row_42	TNNT3	NA	3220	0.062401361763477325	0.26906234	Yes	
row_43	SGCG	NA	3256	0.061768122017383575	0.2734986	Yes	
row_44	LARGE1	NA	3257	0.06176039204001427	0.28019133	Yes	
row_45	ACTC1	NA	3472	0.05855688080191612	0.27273494	Yes	
row_46	MYO1C	NA	3513	0.05774799734354019	0.27641305	Yes	
row_47	AK1	NA	3550	0.057080477476119995	0.28027683	Yes	
row_48	MYOZ1	NA	3590	0.056401222944259644	0.2838735	Yes	
row_49	ACSL1	NA	3652	0.055489666759967804	0.2859525	Yes	
row_50	CKMT2	NA	3894	0.0517054907977581	0.27601227	No	
row_51	CACNG1	NA	4120	0.0482306182384491	0.2667274	No	
row_52	PRNP	NA	4236	0.04636937379837036	0.2643353	No	
row_53	BIN1	NA	4295	0.045535534620285034	0.2655291	No	
row_54	ITGB1	NA	4296	0.04552612453699112	0.2704626	No	
row_55	CASQ2	NA	4308	0.04534821957349777	0.27466735	No	
row_56	FLII	NA	4337	0.04497098922729492	0.27773485	No	
row_57	FKBP1B	NA	4459	0.04312439635396004	0.27460414	No	
row_58	ITGA7	NA	4461	0.04309342801570892	0.27920952	No	
row_59	SPEG	NA	4531	0.04208457097411156	0.27931988	No	
row_60	MYH9	NA	4566	0.04145960882306099	0.28161988	No	
row_61	NOTCH1	NA	4638	0.04026772826910019	0.28140438	No	
row_62	ACTN2	NA	4715	0.03911494091153145	0.28074145	No	
row_63	DTNA	NA	4721	0.03900350257754326	0.28464565	No	
row_64	CDKN1A	NA	4820	0.03787356615066528	0.28242934	No	
row_65	ERBB3	NA	4915	0.03653906285762787	0.28032637	No	
row_66	LDB3	NA	5017	0.035185687243938446	0.2776253	No	
row_67	AGL	NA	5034	0.03499579429626465	0.28038573	No	
