NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0C	NA	826	0.12959320843219757	-0.034007195	Yes	
row_1	TOMM22	NA	1060	0.11933333426713943	-0.031320263	Yes	
row_2	TOMM70	NA	1116	0.11688198149204254	-0.017525688	Yes	
row_3	ATP6V0E1	NA	1166	0.1142580434679985	-0.0037336932	Yes	
row_4	MRPS30	NA	1175	0.1137605533003807	0.0126267625	Yes	
row_5	ATP6V1H	NA	1454	0.103426992893219	0.010053997	Yes	
row_6	ATP6AP1	NA	1522	0.1017250269651413	0.02082674	Yes	
row_7	ATP6V1D	NA	1633	0.09837301820516586	0.028331067	Yes	
row_8	CASP7	NA	1746	0.0952298566699028	0.035240225	Yes	
row_9	TIMM9	NA	1813	0.09362101554870605	0.044875212	Yes	
row_10	ACAT1	NA	1840	0.09274865686893463	0.0569586	Yes	
row_11	ACAA2	NA	1850	0.09248568117618561	0.07009855	Yes	
row_12	FXN	NA	2238	0.08198156952857971	0.05731987	Yes	
row_13	ATP6V1E1	NA	2546	0.0751710906624794	0.04868651	Yes	
row_14	SLC25A12	NA	2571	0.07442998886108398	0.058181275	Yes	
row_15	AFG3L2	NA	2663	0.07237754762172699	0.06305372	Yes	
row_16	PDK4	NA	2775	0.07011599838733673	0.06630176	Yes	
row_17	OGDH	NA	2840	0.06896486133337021	0.072407976	Yes	
row_18	ATP5F1C	NA	2850	0.06885278224945068	0.08204206	Yes	
row_19	GOT2	NA	2912	0.06744376569986343	0.08811596	Yes	
row_20	ECI1	NA	2970	0.06632782518863678	0.09428209	Yes	
row_21	MDH2	NA	3004	0.06589610129594803	0.10193087	Yes	
row_22	ATP5F1A	NA	3042	0.0652855783700943	0.1092313	Yes	
row_23	ETFA	NA	3141	0.06363153457641602	0.11235518	Yes	
row_24	HADHA	NA	3143	0.06359616667032242	0.12172503	Yes	
row_25	ABCB7	NA	3150	0.06354618072509766	0.13076523	Yes	
row_26	SLC25A3	NA	3187	0.0629100501537323	0.1377777	Yes	
row_27	ATP5MC1	NA	3194	0.06281513720750809	0.14670946	Yes	
row_28	DLST	NA	3396	0.05957106500864029	0.1425931	Yes	
row_29	ACO2	NA	3504	0.05792495980858803	0.14429043	Yes	
row_30	ATP5PO	NA	3596	0.05625853314995766	0.14677167	Yes	
row_31	ETFDH	NA	3666	0.05520367622375488	0.15051423	Yes	
row_32	MRPS11	NA	3709	0.054413411766290665	0.15587957	Yes	
row_33	IDH3A	NA	3749	0.0538579598069191	0.16135585	Yes	
row_34	CS	NA	3817	0.05287737771868706	0.16488221	Yes	
row_35	NDUFA8	NA	3882	0.05199802294373512	0.16847144	Yes	
row_36	LRPPRC	NA	3902	0.051563676446676254	0.17489628	Yes	
row_37	ATP6V1G1	NA	3948	0.05072961375117302	0.17952181	Yes	
row_38	FH	NA	4023	0.049735233187675476	0.18213092	Yes	
row_39	SUPV3L1	NA	4063	0.04917829856276512	0.186913	Yes	
row_40	NDUFA7	NA	4160	0.04767381027340889	0.18779849	Yes	
row_41	MRPL34	NA	4216	0.046722617000341415	0.19118515	Yes	
row_42	HTRA2	NA	4219	0.04668145254254341	0.1979813	Yes	
row_43	NDUFS4	NA	4247	0.04624147340655327	0.20310105	Yes	
row_44	SUCLA2	NA	4301	0.04542676359415054	0.20642436	Yes	
row_45	PHB2	NA	4311	0.045338328927755356	0.21257015	Yes	
row_46	VDAC1	NA	4352	0.04465048387646675	0.2166161	Yes	
