NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STOM	NA	44	0.25321248173713684	0.02192625	Yes	
row_1	PLK3	NA	170	0.19893665611743927	0.033318724	Yes	
row_2	WRAP73	NA	249	0.18222850561141968	0.04610917	Yes	
row_3	SOCS1	NA	351	0.16692045331001282	0.055918675	Yes	
row_4	TPRKB	NA	407	0.16117152571678162	0.06813347	Yes	
row_5	TRAFD1	NA	431	0.15847669541835785	0.08214909	Yes	
row_6	PLK2	NA	482	0.15326878428459167	0.09391354	Yes	
row_7	PROCR	NA	500	0.1520630419254303	0.107688956	Yes	
row_8	BMP2	NA	682	0.13849903643131256	0.10955782	Yes	
row_9	DDB2	NA	803	0.13102318346500397	0.114630766	Yes	
row_10	TPD52L1	NA	1270	0.11007983982563019	0.095334254	Yes	
row_11	ATF3	NA	1286	0.1095360741019249	0.105079465	Yes	
row_12	SERPINB5	NA	1404	0.10523779690265656	0.107824065	Yes	
row_13	UPP1	NA	1452	0.10348710417747498	0.114913285	Yes	
row_14	BTG2	NA	1515	0.10182508826255798	0.12087228	Yes	
row_15	PERP	NA	1586	0.09971150010824203	0.12610847	Yes	
row_16	CCP110	NA	1648	0.09794590622186661	0.13175257	Yes	
row_17	FGF13	NA	1660	0.09774647653102875	0.14060277	Yes	
row_18	INHBB	NA	1682	0.09696467965841293	0.1487314	Yes	
row_19	HBEGF	NA	1724	0.0958976298570633	0.15546542	Yes	
row_20	COQ8A	NA	1817	0.09356503933668137	0.1586812	Yes	
row_21	BLCAP	NA	1992	0.08847423642873764	0.15610911	Yes	
row_22	CGRRF1	NA	2053	0.08666002005338669	0.16071394	Yes	
row_23	MDM2	NA	2068	0.08625920861959457	0.16824713	Yes	
row_24	FAS	NA	2131	0.08458035439252853	0.17251955	Yes	
row_25	SPHK1	NA	2183	0.08330312371253967	0.17737667	Yes	
row_26	JUN	NA	2230	0.08228091895580292	0.18245639	Yes	
row_27	IFI30	NA	2331	0.08000737428665161	0.18383011	Yes	
row_28	AEN	NA	2589	0.0740012377500534	0.17448802	Yes	
row_29	ZNF365	NA	2592	0.07392038404941559	0.18158859	Yes	
row_30	PDGFA	NA	2683	0.07203089445829391	0.18282731	Yes	
row_31	EPHA2	NA	2764	0.07030051201581955	0.18454191	Yes	
row_32	KLF4	NA	3035	0.06541095674037933	0.17352101	Yes	
row_33	LIF	NA	3045	0.06525041908025742	0.17932205	Yes	
row_34	ST14	NA	3242	0.061984606087207794	0.17273995	Yes	
row_35	GADD45A	NA	3289	0.06128305196762085	0.17576602	Yes	
row_36	HDAC3	NA	3384	0.05978984758257866	0.17554949	Yes	
row_37	SESN1	NA	3395	0.0595988929271698	0.18073328	Yes	
row_38	RRP8	NA	3510	0.05781025439500809	0.17903289	Yes	
row_39	AK1	NA	3550	0.057080477476119995	0.18209954	Yes	
row_40	RPL36	NA	3607	0.05617956817150116	0.18398136	Yes	
row_41	MKNK2	NA	3616	0.055997855961322784	0.18894199	Yes	
row_42	DDIT3	NA	3772	0.05358092114329338	0.18418297	No	
row_43	PPM1D	NA	3849	0.05245506018400192	0.18441029	No	
row_44	IP6K2	NA	3943	0.05082143843173981	0.18338114	No	
row_45	RPS12	NA	4036	0.049508675932884216	0.1822881	No	
row_46	RNF19B	NA	4187	0.04714719206094742	0.17722242	No	
row_47	PTPN14	NA	4232	0.046426549553871155	0.1789245	No	
row_48	FAM162A	NA	4471	0.042962007224559784	0.16777244	No	
row_49	ABCC5	NA	4474	0.04294919595122337	0.17184396	No	
row_50	ISCU	NA	4506	0.04251239821314812	0.1740019	No	
row_51	FDXR	NA	4510	0.04243354871869087	0.17795846	No	
row_52	TCN2	NA	4602	0.04085756838321686	0.17608383	No	
row_53	NOTCH1	NA	4638	0.04026772826910019	0.17776419	No	
row_54	ADA	NA	4797	0.03813343122601509	0.17130084	No	
row_55	CDKN1A	NA	4820	0.03787356615066528	0.17358571	No	
row_56	APAF1	NA	4935	0.03626290336251259	0.16977794	No	
row_57	PHLDA3	NA	5022	0.03509076312184334	0.16766188	No	
row_58	FOS	NA	5065	0.03452203795313835	0.1683287	No	
row_59	PIDD1	NA	5077	0.03435049578547478	0.17097864	No	
row_60	SAT1	NA	5192	0.032594192773103714	0.16681206	No	
row_61	CD82	NA	5261	0.03171620890498161	0.16552716	No	
row_62	SP1	NA	5474	0.028666222468018532	0.15465425	No	
row_63	TM4SF1	NA	5630	0.026549311354756355	0.14725149	No	
row_64	ELP1	NA	5682	0.02585509419441223	0.14649007	No	
row_65	BAK1	NA	5767	0.024584367871284485	0.14347546	No	
row_66	HINT1	NA	5810	0.02391878329217434	0.14310527	No	
row_67	ITGB4	NA	5812	0.02387683279812336	0.14537597	No	
row_68	DEF6	NA	5887	0.022789742797613144	0.14283098	No	
row_69	EPS8L2	NA	6030	0.02096690982580185	0.1357209	No	
row_70	TRAF4	NA	6302	0.017006682232022285	0.11990144	No	
row_71	VDR	NA	6435	0.015282668173313141	0.11288054	No	
row_72	SLC19A2	NA	6492	0.014473807066679	0.11068345	No	
row_73	MXD1	NA	6615	0.01274303998798132	0.10405929	No	
row_74	ZBTB16	NA	6866	0.009299707598984241	0.08884083	No	
row_75	CCNG1	NA	6999	0.007678300142288208	0.081076205	No	
row_76	DRAM1	NA	7023	0.007460632361471653	0.080322094	No	
row_77	SFN	NA	7072	0.006924283690750599	0.077902734	No	
row_78	BTG1	NA	7155	0.005650015082210302	0.073165335	No	
row_79	IER5	NA	7237	0.004748135339468718	0.06840425	No	
row_80	RAB40C	NA	7526	0.0012108652153983712	0.049943227	No	
row_81	EPHX1	NA	7563	6.836408865638077E-4	0.047687657	No	
row_82	ANKRA2	NA	7685	-0.0010246392339468002	0.03998192	No	
row_83	TRIAP1	NA	7712	-0.0013060914352536201	0.03843235	No	
row_84	NOL8	NA	7842	-0.0028649901505559683	0.030390508	No	
row_85	GM2A	NA	7964	-0.004484484437853098	0.023023155	No	
row_86	PMM1	NA	8068	-0.006015182472765446	0.016966721	No	
row_87	ACVR1B	NA	8265	-0.008575312793254852	0.0051610614	No	
row_88	SLC35D1	NA	8299	-0.009009669534862041	0.003913333	No	
row_89	MAPKAPK3	NA	8487	-0.011734884232282639	-0.007002705	No	
row_90	VAMP8	NA	8657	-0.013768486678600311	-0.016558636	No	
row_91	RAD51C	NA	8754	-0.014885986223816872	-0.021295901	No	
row_92	FBXW7	NA	8827	-0.015776576474308968	-0.024397776	No	
row_93	TSC22D1	NA	9177	-0.020522432401776314	-0.04490531	No	
row_94	HMOX1	NA	9198	-0.020804021507501602	-0.044160865	No	
row_95	KIF13B	NA	9242	-0.021342143416404724	-0.04484757	No	
row_96	WWP1	NA	9503	-0.024649156257510185	-0.059209935	No	
row_97	CSRNP2	NA	9544	-0.025255821645259857	-0.059320334	No	
row_98	TGFA	NA	9698	-0.02719893865287304	-0.06653055	No	
row_99	XPC	NA	9735	-0.02759694680571556	-0.06615393	No	
row_100	PITPNC1	NA	9788	-0.028469879180192947	-0.06672413	No	
row_101	RXRA	NA	9816	-0.028837433084845543	-0.06564558	No	
row_102	RAP2B	NA	10156	-0.03367540240287781	-0.08422161	No	
row_103	CD81	NA	10442	-0.037285495549440384	-0.098960906	No	
row_104	RHBDF2	NA	10480	-0.03788994997739792	-0.09764212	No	
row_105	TOB1	NA	10608	-0.039527419954538345	-0.10196927	No	
row_106	CTSD	NA	10618	-0.039662133902311325	-0.098670825	No	
row_107	F2R	NA	10635	-0.03993096947669983	-0.09579767	No	
row_108	LDHB	NA	10768	-0.04155266657471657	-0.100249305	No	
row_109	SDC1	NA	10773	-0.04157561808824539	-0.096441165	No	
row_110	FOXO3	NA	10917	-0.04371524974703789	-0.10139092	No	
row_111	TAX1BP3	NA	11086	-0.046561092138290405	-0.10767514	No	
row_112	CDKN2AIP	NA	11122	-0.04706897959113121	-0.1053296	No	
row_113	CDH13	NA	11259	-0.049516674131155014	-0.10926039	No	
row_114	ZFP36L1	NA	11377	-0.051431912928819656	-0.111778125	No	
row_115	DNTTIP2	NA	11395	-0.05181514844298363	-0.10780718	No	
row_116	CCNK	NA	11654	-0.05578282102942467	-0.11899558	No	
row_117	PLXNB2	NA	11912	-0.059539925307035446	-0.12975201	No	
row_118	RALGDS	NA	11922	-0.059693723917007446	-0.12449443	No	
row_119	MXD4	NA	12017	-0.06125536188483238	-0.124567635	No	
row_120	CCND3	NA	12053	-0.061853062361478806	-0.120776184	No	
row_121	RPS27L	NA	12078	-0.06227506697177887	-0.11623382	No	
row_122	PCNA	NA	12100	-0.06283175945281982	-0.111443475	No	
row_123	CYFIP2	NA	12157	-0.0636010691523552	-0.10883582	No	
row_124	PTPRE	NA	12276	-0.06561995297670364	-0.11003044	No	
row_125	HSPA4L	NA	12324	-0.06662718951702118	-0.10654621	No	
row_126	DDIT4	NA	12410	-0.06829395145177841	-0.10535041	No	
row_127	APP	NA	12465	-0.0690498799085617	-0.10208082	No	
row_128	CDK5R1	NA	12466	-0.06905239820480347	-0.09532733	No	
row_129	BAIAP2	NA	12610	-0.07168996334075928	-0.097541094	No	
row_130	NINJ1	NA	12831	-0.07574914395809174	-0.10432528	No	
row_131	ZMAT3	NA	12834	-0.07587024569511414	-0.09703402	No	
row_132	TNNI1	NA	12946	-0.0781235620379448	-0.09655418	No	
row_133	RGS16	NA	13068	-0.08059700578451157	-0.09647755	No	
row_134	STEAP3	NA	13145	-0.08238690346479416	-0.09332283	No	
row_135	DCXR	NA	13317	-0.08577306568622589	-0.095965564	No	
row_136	TM7SF3	NA	13347	-0.08648230135440826	-0.08937824	No	
row_137	OSGIN1	NA	13711	-0.09572333842515945	-0.103434116	No	
row_138	RRAD	NA	13752	-0.09699160605669022	-0.09652858	No	
row_139	SEC61A1	NA	13773	-0.09743254631757736	-0.08828969	No	
row_140	NUDT15	NA	13949	-0.10241852700710297	-0.08956251	No	
row_141	EI24	NA	13975	-0.10323312878608704	-0.08107887	No	
row_142	TP63	NA	14001	-0.10397086292505264	-0.07252307	No	
row_143	SLC7A11	NA	14176	-0.10950523614883423	-0.07303829	No	
row_144	POLH	NA	14304	-0.11315983533859253	-0.07016401	No	
row_145	NDRG1	NA	14328	-0.11382721364498138	-0.060515214	No	
row_146	RB1	NA	14344	-0.1144132912158966	-0.050293002	No	
row_147	JAG2	NA	14384	-0.11565979570150375	-0.04149717	No	
row_148	PRKAB1	NA	14552	-0.12093612551689148	-0.04044283	No	
row_149	RCHY1	NA	14553	-0.12093648314476013	-0.028614957	No	
row_150	ABAT	NA	14982	-0.14308220148086548	-0.0422323	No	
row_151	FUCA1	NA	15076	-0.1490117609500885	-0.033658214	No	
row_152	CEBPA	NA	15217	-0.15969187021255493	-0.02707165	No	
row_153	CCND2	NA	15312	-0.1695258617401123	-0.016555745	No	
row_154	HEXIM1	NA	15372	-0.1764790266752243	-0.0031018876	No	
row_155	NHLH2	NA	15548	-0.21838723123073578	0.0069673024	No	
