NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEUROG3	NA	119	0.21230410039424896	0.09540454	Yes	
row_1	CHGA	NA	738	0.13467736542224884	0.12119583	Yes	
row_2	NKX2-2	NA	872	0.12714648246765137	0.17438065	Yes	
row_3	ELP4	NA	1005	0.12155275791883469	0.22491506	Yes	
row_4	SCGN	NA	1015	0.12116895616054535	0.28313726	Yes	
row_5	DPP4	NA	1119	0.11653278768062592	0.33309215	Yes	
row_6	FOXO1	NA	2701	0.07158325612545013	0.26661867	No	
row_7	NEUROD1	NA	2996	0.06597642600536346	0.27981353	No	
row_8	PAX6	NA	4344	0.044883303344249725	0.21536349	No	
row_9	HNF1A	NA	4523	0.04221140593290329	0.22445203	No	
row_10	PDX1	NA	4974	0.035793475806713104	0.21301377	No	
row_11	ISL1	NA	5172	0.03291702643036842	0.21637583	No	
row_12	SPCS1	NA	6194	0.01863151043653488	0.16005622	No	
row_13	VDR	NA	6435	0.015282668173313141	0.15210834	No	
row_14	SYT13	NA	6503	0.01426465343683958	0.15474129	No	
row_15	GCG	NA	6603	0.012879555113613605	0.1546536	No	
row_16	STXBP1	NA	6668	0.011884522624313831	0.15632361	No	
row_17	MAFB	NA	6785	0.010409233160316944	0.15394889	No	
row_18	SLC2A2	NA	7077	0.006858197972178459	0.13864812	No	
row_19	NKX6-1	NA	7100	0.0065439254976809025	0.14041527	No	
row_20	SRP14	NA	7440	0.00226572691462934	0.119813174	No	
row_21	PAK3	NA	9249	-0.021420668810606003	0.014466121	No	
row_22	INSM1	NA	9847	-0.029221298173069954	-0.009571761	No	
row_23	DCX	NA	10227	-0.03450707346200943	-0.0170891	No	
row_24	LMO2	NA	10539	-0.038608793169260025	-0.018262928	No	
row_25	INS	NA	10552	-0.038815755397081375	-1.95426E-4	No	
row_26	G6PC2	NA	10640	-0.03997494652867317	0.0136333555	No	
row_27	SEC11A	NA	10764	-0.04145994037389755	0.025878154	No	
row_28	SRP9	NA	11156	-0.047617364674806595	0.023954507	No	
row_29	SRPRB	NA	11702	-0.056559477001428604	0.016511576	No	
row_30	AKT3	NA	11946	-0.060067109763622284	0.030103706	No	
row_31	SST	NA	12019	-0.06130436435341835	0.055243026	No	
row_32	PCSK2	NA	12121	-0.06312382966279984	0.07940879	No	
row_33	FOXA2	NA	12654	-0.07258527725934982	0.08057473	No	
row_34	ABCC8	NA	12887	-0.07682349532842636	0.10300223	No	
row_35	IAPP	NA	15138	-0.15289804339408875	0.033160534	No	
