NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRAT	NA	1450	0.10354076325893402	-0.07090205	No	
row_1	CDK7	NA	1927	0.09024938195943832	-0.08212049	No	
row_2	SULT2B1	NA	1939	0.08995912969112396	-0.063547514	No	
row_3	IDE	NA	2076	0.08591204881668091	-0.053867035	No	
row_4	GSTK1	NA	2147	0.08418713510036469	-0.040318932	No	
row_5	FABP6	NA	2275	0.0811915174126625	-0.031072302	No	
row_6	ERCC3	NA	2363	0.07932742685079575	-0.01965711	No	
row_7	HSD11B2	NA	2463	0.07710202038288116	-0.009489264	No	
row_8	CLN8	NA	3060	0.0648944228887558	-0.033845697	No	
row_9	BCL10	NA	3180	0.06310989707708359	-0.027960537	No	
row_10	PEX13	NA	3431	0.05901218205690384	-0.031363938	No	
row_11	MSH2	NA	3453	0.05872541666030884	-0.020126686	No	
row_12	ACSL1	NA	3652	0.055489666759967804	-0.020946527	No	
row_13	ABCB1	NA	4088	0.048794686794281006	-0.03841689	No	
row_14	ELOVL5	NA	4206	0.046873413026332855	-0.03588298	No	
row_15	ABCC5	NA	4474	0.04294919595122337	-0.043820266	No	
row_16	SLC25A4	NA	4731	0.03888183459639549	-0.05192302	No	
row_17	PEX11A	NA	5294	0.03121935948729515	-0.08131353	No	
row_18	SOD2	NA	5565	0.027305010706186295	-0.09279614	No	
row_19	PEX5	NA	5700	0.025537248700857162	-0.09592621	No	
row_20	SLC25A19	NA	5725	0.02518075332045555	-0.09207054	No	
row_21	PEX2	NA	5825	0.023610873147845268	-0.093366414	No	
row_22	YWHAH	NA	5914	0.02236601896584034	-0.09422286	No	
row_23	SLC35B2	NA	6358	0.016178449615836143	-0.11919684	No	
row_24	GNPAT	NA	6529	0.014013814739882946	-0.12710775	No	
row_25	DHCR24	NA	6687	0.011686945334076881	-0.13468273	No	
row_26	CACNA1B	NA	6705	0.01149806659668684	-0.13330999	No	
row_27	PABPC1	NA	7746	-0.001707721850834787	-0.1997134	No	
row_28	FDPS	NA	7840	-0.0028207239229232073	-0.20507962	No	
row_29	NUDT19	NA	7879	-0.0033719437196850777	-0.20679662	No	
row_30	PEX6	NA	8015	-0.005362789146602154	-0.21431449	No	
row_31	FADS1	NA	8529	-0.012177598662674427	-0.24464	No	
row_32	TOP2A	NA	8863	-0.016321711242198944	-0.26252112	No	
row_33	IDH2	NA	9130	-0.019729452207684517	-0.27537045	No	
row_34	CRABP1	NA	9299	-0.02211621217429638	-0.28141654	No	
row_35	SLC25A17	NA	9375	-0.022988200187683105	-0.28130502	No	
row_36	ALDH1A1	NA	9554	-0.02540806494653225	-0.28728762	No	
row_37	ITGB1BP1	NA	9835	-0.029035363346338272	-0.29904142	No	
row_38	RXRG	NA	10011	-0.03149302303791046	-0.30352736	No	
row_39	CNBP	NA	10307	-0.0357016995549202	-0.31481552	Yes	
row_40	HSD17B4	NA	10318	-0.035847194492816925	-0.30777508	Yes	
row_41	SCP2	NA	10438	-0.03724418208003044	-0.30743322	Yes	
row_42	ABCB9	NA	10460	-0.03762426972389221	-0.3007182	Yes	
row_43	ESR2	NA	10557	-0.03885459527373314	-0.29855454	Yes	
row_44	CTBP1	NA	10592	-0.03935913369059563	-0.2923023	Yes	
row_45	SEMA3C	NA	10704	-0.0408720001578331	-0.29066935	Yes	
row_46	MLYCD	NA	10816	-0.04229838773608208	-0.2887307	Yes	
row_47	ATXN1	NA	10830	-0.042569223791360855	-0.2804423	Yes	
row_48	IDI1	NA	11383	-0.0515773743391037	-0.30482787	Yes	
row_49	ABCD2	NA	11438	-0.05249973386526108	-0.29704347	Yes	
row_50	DIO1	NA	11465	-0.05290570110082626	-0.28737447	Yes	
row_51	PEX14	NA	11627	-0.05539068579673767	-0.28584006	Yes	
row_52	VPS4B	NA	11677	-0.056101419031620026	-0.27696282	Yes	
row_53	DHRS3	NA	11727	-0.05698418617248535	-0.26789635	Yes	
row_54	CEL	NA	11738	-0.05718560889363289	-0.2562829	Yes	
row_55	ECI2	NA	11820	-0.058311138302087784	-0.24898651	Yes	
row_56	SLC23A2	NA	12230	-0.06497248262166977	-0.26132056	Yes	
row_57	ACOX1	NA	12528	-0.0701470822095871	-0.2653551	Yes	
row_58	ALDH9A1	NA	12624	-0.07196805626153946	-0.2560307	Yes	
row_59	ACOT8	NA	12674	-0.0730089545249939	-0.24352998	Yes	
row_60	CADM1	NA	12736	-0.07404590398073196	-0.23157744	Yes	
row_61	ABCC8	NA	12887	-0.07682349532842636	-0.22474356	Yes	
row_62	ACAA1	NA	12894	-0.07703477889299393	-0.2086194	Yes	
row_63	HAO2	NA	12908	-0.07730339467525482	-0.19288708	Yes	
row_64	SIAH1	NA	13115	-0.08168511837720871	-0.18860656	Yes	
row_65	STS	NA	13129	-0.08201746642589569	-0.17186397	Yes	
row_66	SOD1	NA	13262	-0.08462268114089966	-0.16220301	Yes	
row_67	PRDX1	NA	13335	-0.08620341122150421	-0.1483512	Yes	
row_68	IDH1	NA	13385	-0.0872158333659172	-0.1328058	Yes	
row_69	HMGCL	NA	13435	-0.08886117488145828	-0.116907775	Yes	
row_70	SLC27A2	NA	13451	-0.08913566917181015	-0.09876808	Yes	
row_71	LONP2	NA	13561	-0.09183739870786667	-0.0860843	Yes	
row_72	ACSL4	NA	13622	-0.09338673949241638	-0.06992261	Yes	
row_73	EHHADH	NA	13724	-0.09606970101594925	-0.05581819	Yes	
row_74	CTPS1	NA	13911	-0.10156916081905365	-0.045992292	Yes	
row_75	SMARCC1	NA	13962	-0.10274239629507065	-0.027183576	Yes	
row_76	ABCD3	NA	14149	-0.10870067775249481	-0.01582932	Yes	
row_77	TSPO	NA	14278	-0.11240105330944061	4.164502E-5	Yes	
row_78	ACSL5	NA	14564	-0.12120816856622696	0.0077204574	Yes	
row_79	CAT	NA	14724	-0.12958623468875885	0.025284145	Yes	
row_80	ALB	NA	15235	-0.16092227399349213	0.02702881	Yes	
