NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G12A	NA	125	0.21027708053588867	0.03433613	Yes	
row_1	FASLG	NA	365	0.16541516780853271	0.05231509	Yes	
row_2	STAT2	NA	461	0.15509046614170074	0.07745965	Yes	
row_3	FGF17	NA	692	0.1375991851091385	0.09041273	Yes	
row_4	IRAK4	NA	893	0.12612316012382507	0.10298004	Yes	
row_5	TRAF2	NA	1189	0.11325440555810928	0.10685534	Yes	
row_6	CAB39L	NA	1236	0.1111983135342598	0.12630358	Yes	
row_7	CAB39	NA	1428	0.1045791506767273	0.13510855	Yes	
row_8	LCK	NA	1591	0.09961375594139099	0.14477517	Yes	
row_9	MAPK8	NA	2128	0.08465126156806946	0.12741463	Yes	
row_10	MAPK1	NA	2773	0.07015641778707504	0.10019983	Yes	
row_11	PITX2	NA	2855	0.06876907497644424	0.108853206	Yes	
row_12	PLCB1	NA	3153	0.0634811744093895	0.10257292	Yes	
row_13	SMAD2	NA	3255	0.06177769601345062	0.108533725	Yes	
row_14	ARPC3	NA	3303	0.0610186792910099	0.117808715	Yes	
row_15	TBK1	NA	3328	0.06061564385890961	0.12847924	Yes	
row_16	MKNK2	NA	3616	0.055997855961322784	0.121333435	Yes	
row_17	RALB	NA	3620	0.05594424158334732	0.13241118	Yes	
row_18	MAP2K3	NA	3694	0.0546787865459919	0.13873962	Yes	
row_19	DDIT3	NA	3772	0.05358092114329338	0.14459005	Yes	
row_20	RAF1	NA	3921	0.051297128200531006	0.14542182	Yes	
row_21	MAP2K6	NA	3933	0.05093147233128548	0.15497607	Yes	
row_22	MKNK1	NA	4041	0.04945442080497742	0.15806903	Yes	
row_23	FGF22	NA	4361	0.04454568400979042	0.14656153	No	
row_24	RIPK1	NA	4481	0.04288019612431526	0.1475596	No	
row_25	SQSTM1	NA	4534	0.042027391493320465	0.15268764	No	
row_26	CDKN1A	NA	4820	0.03787356615066528	0.14201897	No	
row_27	PIKFYVE	NA	4973	0.03580045700073242	0.13947201	No	
row_28	IL2RG	NA	5237	0.03200496360659599	0.1290336	No	
row_29	UBE2D3	NA	5383	0.030052047222852707	0.125778	No	
row_30	EIF4E	NA	5465	0.02885395660996437	0.12639019	No	
row_31	PLCG1	NA	5544	0.027671461924910545	0.12695679	No	
row_32	DAPP1	NA	5735	0.025066202506422997	0.11980751	No	
row_33	UBE2N	NA	5908	0.022486569359898567	0.11329425	No	
row_34	RPTOR	NA	6306	0.016917634755373	0.09121286	No	
row_35	FGF6	NA	6369	0.016087695956230164	0.09047311	No	
row_36	SLA	NA	6466	0.01488785445690155	0.087308645	No	
row_37	RPS6KA1	NA	6471	0.014732006937265396	0.09001969	No	
row_38	E2F1	NA	6507	0.014242229983210564	0.0906417	No	
row_39	MYD88	NA	6534	0.013937507756054401	0.09178016	No	
row_40	ARHGDIA	NA	6916	0.008728984743356705	0.069076404	No	
