NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1B1	NA	1059	0.11933474987745285	-0.045148287	No	
row_1	STAM	NA	1351	0.10746707022190094	-0.04323685	No	
row_2	ATP6V1H	NA	1454	0.103426992893219	-0.029958954	No	
row_3	SNAP23	NA	1558	0.10066267102956772	-0.017275305	No	
row_4	OCRL	NA	2212	0.08265247941017151	-0.04337593	No	
row_5	AP3B1	NA	2255	0.08147535473108292	-0.03045255	No	
row_6	GALC	NA	2408	0.07837435603141785	-0.025189959	No	
row_7	TOM1L1	NA	2488	0.0765715092420578	-0.015583621	No	
row_8	GLA	NA	2709	0.07139377295970917	-0.016027642	No	
row_9	MAPK1	NA	2773	0.07015641778707504	-0.0066234674	No	
row_10	ARFGEF1	NA	3008	0.0658382996916771	-0.009031987	No	
row_11	BNIP3	NA	3020	0.06566276401281357	0.0028510136	No	
row_12	GNAS	NA	3342	0.06042509526014328	-0.0061841337	No	
row_13	STX12	NA	3454	0.05871286615729332	-0.002057494	No	
row_14	RAB22A	NA	3865	0.0522879920899868	-0.018370003	No	
row_15	ADAM10	NA	3877	0.05207263305783272	-0.00909266	No	
row_16	CLTA	NA	3880	0.05205327644944191	7.591179E-4	No	
row_17	RAB2A	NA	4037	0.049507178366184235	2.3000705E-4	No	
row_18	VAMP3	NA	4347	0.04481007531285286	-0.011028171	No	
row_19	ANP32E	NA	4546	0.04183042049407959	-0.015727174	No	
row_20	SCAMP1	NA	4634	0.040340159088373184	-0.013581438	No	
row_21	NAPG	NA	4687	0.03953256458044052	-0.009342197	No	
row_22	ZW10	NA	4945	0.03615770488977432	-0.018918907	No	
row_23	CAV2	NA	5147	0.033223800361156464	-0.025460787	No	
row_24	STX7	NA	5230	0.032082583755254745	-0.024577096	No	
row_25	ICA1	NA	5435	0.02937258780002594	-0.032050088	No	
row_26	DOP1A	NA	5795	0.02417444996535778	-0.05047669	No	
row_27	ATP7A	NA	5816	0.02379690110683441	-0.047198843	No	
row_28	DNM1L	NA	5826	0.023595189675688744	-0.043253046	No	
row_29	SNX2	NA	6036	0.020900821313261986	-0.052671537	No	
row_30	GOLGA4	NA	6241	0.01784522645175457	-0.062354688	No	
row_31	KIF1B	NA	6291	0.0171405877918005	-0.06221598	No	
row_32	CTSC	NA	6301	0.01703162118792534	-0.059528627	No	
row_33	TMX1	NA	6314	0.01677664741873741	-0.057082877	No	
row_34	ATP1A1	NA	6398	0.015798648819327354	-0.059385568	No	
row_35	SGMS1	NA	6748	0.010875613428652287	-0.07971959	No	
row_36	AP3S1	NA	6769	0.010545250959694386	-0.0789825	No	
row_37	TPD52	NA	6936	0.008494595065712929	-0.088017404	No	
row_38	STX16	NA	7641	-4.173027991782874E-4	-0.13316126	No	
row_39	RPS6KA3	NA	7684	-0.0010182149708271027	-0.13566406	No	
row_40	DST	NA	7854	-0.002996869618073106	-0.14594576	No	
row_41	RAB14	NA	7918	-0.00393360760062933	-0.14923859	No	
row_42	VAMP4	NA	8083	-0.006315052974969149	-0.1585629	No	
row_43	CLTC	NA	8144	-0.007066973485052586	-0.16106224	No	
row_44	SSPN	NA	8375	-0.010177023708820343	-0.17388584	No	
row_45	PPT1	NA	8967	-0.017705364152789116	-0.20845608	No	
row_46	TSG101	NA	9349	-0.022752080112695694	-0.22856864	No	
row_47	SCAMP3	NA	9416	-0.023465007543563843	-0.2283094	No	
row_48	M6PR	NA	9447	-0.023937446996569633	-0.22564699	No	
row_49	IGF2R	NA	9644	-0.026633966714143753	-0.23313116	No	
row_50	ARFIP1	NA	9680	-0.02705005742609501	-0.23019315	No	
row_51	RAB5A	NA	10018	-0.0316433385014534	-0.24577448	No	
row_52	SEC31A	NA	10071	-0.03256172314286232	-0.24287178	No	
row_53	RAB9A	NA	10286	-0.035340651869773865	-0.24984288	No	
row_54	ARFGEF2	NA	10510	-0.03824523463845253	-0.25683525	No	
row_55	YIPF6	NA	10547	-0.038732729852199554	-0.25172153	No	
row_56	GOSR2	NA	10750	-0.04137527942657471	-0.25676477	No	
row_57	COPB1	NA	10981	-0.044893041253089905	-0.26293218	No	
row_58	COPB2	NA	11238	-0.049112431704998016	-0.26996085	Yes	
row_59	TMED10	NA	11356	-0.05118509382009506	-0.26766294	Yes	
row_60	COG2	NA	11367	-0.051334086805582047	-0.25846297	Yes	
row_61	VPS45	NA	11454	-0.05280410870909691	-0.25386325	Yes	
row_62	EGFR	NA	11496	-0.053355999290943146	-0.246267	Yes	
row_63	VPS4B	NA	11677	-0.056101419031620026	-0.24707352	Yes	
row_64	AP1G1	NA	11700	-0.05650893226265907	-0.23765221	Yes	
row_65	VAMP7	NA	11839	-0.05868071690201759	-0.23526618	Yes	
row_66	ABCA1	NA	11908	-0.05952056124806404	-0.22822241	Yes	
row_67	SEC22B	NA	12159	-0.06366553157567978	-0.23207535	Yes	
row_68	COPE	NA	12335	-0.06684517115354538	-0.23050074	Yes	
row_69	BET1	NA	12350	-0.06716419756412506	-0.21852258	Yes	
row_70	AP2B1	NA	12504	-0.06969798356294632	-0.21498777	Yes	
row_71	CLN5	NA	13133	-0.08210358768701553	-0.23958766	Yes	
row_72	SOD1	NA	13262	-0.08462268114089966	-0.23158535	Yes	
row_73	ERGIC3	NA	13295	-0.08531728386878967	-0.21728297	Yes	
row_74	RER1	NA	13461	-0.08934111148118973	-0.2107528	Yes	
row_75	SCRN1	NA	13497	-0.09025238454341888	-0.19569692	Yes	
row_76	USO1	NA	13570	-0.09215084463357925	-0.18265387	Yes	
row_77	SEC24D	NA	13657	-0.09415767341852188	-0.17012538	Yes	
row_78	TMED2	NA	13835	-0.09920606762170792	-0.16247465	Yes	
row_79	LAMP2	NA	13918	-0.10173425078392029	-0.14823654	Yes	
row_80	ARCN1	NA	13990	-0.10354770720005035	-0.1329441	Yes	
row_81	ARF1	NA	14022	-0.10467105358839035	-0.114866756	Yes	
row_82	LMAN1	NA	14078	-0.10640496760606766	-0.09799868	Yes	
row_83	MON2	NA	14446	-0.11730466037988663	-0.09908319	Yes	
row_84	PAM	NA	14448	-0.11738619208335876	-0.07664079	Yes	
row_85	CLCN3	NA	14689	-0.12728306651115417	-0.06765384	Yes	
row_86	AP2M1	NA	14926	-0.14039726555347443	-0.055895533	Yes	
row_87	ARFGAP3	NA	15220	-0.1597793698310852	-0.044082657	Yes	
row_88	SH3GL2	NA	15244	-0.16161300241947174	-0.014573829	Yes	
row_89	GBF1	NA	15531	-0.2137136608362198	0.008029625	Yes	
