NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLRX2	NA	1496	0.10245776921510696	-0.05130483	No	
row_1	HMOX2	NA	2345	0.07964696735143661	-0.07102239	No	
row_2	FES	NA	3161	0.06338851898908615	-0.095685616	No	
row_3	PRDX6	NA	3388	0.059680111706256866	-0.08424596	No	
row_4	TXNRD2	NA	3598	0.056245189160108566	-0.073209085	No	
row_5	OXSR1	NA	4144	0.04788503423333168	-0.08731541	No	
row_6	PRNP	NA	4236	0.04636937379837036	-0.07301074	No	
row_7	NDUFS2	NA	4679	0.03966442495584488	-0.0840911	No	
row_8	NDUFB4	NA	5168	0.032965026795864105	-0.10102531	No	
row_9	PDLIM1	NA	5309	0.031049266457557678	-0.09650928	No	
row_10	MBP	NA	5521	0.02802850678563118	-0.09785075	No	
row_11	SOD2	NA	5565	0.027305010706186295	-0.0887495	No	
row_12	GSR	NA	5585	0.02705172449350357	-0.07822153	No	
row_13	STK25	NA	5937	0.022107761353254318	-0.091097504	No	
row_14	NDUFA6	NA	6035	0.02092641219496727	-0.08822308	No	
row_15	TXN	NA	6352	0.01620660535991192	-0.10142004	No	
row_16	PTPA	NA	6530	0.01399409119039774	-0.10667757	No	
row_17	ABCC1	NA	6656	0.0120710963383317	-0.10944049	No	
row_18	ATOX1	NA	8251	-0.008447501808404922	-0.20783472	No	
row_19	PFKP	NA	8538	-0.012339171953499317	-0.22078986	No	
row_20	SELENOS	NA	9480	-0.024382660165429115	-0.27045512	No	
row_21	SCAF4	NA	9920	-0.03043334372341633	-0.28535107	No	
row_22	GCLC	NA	10519	-0.038393840193748474	-0.30697152	No	
row_23	MGST1	NA	10624	-0.03977260738611221	-0.2963632	No	
row_24	LAMTOR5	NA	10665	-0.040254686027765274	-0.28144777	No	
row_25	LSP1	NA	11432	-0.052415259182453156	-0.30773762	No	
row_26	GCLM	NA	11437	-0.05247260630130768	-0.28521276	No	
row_27	TXNRD1	NA	12093	-0.0626211017370224	-0.29996455	No	
row_28	GPX4	NA	12865	-0.07645062357187271	-0.3161396	Yes	
row_29	GPX3	NA	13027	-0.07966893911361694	-0.29185992	Yes	
row_30	HHEX	NA	13120	-0.08188372105360031	-0.2622007	Yes	
row_31	SRXN1	NA	13199	-0.08324980735778809	-0.23105201	Yes	
row_32	SOD1	NA	13262	-0.08462268114089966	-0.19828284	Yes	
row_33	PRDX1	NA	13335	-0.08620341122150421	-0.16546765	Yes	
row_34	SBNO2	NA	14558	-0.12106312066316605	-0.19115111	Yes	
row_35	PRDX4	NA	14620	-0.12401613593101501	-0.1412152	Yes	
row_36	CAT	NA	14724	-0.12958623468875885	-0.091550246	Yes	
row_37	MSRA	NA	14897	-0.13866066932678223	-0.042363606	Yes	
row_38	IPCEF1	NA	15525	-0.20936882495880127	0.008387964	Yes	
