NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STRBP	NA	346	0.16828764975070953	0.0048297183	No	
row_1	DDX25	NA	415	0.16026221215724945	0.026226368	No	
row_2	SLC12A2	NA	566	0.147871196269989	0.04036376	No	
row_3	HSPA2	NA	734	0.13518640398979187	0.051369894	No	
row_4	GFI1	NA	867	0.12741713225841522	0.063375205	No	
row_5	MEP1B	NA	1205	0.11240199208259583	0.05979856	No	
row_6	COIL	NA	1458	0.10338497906923294	0.060232215	No	
row_7	CHRM4	NA	1478	0.10295728594064713	0.07556371	No	
row_8	ACTL7B	NA	1601	0.09933267533779144	0.08369636	No	
row_9	NPHP1	NA	1607	0.09914201498031616	0.09931377	No	
row_10	ACE	NA	1654	0.09784460812807083	0.112089	No	
row_11	IL12RB2	NA	1871	0.09194499254226685	0.11299594	No	
row_12	ARL4A	NA	2011	0.0879286378622055	0.11820323	No	
row_13	RAD17	NA	2067	0.0862596184015274	0.1285379	No	
row_14	IDE	NA	2076	0.08591204881668091	0.14183567	No	
row_15	ACRBP	NA	2083	0.08578632771968842	0.15524173	No	
row_16	MTNR1A	NA	2226	0.08236166089773178	0.15936135	No	
row_17	HOXB1	NA	2376	0.07910081744194031	0.16250709	No	
row_18	NOS1	NA	2514	0.07601084560155869	0.16592687	No	
row_19	SHE	NA	2698	0.07170851528644562	0.16570023	No	
row_20	NF2	NA	2774	0.07012201845645905	0.17215583	No	
row_21	GAD1	NA	2860	0.06868533045053482	0.17773813	No	
row_22	PEBP1	NA	3254	0.061779335141181946	0.162426	No	
row_23	PGS1	NA	3486	0.05825471878051758	0.1569532	No	
row_24	DCC	NA	3625	0.05586199089884758	0.15706953	No	
row_25	SEPTIN4	NA	4061	0.04921590909361839	0.1370398	No	
row_26	ADCYAP1	NA	4112	0.04835289716720581	0.14160155	No	
row_27	VDAC3	NA	4490	0.04275823011994362	0.12425924	No	
row_28	CCNA1	NA	4787	0.038167476654052734	0.11138188	No	
row_29	PIAS2	NA	4840	0.03765606880187988	0.11409548	No	
row_30	SCG3	NA	5006	0.035326093435287476	0.10917602	No	
row_31	PSMG1	NA	5212	0.032278385013341904	0.10119723	No	
row_32	LPIN1	NA	5307	0.031078940257430077	0.10015561	No	
row_33	BUB1	NA	5473	0.02867181785404682	0.094166376	No	
row_34	SPATA6	NA	5609	0.026789721101522446	0.089801595	No	
row_35	TSN	NA	5748	0.02492961660027504	0.084945075	No	
row_36	SIRT1	NA	5949	0.021917032077908516	0.0756217	No	
row_37	IP6K1	NA	6124	0.019529394805431366	0.067584574	No	
row_38	DBF4	NA	6553	0.013597071170806885	0.04227822	No	
row_39	NCAPH	NA	6564	0.013451998122036457	0.043798488	No	
row_40	CDKN3	NA	6961	0.008233681321144104	0.019685382	No	
row_41	ZPBP	NA	7281	0.004388539120554924	-9.984389E-5	No	
row_42	AURKA	NA	7586	3.181025676894933E-4	-0.01957594	No	
row_43	DDX4	NA	7870	-0.00322082475759089	-0.03723646	No	
row_44	AGFG1	NA	8065	-0.005978430155664682	-0.048736796	No	
row_45	IFT88	NA	8238	-0.008278198540210724	-0.058454253	No	
row_46	TALDO1	NA	8324	-0.00948367454111576	-0.062389527	No	
row_47	ZC3H14	NA	8475	-0.011575019918382168	-0.070163816	No	
row_48	TTK	NA	8587	-0.012971910648047924	-0.075208396	No	
row_49	MAST2	NA	8797	-0.015407181344926357	-0.08615643	No	
row_50	CAMK4	NA	8800	-0.015513765625655651	-0.083790824	No	
row_51	MLLT10	NA	9294	-0.022047273814678192	-0.11191392	No	
row_52	GMCL1	NA	9311	-0.02218073047697544	-0.109375775	No	
row_53	MLF1	NA	9429	-0.023625720292329788	-0.113092996	No	
row_54	KIF2C	NA	9472	-0.02430318109691143	-0.11188374	No	
row_55	CFTR	NA	9529	-0.0249868705868721	-0.11146384	No	
row_56	ZC2HC1C	NA	10051	-0.03225290775299072	-0.13974477	No	
row_57	CDK1	NA	10100	-0.0330439917743206	-0.13751571	No	
row_58	CSNK2A2	NA	10560	-0.03889600932598114	-0.16074614	No	
