NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP2	NA	682	0.13849903643131256	-0.0013311945	No	
row_1	KLF10	NA	1216	0.11200343072414398	-0.0012207575	No	
row_2	SMAD3	NA	1225	0.11168541759252548	0.032422554	No	
row_3	NOG	NA	1476	0.10297052562236786	0.047898777	No	
row_4	XIAP	NA	1513	0.10186011344194412	0.0767437	No	
row_5	FNTA	NA	1812	0.09363105893135071	0.08628896	No	
row_6	IFNGR2	NA	2649	0.07272165268659592	0.054976806	No	
row_7	THBS1	NA	2916	0.067399762570858	0.058549818	No	
row_8	HDAC1	NA	3724	0.05419941246509552	0.023430834	No	
row_9	UBE2D3	NA	5383	0.030052047222852707	-0.07358577	No	
row_10	BCAR3	NA	5935	0.022130629047751427	-0.10211337	No	
row_11	ID3	NA	6085	0.020263714715838432	-0.10546085	No	
row_12	SMAD1	NA	6282	0.017257748171687126	-0.11273832	No	
row_13	ID1	NA	6396	0.015801716595888138	-0.1151443	No	
row_14	BMPR1A	NA	6896	0.008961665444076061	-0.14436828	No	
row_15	TJP1	NA	8737	-0.014689917676150799	-0.2577414	No	
row_16	ARID4B	NA	8830	-0.0158421341329813	-0.2587898	No	
row_17	WWTR1	NA	8965	-0.017697259783744812	-0.2619613	No	
row_18	BMPR2	NA	9264	-0.021598974242806435	-0.27444497	No	
row_19	SKIL	NA	9540	-0.025198664516210556	-0.28435448	No	
row_20	ID2	NA	9646	-0.02666565589606762	-0.28292558	No	
row_21	TGIF1	NA	9697	-0.027194485068321228	-0.2778118	No	
row_22	HIPK2	NA	10211	-0.0342630110681057	-0.3001949	No	
row_23	LTBP2	NA	10242	-0.03469789773225784	-0.29150525	No	
row_24	SPTBN1	NA	10529	-0.03852691128849983	-0.2980433	No	
row_25	MAP3K7	NA	10616	-0.039636287838220596	-0.29143062	No	
row_26	ENG	NA	11044	-0.0458943136036396	-0.30474767	No	
row_27	NCOR2	NA	11261	-0.0495234914124012	-0.30343875	No	
row_28	RHOA	NA	11394	-0.05178169533610344	-0.2960584	No	
row_29	APC	NA	11881	-0.059091828763484955	-0.30911872	Yes	
row_30	SMAD6	NA	11983	-0.0606500469148159	-0.29704046	Yes	
row_31	TRIM33	NA	12365	-0.0674956887960434	-0.3008047	Yes	
row_32	FURIN	NA	12607	-0.07165629416704178	-0.2943285	Yes	
row_33	CDK9	NA	12784	-0.07470846176147461	-0.2827552	Yes	
row_34	SMURF1	NA	12937	-0.07801095396280289	-0.2686345	Yes	
row_35	RAB31	NA	13387	-0.08734548091888428	-0.27068418	Yes	
row_36	PMEPA1	NA	13647	-0.09398874640464783	-0.25853127	Yes	
row_37	PPM1A	NA	13658	-0.09416714310646057	-0.23037355	Yes	
row_38	SLC20A1	NA	13723	-0.09598179906606674	-0.20511995	Yes	
row_39	TGFBR1	NA	14314	-0.11341732740402222	-0.20822838	Yes	
row_40	ACVR1	NA	14371	-0.11511990427970886	-0.17660949	Yes	
row_41	CTNNB1	NA	14450	-0.1174350306391716	-0.14569183	Yes	
row_42	FKBP1A	NA	14536	-0.12040790915489197	-0.114313416	Yes	
row_43	CDKN1C	NA	15228	-0.1602192223072052	-0.10957863	Yes	
row_44	SMURF2	NA	15470	-0.19381485879421234	-0.06574377	Yes	
row_45	SKI	NA	15613	-0.25372442603111267	0.0027544028	Yes	
