NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX58	NA	43	0.25498631596565247	0.027163632	Yes	
row_1	CCNL1	NA	222	0.1880342811346054	0.03776286	Yes	
row_2	TNC	NA	474	0.15392550826072693	0.039651	Yes	
row_3	PLK2	NA	482	0.15326878428459167	0.057193816	Yes	
row_4	LITAF	NA	614	0.14364519715309143	0.06561196	Yes	
row_5	TNIP2	NA	634	0.14185501635074615	0.08104108	Yes	
row_6	BMP2	NA	682	0.13849903643131256	0.094270915	Yes	
row_7	RCAN1	NA	993	0.1223464384675026	0.08864759	Yes	
row_8	KLF10	NA	1216	0.11200343072414398	0.08748373	Yes	
row_9	SMAD3	NA	1225	0.11168541759252548	0.10008008	Yes	
row_10	ATF3	NA	1286	0.1095360741019249	0.10907142	Yes	
row_11	IRF1	NA	1488	0.10275264829397202	0.10817546	Yes	
row_12	BTG2	NA	1515	0.10182508826255798	0.118453644	Yes	
row_13	PANX1	NA	1674	0.09736040234565735	0.11969702	Yes	
row_14	HBEGF	NA	1724	0.0958976298570633	0.1277964	Yes	
row_15	IFIH1	NA	1811	0.09363695234060287	0.1332448	Yes	
row_16	CEBPB	NA	1930	0.09021450579166412	0.13622822	Yes	
row_17	IL7R	NA	2032	0.08732851594686508	0.13996887	Yes	
row_18	FOSL2	NA	2043	0.08689548075199127	0.14952588	Yes	
row_19	CCND1	NA	2179	0.08338607102632523	0.15061155	Yes	
row_20	SPHK1	NA	2183	0.08330312371253967	0.16019812	Yes	
row_21	TNIP1	NA	2203	0.08287638425827026	0.168703	Yes	
row_22	JUN	NA	2230	0.08228091895580292	0.17668664	Yes	
row_23	G0S2	NA	2325	0.08010415732860565	0.18003048	Yes	
row_24	IFNGR2	NA	2649	0.07272165268659592	0.16774291	Yes	
row_25	PNRC1	NA	2680	0.07210224121809006	0.17427365	Yes	
row_26	KLF4	NA	3035	0.06541095674037933	0.15912908	Yes	
row_27	LIF	NA	3045	0.06525041908025742	0.16620937	Yes	
row_28	MAFF	NA	3052	0.06511243432760239	0.17346689	Yes	
row_29	IL6	NA	3247	0.06191210076212883	0.16822746	Yes	
row_30	TNFAIP8	NA	3283	0.0613902248442173	0.17317823	Yes	
row_31	GADD45A	NA	3289	0.06128305196762085	0.18005064	Yes	
row_32	PTGER4	NA	3601	0.056234296411275864	0.1666011	No	
row_33	MAP2K3	NA	3694	0.0546787865459919	0.16708888	No	
row_34	LAMB3	NA	3850	0.05245274305343628	0.16325341	No	
row_35	CEBPD	NA	3930	0.05099768936634064	0.16414718	No	
row_36	IL15RA	NA	3945	0.05081145465373993	0.16920993	No	
row_37	SLC2A6	NA	4033	0.04953809455037117	0.16941655	No	
row_38	ZC3H12A	NA	4093	0.04872367903590202	0.17133282	No	
row_39	RNF19B	NA	4187	0.04714719206094742	0.1708719	No	
row_40	MYC	NA	4209	0.04683517664670944	0.1750165	No	
row_41	F2RL1	NA	4346	0.04484895244240761	0.17151335	No	
row_42	CCN1	NA	4473	0.042951613664627075	0.16843218	No	
row_43	SQSTM1	NA	4534	0.042027391493320465	0.16949783	No	
row_44	PTGS2	NA	4579	0.04126691445708275	0.1715058	No	
row_45	IL18	NA	4592	0.04095045104622841	0.17553978	No	
row_46	CDKN1A	NA	4820	0.03787356615066528	0.16535051	No	
row_47	FOS	NA	5065	0.03452203795313835	0.1536717	No	
row_48	DUSP5	NA	5128	0.033624887466430664	0.15362193	No	
row_49	SAT1	NA	5192	0.032594192773103714	0.15338667	No	
row_50	TRIB1	NA	5276	0.03145003318786621	0.1517276	No	
row_51	HES1	NA	5445	0.029209958389401436	0.1443252	No	
row_52	MARCKS	NA	5508	0.028209127485752106	0.14363961	No	
row_53	SOD2	NA	5565	0.027305010706186295	0.1432347	No	
row_54	NR4A1	NA	5574	0.02721588872373104	0.14591412	No	
row_55	REL	NA	5714	0.0253128744661808	0.13992396	No	
row_56	KLF2	NA	5738	0.025044307112693787	0.14138131	No	
row_57	INHBA	NA	5805	0.023985054343938828	0.1399419	No	
row_58	ETS2	NA	5839	0.023393217474222183	0.14056066	No	
row_59	NFIL3	NA	5975	0.021641969680786133	0.13439742	No	
row_60	TIPARP	NA	6012	0.021164946258068085	0.13456115	No	
row_61	NR4A3	NA	6229	0.018069567158818245	0.12275607	No	
row_62	TANK	NA	6259	0.0176223311573267	0.12295521	No	
row_63	FJX1	NA	6303	0.016998063772916794	0.12217842	No	
row_64	PLAU	NA	6377	0.016015371307730675	0.11935203	No	
row_65	TNFAIP2	NA	6434	0.01528574712574482	0.11753604	No	
row_66	PHLDA2	NA	6544	0.013787991367280483	0.11212706	No	
row_67	NFKB2	NA	6555	0.013563746586441994	0.113074735	No	
row_68	MXD1	NA	6615	0.01274303998798132	0.1107668	No	
row_69	DNAJB4	NA	6715	0.011378508992493153	0.105719686	No	
row_70	F3	NA	6767	0.01055834162980318	0.10367106	No	
row_71	PTX3	NA	6776	0.010468225926160812	0.104384266	No	
row_72	TNFAIP6	NA	6789	0.010351298376917839	0.10482584	No	
row_73	CD83	NA	7016	0.00753103056922555	0.09113876	No	
row_74	DRAM1	NA	7023	0.007460632361471653	0.09162781	No	
row_75	BCL2A1	NA	7038	0.0073191216215491295	0.091584444	No	
row_76	BTG1	NA	7155	0.005650015082210302	0.08476873	No	
row_77	IER5	NA	7237	0.004748135339468718	0.08010373	No	
row_78	CD80	NA	7444	0.002229358535259962	0.06708371	No	
row_79	CCL20	NA	7532	0.0011063112178817391	0.06160431	No	
row_80	KLF9	NA	7587	2.781194052658975E-4	0.058155335	No	
row_81	TRAF1	NA	7719	-0.0013713751686736941	0.049870174	No	
row_82	ACKR3	NA	7951	-0.004284863360226154	0.035479613	No	
row_83	CFLAR	NA	8019	-0.005430946592241526	0.031797428	No	
row_84	NR4A2	NA	8063	-0.0059685786254704	0.029725747	No	
row_85	MAP3K8	NA	8123	-0.006860275752842426	0.026727164	No	
row_86	EIF1	NA	8201	-0.007689290679991245	0.022665368	No	
row_87	B4GALT5	NA	8262	-0.008532035164535046	0.019798579	No	
row_88	BHLHE40	NA	8501	-0.011838183738291264	0.005843472	No	
row_89	PDLIM5	NA	8512	-0.012007452547550201	0.006608432	No	
row_90	PLEK	NA	8566	-0.012727661989629269	0.0046855416	No	
row_91	RIPK2	NA	8568	-0.012747261673212051	0.006117628	No	
row_92	EFNA1	NA	8749	-0.014823493547737598	-0.0037474723	No	
row_93	GFPT2	NA	8999	-0.0181523859500885	-0.017670494	No	
row_94	SNN	NA	9012	-0.0182355809956789	-0.016303286	No	
row_95	NFKBIE	NA	9082	-0.019124602898955345	-0.018506752	No	
row_96	TSC22D1	NA	9177	-0.020522432401776314	-0.022157973	No	
row_97	RHOB	NA	9320	-0.022295469418168068	-0.02869581	No	
row_98	PDE4B	NA	9450	-0.023971468210220337	-0.034198716	No	
row_99	KLF6	NA	9460	-0.02419554628431797	-0.031938367	No	
row_100	NFE2L2	NA	9543	-0.025234300643205643	-0.03426271	No	
row_101	CD44	NA	9593	-0.025937817990779877	-0.034376796	No	
row_102	ID2	NA	9646	-0.02666565589606762	-0.034598857	No	
row_103	TGIF1	NA	9697	-0.027194485068321228	-0.03462988	No	
row_104	YRDC	NA	9705	-0.027300642803311348	-0.03187604	No	
row_105	TNFAIP3	NA	9949	-0.030767155811190605	-0.04393121	No	
row_106	DENND5A	NA	9977	-0.031042397022247314	-0.042027567	No	
row_107	SIK1	NA	9984	-0.031119108200073242	-0.038760953	No	
row_108	NFAT5	NA	10010	-0.03147218003869057	-0.0366779	No	
row_109	CSF1	NA	10135	-0.0334632508456707	-0.040744074	No	
row_110	DUSP1	NA	10172	-0.033805642277002335	-0.03909629	No	
row_111	MSC	NA	10231	-0.03458738327026367	-0.038775165	No	
row_112	VEGFA	NA	10550	-0.038776662200689316	-0.054725587	No	
row_113	NFKBIA	NA	10574	-0.039084576070308685	-0.051619876	No	
row_114	SGK1	NA	10599	-0.03941003605723381	-0.04854043	No	
row_115	SPSB1	NA	10719	-0.04104001820087433	-0.051394694	No	
row_116	IRS2	NA	10993	-0.045028410851955414	-0.063709795	No	
row_117	GEM	NA	11197	-0.048318520188331604	-0.0711254	No	
row_118	GCH1	NA	11638	-0.05557063966989517	-0.092970066	No	
row_119	ABCA1	NA	11908	-0.05952056124806404	-0.10332585	No	
row_120	PHLDA1	NA	11914	-0.05955612659454346	-0.09665619	No	
row_121	ATP2B1	NA	11961	-0.06027306616306305	-0.0925458	No	
row_122	JAG1	NA	12174	-0.06399668753147125	-0.09870103	No	
row_123	SDC4	NA	12187	-0.06426523625850677	-0.09192982	No	
row_124	PTPRE	NA	12276	-0.06561995297670364	-0.08989964	No	
row_125	EDN1	NA	12368	-0.06761098653078079	-0.08782912	No	
row_126	TLR2	NA	12438	-0.0686667263507843	-0.084216215	No	
row_127	BCL6	NA	12515	-0.0699191465973854	-0.0809076	No	
row_128	FUT4	NA	12636	-0.07226977497339249	-0.08015989	No	
row_129	ZBTB10	NA	12728	-0.07388804107904434	-0.07735243	No	
row_130	NINJ1	NA	12831	-0.07574914395809174	-0.07503569	No	
row_131	PFKFB3	NA	13016	-0.0793493464589119	-0.07758319	No	
row_132	B4GALT1	NA	13236	-0.08407244086265564	-0.0818328	No	
row_133	SLC16A6	NA	13237	-0.0840839222073555	-0.07196113	No	
row_134	NAMPT	NA	13356	-0.08667595684528351	-0.06939315	No	
row_135	PMEPA1	NA	13647	-0.09398874640464783	-0.07705625	No	
row_136	EGR2	NA	13874	-0.10032595694065094	-0.079848975	No	
row_137	IL6ST	NA	14113	-0.10734185576438904	-0.082591705	No	
row_138	DUSP4	NA	14324	-0.11379454284906387	-0.08277159	No	
row_139	ICOSLG	NA	14643	-0.12523142993450165	-0.08857201	No	
row_140	EGR1	NA	14707	-0.12802357971668243	-0.077603616	No	
row_141	KYNU	NA	15074	-0.14896681904792786	-0.08371221	No	
