NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EXOSC9	NA	300	0.1740468591451645	0.0062815025	No	
row_1	IMP3	NA	363	0.16556234657764435	0.026612543	No	
row_2	KDELR3	NA	501	0.15187302231788635	0.040113024	No	
row_3	TARS1	NA	866	0.12746089696884155	0.035439484	No	
row_4	DCP2	NA	942	0.12435148656368256	0.04888254	No	
row_5	NFYA	NA	1110	0.11729227006435394	0.05537623	No	
row_6	ATF3	NA	1286	0.1095360741019249	0.06021666	No	
row_7	ERO1A	NA	1324	0.10844839364290237	0.07376624	No	
row_8	LSM4	NA	1537	0.10128456354141235	0.0750169	No	
row_9	MTHFD2	NA	1801	0.09384757280349731	0.071897686	No	
row_10	EXOC2	NA	1837	0.09286900609731674	0.0832877	No	
row_11	CEBPB	NA	1930	0.09021450579166412	0.09062462	No	
row_12	CEBPG	NA	2229	0.08228782564401627	0.0835583	No	
row_13	NABP1	NA	2250	0.08151920884847641	0.09424542	No	
row_14	SDAD1	NA	2273	0.08119919151067734	0.104757	No	
row_15	DKC1	NA	2432	0.07777553051710129	0.10602541	No	
row_16	NOP56	NA	2436	0.07770515978336334	0.117244914	No	
row_17	ASNS	NA	2533	0.07559068500995636	0.12217701	No	
row_18	RPS14	NA	2596	0.07383015006780624	0.12903564	No	
row_19	ARFGAP1	NA	2897	0.06765751540660858	0.11969207	No	
row_20	TTC37	NA	2939	0.06694280356168747	0.1268888	No	
row_21	EXOSC2	NA	3167	0.06332478672266006	0.12160041	No	
row_22	NPM1	NA	3595	0.05625893548130989	0.10242082	No	
row_23	IARS1	NA	4228	0.04652116820216179	0.06863627	No	
row_24	MTREX	NA	4381	0.04427622631192207	0.065370336	No	
row_25	EXOSC10	NA	4639	0.040265969932079315	0.054767363	No	
row_26	RRP9	NA	4683	0.03960791975259781	0.057820957	No	
row_27	DCTN1	NA	4969	0.03583770617842674	0.044768132	No	
row_28	EIF4A2	NA	5096	0.0340486578643322	0.041671064	No	
row_29	BAG3	NA	5131	0.03359167277812958	0.044419475	No	
row_30	DCP1A	NA	5358	0.030307559296488762	0.034346227	No	
row_31	EIF4E	NA	5465	0.02885395660996437	0.031771574	No	
row_32	HSPA9	NA	5486	0.028532229363918304	0.034676667	No	
row_33	NOP14	NA	5564	0.027328524738550186	0.033741735	No	
row_34	EDEM1	NA	5755	0.0247864481061697	0.025171243	No	
row_35	SPCS1	NA	6194	0.01863151043653488	-2.415075E-4	No	
row_36	ZBTB17	NA	6417	0.015501563437283039	-0.012232195	No	
row_37	NHP2	NA	6430	0.015364475548267365	-0.010746871	No	
row_38	PARN	NA	6455	0.015004406683146954	-0.010085639	No	
row_39	LSM1	NA	6523	0.014044820331037045	-0.012328833	No	
row_40	IGFBP1	NA	6598	0.012935689650475979	-0.015184794	No	
row_41	EIF2AK3	NA	6621	0.012642481364309788	-0.014741914	No	
row_42	EIF2S1	NA	6722	0.011282187886536121	-0.019511672	No	
row_43	PAIP1	NA	6747	0.01089000329375267	-0.019454708	No	
row_44	SLC7A5	NA	7055	0.007126646116375923	-0.038138118	No	
row_45	ATF4	NA	7081	0.0068085831589996815	-0.03874485	No	
row_46	WFS1	NA	7477	0.0018666046671569347	-0.06385631	No	
row_47	CNOT2	NA	7631	-3.515890857670456E-4	-0.073637575	No	
row_48	CNOT4	NA	7837	-0.002811911515891552	-0.086399406	No	
row_49	EXOSC1	NA	7882	-0.003443801309913397	-0.088721395	No	
row_50	CNOT6	NA	8137	-0.006992630194872618	-0.104018316	No	
row_51	EIF4EBP1	NA	8275	-0.008757894858717918	-0.1115367	No	
row_52	DNAJA4	NA	8309	-0.009193824604153633	-0.11230725	No	
row_53	YWHAZ	NA	8381	-0.010278185829520226	-0.115360714	No	
row_54	EDC4	NA	8547	-0.012443249113857746	-0.12413733	No	
