NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTCH1	NA	980	0.1230284571647644	-0.0055360124	No	
row_1	FZD1	NA	1437	0.10399898886680603	0.013622074	No	
row_2	CSNK1E	NA	1634	0.09834253042936325	0.046792783	No	
row_3	PSEN2	NA	2725	0.07105324417352676	0.010054249	No	
row_4	TCF7	NA	3569	0.05671139806509018	-0.01754133	No	
row_5	SKP2	NA	3634	0.0557052418589592	0.00425774	No	
row_6	AXIN2	NA	3782	0.05349549278616905	0.01971689	No	
row_7	DLL1	NA	4075	0.049007102847099304	0.023808341	No	
row_8	MYC	NA	4209	0.04683517664670944	0.037067436	No	
row_9	HEY1	NA	4327	0.04510640725493431	0.05054701	No	
row_10	HDAC11	NA	4494	0.04272492974996567	0.059783112	No	
row_11	NOTCH1	NA	4638	0.04026772826910019	0.069349125	No	
row_12	DKK1	NA	5102	0.03394055366516113	0.05549122	No	
row_13	AXIN1	NA	6384	0.01597299426794052	-0.01907794	No	
row_14	WNT6	NA	6602	0.012897240929305553	-0.026972199	No	
row_15	PPARD	NA	6963	0.008208331651985645	-0.046199355	No	
row_16	NKD1	NA	7273	0.004422341473400593	-0.063922085	No	
row_17	KAT2A	NA	8766	-0.015027837827801704	-0.15243635	No	
row_18	NCSTN	NA	8770	-0.015051404014229774	-0.14563145	No	
row_19	LEF1	NA	8916	-0.01704530417919159	-0.14698881	No	
row_20	FZD8	NA	9587	-0.025875737890601158	-0.1778455	No	
row_21	MAML1	NA	9826	-0.028904391452670097	-0.1796427	No	
row_22	NCOR2	NA	11261	-0.0495234914124012	-0.24840857	No	
row_23	CUL1	NA	11298	-0.05016527697443962	-0.22739261	No	
row_24	ADAM17	NA	12094	-0.06262736767530441	-0.24916565	No	
row_25	JAG1	NA	12174	-0.06399668753147125	-0.22447228	No	
row_26	HEY2	NA	12789	-0.07484746724367142	-0.22897911	No	
row_27	NUMB	NA	13987	-0.10345816612243652	-0.2575025	Yes	
row_28	WNT5B	NA	14030	-0.10494484007358551	-0.21140532	Yes	
row_29	RBPJ	NA	14194	-0.10985206067562103	-0.17077193	Yes	
row_30	JAG2	NA	14384	-0.11565979570150375	-0.12910292	Yes	
row_31	CTNNB1	NA	14450	-0.1174350306391716	-0.07867164	Yes	
row_32	HDAC2	NA	15286	-0.16548876464366913	-0.05518802	Yes	
row_33	CCND2	NA	15312	-0.1695258617401123	0.02201896	Yes	
