NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAP1GAP	NA	374	0.16440686583518982	-0.006143626	No	
row_1	CROT	NA	818	0.12999960780143738	-0.020487571	No	
row_2	PYCR1	NA	952	0.12401795387268066	-0.015516675	No	
row_3	PTS	NA	1171	0.11393158882856369	-0.017121842	No	
row_4	UPP1	NA	1452	0.10348710417747498	-0.02386068	No	
row_5	AP4B1	NA	1800	0.09388619661331177	-0.03596317	No	
row_6	GABARAPL1	NA	1940	0.08990732580423355	-0.03510224	No	
row_7	HPRT1	NA	2000	0.08825845271348953	-0.029268324	No	
row_8	FAS	NA	2131	0.08458035439252853	-0.028409176	No	
row_9	FABP1	NA	2386	0.07890373468399048	-0.036156803	No	
row_10	IRF8	NA	2555	0.0749468132853508	-0.03879691	No	
row_11	AOX1	NA	2762	0.07033611088991165	-0.044387985	No	
row_12	EPHA2	NA	2764	0.07030051201581955	-0.036778435	No	
row_13	PDK4	NA	2775	0.07011599838733673	-0.02976874	No	
row_14	GAD1	NA	2860	0.06868533045053482	-0.02768172	No	
row_15	PINK1	NA	2873	0.06831707060337067	-0.020997217	No	
row_16	JUP	NA	2934	0.06704441457986832	-0.017543424	No	
row_17	ACO2	NA	3504	0.05792495980858803	-0.047870938	No	
row_18	ENPEP	NA	3554	0.05697864294052124	-0.044807382	No	
row_19	ETFDH	NA	3666	0.05520367622375488	-0.04593114	No	
row_20	LONP1	NA	4139	0.04793771356344223	-0.07110087	No	
row_21	ESR1	NA	4163	0.047590222209692	-0.06738743	No	
row_22	ELOVL5	NA	4206	0.046873413026332855	-0.064976074	No	
row_23	ABCC3	NA	4861	0.037292178720235825	-0.10303088	No	
row_24	CNDP2	NA	5199	0.03253042697906494	-0.12118681	No	
row_25	MARCHF6	NA	5365	0.030217651277780533	-0.12851629	No	
row_26	PGD	NA	5434	0.029382869601249695	-0.1296889	No	
row_27	GSR	NA	5585	0.02705172449350357	-0.1363978	No	
row_28	IGF1	NA	5680	0.025874508544802666	-0.1396281	No	
row_29	ETS2	NA	5839	0.023393217474222183	-0.14725164	No	
row_30	GSS	NA	5942	0.02205207571387291	-0.1514145	No	
row_31	TGFB2	NA	6309	0.016889527440071106	-0.17314573	No	
row_32	IGFBP1	NA	6598	0.012935689650475979	-0.1902844	No	
row_33	FBLN1	NA	6777	0.010457129217684269	-0.20060828	No	
row_34	CDA	NA	6797	0.010188519954681396	-0.20071995	No	
row_35	NFS1	NA	6856	0.00941958837211132	-0.20342763	No	
row_36	BPHL	NA	6931	0.008561313152313232	-0.20725958	No	
row_37	PPARD	NA	6963	0.008208331651985645	-0.20836034	No	
row_38	CASP6	NA	7137	0.005955586675554514	-0.21885355	No	
row_39	PGRMC1	NA	7285	0.004340978804975748	-0.22784829	No	
row_40	PTGES3	NA	7537	0.0010664223227649927	-0.24389936	No	
row_41	EPHX1	NA	7563	6.836408865638077E-4	-0.24543503	No	
row_42	PTGR1	NA	7669	-7.752554374746978E-4	-0.2521137	No	
row_43	NMT1	NA	7878	-0.0033665576484054327	-0.26514396	No	
row_44	PMM1	NA	8068	-0.006015182472765446	-0.27666125	No	
row_45	SLC35D1	NA	8299	-0.009009669534862041	-0.29049256	No	
row_46	ATOH8	NA	8401	-0.010677793063223362	-0.29583263	No	
row_47	PDLIM5	NA	8512	-0.012007452547550201	-0.30160725	No	
row_48	HNF4A	NA	8589	-0.012994914315640926	-0.30508405	No	
row_49	DDC	NA	8758	-0.014943440444767475	-0.3142741	No	
row_50	SLC46A3	NA	9076	-0.019041556864976883	-0.3326142	No	
row_51	SLC12A4	NA	9091	-0.019269971176981926	-0.3314125	No	
row_52	COMT	NA	9134	-0.019808785989880562	-0.3319555	No	
row_53	KARS1	NA	9138	-0.019875328987836838	-0.32997915	No	
row_54	HMOX1	NA	9198	-0.020804021507501602	-0.33150852	No	
