NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	50	0.63515747	1.7805561	0.007575758	0.09019746	0.099	1488	tags=46%, list=10%, signal=51%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	119	0.44394034	1.5502383	0.051526718	0.3908729	0.521	2678	tags=34%, list=17%, signal=41%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	0.46341255	1.2819169	0.22692308	1.0	0.933	4714	tags=58%, list=30%, signal=83%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	0.2772957	1.2477472	0.12761904	0.9804027	0.954	2972	tags=28%, list=19%, signal=34%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	36	0.33309215	0.9643107	0.5066922	1.0	0.999	1119	tags=17%, list=7%, signal=18%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	110	0.2223689	0.92982525	0.5542636	1.0	1.0	4885	tags=36%, list=31%, signal=52%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	0.2859525	0.9294071	0.53763443	1.0	1.0	3652	tags=33%, list=23%, signal=42%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	156	0.18894199	0.8935361	0.66795367	1.0	1.0	3616	tags=27%, list=23%, signal=35%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	167	0.23988038	0.879372	0.58232933	1.0	1.0	3311	tags=28%, list=21%, signal=35%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	119	0.2478361	0.8741449	0.55870444	1.0	1.0	3247	tags=30%, list=21%, signal=38%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	57	0.2641316	0.8368809	0.6577438	1.0	1.0	2649	tags=26%, list=17%, signal=32%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	151	0.19130869	0.785113	0.8015123	1.0	1.0	3045	tags=22%, list=19%, signal=27%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	140	0.3483283	0.7656533	0.697479	1.0	1.0	6188	tags=70%, list=40%, signal=115%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	153	0.1777585	0.75649583	0.82495344	1.0	1.0	3892	tags=27%, list=25%, signal=36%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	147	0.18005064	0.7219141	0.8656126	1.0	1.0	3289	tags=22%, list=21%, signal=27%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	82	0.15806903	0.6366759	0.95679015	1.0	1.0	4041	tags=28%, list=26%, signal=38%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	161	0.18931946	0.607729	0.83838385	1.0	1.0	4957	tags=35%, list=32%, signal=51%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	0.20084204	0.6044027	0.9023904	0.95911247	1.0	4566	tags=36%, list=29%, signal=51%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.16151918	0.5908215	0.95627373	0.91794807	1.0	3945	tags=26%, list=25%, signal=35%	
