NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	89	-0.36638865	-1.3873729	0.10315789	1.0	0.808	2992	tags=30%, list=19%, signal=37%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	132	-0.4424856	-1.3298224	0.23658052	1.0	0.884	3666	tags=47%, list=23%, signal=61%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	167	-0.32993293	-1.2022502	0.27145708	1.0	0.969	3732	tags=32%, list=24%, signal=42%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	39	-0.34933066	-1.149303	0.3102767	1.0	0.984	2793	tags=28%, list=18%, signal=34%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	81	-0.37113044	-1.1403829	0.33133733	1.0	0.984	5478	tags=56%, list=35%, signal=85%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	46	-0.32719028	-1.1195562	0.34264433	1.0	0.987	3777	tags=37%, list=24%, signal=49%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	163	-0.24370109	-1.1084682	0.2741021	1.0	0.989	4424	tags=32%, list=28%, signal=44%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	-0.32246676	-1.0980904	0.35912699	1.0	0.99	5351	tags=52%, list=34%, signal=78%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.30480826	-1.0550395	0.40236688	1.0	0.996	1077	tags=16%, list=7%, signal=18%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	34	-0.30559692	-1.0360953	0.42998028	1.0	0.996	1671	tags=21%, list=11%, signal=23%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	28	-0.35701045	-1.0264233	0.44071147	1.0	0.996	3771	tags=43%, list=24%, signal=56%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	163	-0.24412107	-1.0215986	0.4597938	1.0	0.996	5243	tags=42%, list=33%, signal=62%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	51	-0.31491664	-0.9857002	0.4886598	1.0	0.997	4457	tags=43%, list=28%, signal=60%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	138	-0.22842586	-0.93069786	0.58433735	1.0	0.999	4301	tags=34%, list=27%, signal=47%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	156	-0.29257804	-0.92852074	0.57984793	1.0	0.999	4135	tags=36%, list=26%, signal=48%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.27937725	-0.91011196	0.5400411	1.0	0.999	4420	tags=36%, list=28%, signal=49%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	101	-0.26904875	-0.8952849	0.5373737	1.0	1.0	4380	tags=41%, list=28%, signal=56%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	-0.22059035	-0.88005286	0.6397638	1.0	1.0	1610	tags=16%, list=10%, signal=17%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	135	-0.24285509	-0.87232226	0.58064514	0.99401885	1.0	5030	tags=39%, list=32%, signal=56%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	148	-0.2072826	-0.86718273	0.66791046	0.95363957	1.0	2057	tags=16%, list=13%, signal=18%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		164	-0.17463796	-0.83816653	0.79387754	0.96260095	1.0	2736	tags=18%, list=17%, signal=22%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		146	-0.20192465	-0.7880108	0.75482625	1.0	1.0	2485	tags=19%, list=16%, signal=23%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		174	-0.22772664	-0.75811493	0.7589641	1.0	1.0	5754	tags=41%, list=37%, signal=64%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		164	-0.18520845	-0.7565098	0.8185567	0.96991	1.0	4282	tags=34%, list=27%, signal=46%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		111	-0.16057463	-0.7238763	0.9249012	0.97874624	1.0	5090	tags=37%, list=33%, signal=54%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		27	-0.19544084	-0.6800436	0.904	0.9999776	1.0	1866	tags=11%, list=12%, signal=13%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		117	-0.2004477	-0.6302587	0.8310413	1.0	1.0	5340	tags=44%, list=34%, signal=66%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		119	-0.14226301	-0.5926143	0.9894292	1.0	1.0	3711	tags=23%, list=24%, signal=30%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		35	-0.16970205	-0.48559037	0.9858012	1.0	1.0	4292	tags=26%, list=27%, signal=35%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		171	-0.15595734	-0.415198	0.93413174	1.0	1.0	6222	tags=43%, list=40%, signal=70%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		168	-0.11783398	-0.31552315	0.98802394	0.99808687	1.0	6377	tags=46%, list=41%, signal=76%	
