NAME	TITLE	SCORE	
LOC115598898	NA	0.36212608	
GATD1	NA	0.33463436	
OTC	NA	0.32924527	
LOC115598016	NA	0.3255255	
WNT9B	NA	0.32480678	
EPSTI1	NA	0.32066175	
LOC115599970	NA	0.3202269	
LOC115599284	NA	0.31592765	
LOC115599921	NA	0.31247684	
AIPL1	NA	0.30588585	
TRNAS-AGA_2	NA	0.30579117	
LOC115600270	NA	0.30319318	
NUDT2	NA	0.2989082	
LOC115598695	NA	0.29848707	
LOC103537172	NA	0.29848585	
RNF17	NA	0.28616524	
LOC103539330	NA	0.2850485	
LOC115600320	NA	0.2775812	
LOC115600337	NA	0.2767065	
TRNAG-GCC	NA	0.2755774	
LY96	NA	0.27312857	
C2H18orf21	NA	0.27302065	
LOC115600340	NA	0.2710546	
INSYN2B	NA	0.27002448	
LOC103532967	NA	0.26972568	
LOC103539229	NA	0.26941186	
LOC115599935	NA	0.2682239	
LOC115597902	NA	0.2680298	
LOC115600200	NA	0.26669466	
IQCC	NA	0.26593447	
CNIH4	NA	0.2657011	
LOC103538736	NA	0.2650331	
LOC103533027	NA	0.2649669	
LOC115600498	NA	0.26426375	
LOC115599298	NA	0.2637595	
LOC115598503	NA	0.2608887	
LOC115598934	NA	0.26052985	
NPHP3	NA	0.25950512	
COPG2	NA	0.25763446	
KCNQ4	NA	0.25618514	
GPR37	NA	0.25595456	
MOS	NA	0.2556612	
RNPC3	NA	0.2555224	
DDX58	NA	0.25498632	
STOM	NA	0.25321248	
SLC31A2	NA	0.25035492	
LOC103530469	NA	0.24981095	
RBM12B	NA	0.24920662	
SCX	NA	0.24815045	
DHX29	NA	0.24605724	
GRIFIN	NA	0.24429263	
LOC115598521	NA	0.24387237	
LOC115598642	NA	0.24372326	
LOC115599323	NA	0.24303615	
LOC115598231	NA	0.24152353	
CINP	NA	0.24138753	
TMEM171	NA	0.23891467	
LOC115597796	NA	0.23819472	
NGB	NA	0.23803915	
LOC115598226	NA	0.2377908	
CMPK2	NA	0.23605156	
LOC115599518	NA	0.2338338	
LOC115597867	NA	0.23345776	
LOC103539287	NA	0.23306939	
TMEM173	NA	0.2309749	
RSRP1	NA	0.23069379	
USP18	NA	0.23062082	
HOXC13	NA	0.23040459	
MOV10	NA	0.23033759	
GPRIN2	NA	0.23012203	
KNOP1	NA	0.2299004	
COMMD8	NA	0.22969453	
NHLH1	NA	0.2293498	
LOC115599410	NA	0.22900376	
LOC103539866	NA	0.22898391	
SBSPON	NA	0.2289278	
LOC115598084	NA	0.22885409	
LOC103539346	NA	0.22867861	
DRD5	NA	0.2283644	
LOC115599126	NA	0.22820106	
ANAPC4	NA	0.22780395	
LOC115598880	NA	0.22691783	
BATF3	NA	0.22679491	
PANX3	NA	0.226735	
TARDBP	NA	0.22663493	
TENT2	NA	0.22653104	
PNOC	NA	0.22624783	
LOC115599826	NA	0.22597018	
TLX1	NA	0.22539015	
CDPF1	NA	0.22530568	
LOC115600449	NA	0.22497086	
LOC103531567	NA	0.22263157	
LOC115600005	NA	0.22190714	
LOC103539721	NA	0.2216265	
LOC115598788	NA	0.22057521	
RBM43	NA	0.22021876	
LOC115599190	NA	0.21994701	
PHOSPHO2	NA	0.21988979	
CAMLG	NA	0.21982147	
TAF1A	NA	0.21976326	
IFT52	NA	0.21962203	
LOC103531863	NA	0.21921676	
UBE2L6	NA	0.21898797	
LOC103528857	NA	0.21774249	
CYSLTR1	NA	0.21771814	
TOR1B	NA	0.21759927	
LOC115598174	NA	0.21604902	
NAT9	NA	0.21574059	
JMJD4	NA	0.21559137	
HSPBAP1	NA	0.21510944	
LOC115599983	NA	0.21405476	
ARHGEF28	NA	0.2138965	
LOC115599638	NA	0.21375448	
OGFR	NA	0.2137083	
INSL5	NA	0.21362934	
LOC103533240	NA	0.21353953	
STOX1	NA	0.2134246	
IARS2	NA	0.21264023	
LOC115599971	NA	0.21248426	
NEUROG3	NA	0.2123041	
FAM89A	NA	0.21207878	
LOC115600259	NA	0.2112477	
LOC103529798	NA	0.21055849	
LOC115598987	NA	0.21038972	
LOC103528994	NA	0.21028002	
PLA2G12A	NA	0.21027708	
LOC103539545	NA	0.20955522	
LOC115598472	NA	0.20951417	
GSX2	NA	0.20950405	
LOC115598466	NA	0.20950359	
NEIL2	NA	0.2090149	
CLRN2	NA	0.20898907	
LOC103529755	NA	0.20885281	
LOC115600509	NA	0.20820108	
LOC115598151	NA	0.20734778	
MANSC4	NA	0.20722473	
APOBEC1	NA	0.20715399	
LOC103526578	NA	0.20704131	
TBC1D32	NA	0.20692374	
CGA	NA	0.20619437	
SP9	NA	0.2059061	
BTBD17	NA	0.20546676	
LOC115598207	NA	0.20539418	
LOC103526089	NA	0.20532799	
METTL27	NA	0.20530918	
LOC115598191	NA	0.20521756	
TRNAG-CCC_3	NA	0.20513958	
CDX4	NA	0.20425619	
CALCOCO2	NA	0.20392299	
LOC115599709	NA	0.2034141	
GOLGA7B	NA	0.203144	
RIT2	NA	0.20292287	
C5AH11orf49	NA	0.20178418	
FBXL8	NA	0.20156643	
ZDHHC12	NA	0.2014984	
LOC115599240	NA	0.20144394	
LOC115599008	NA	0.20106673	
GJB7	NA	0.20102172	
IQCK	NA	0.2010166	
LOC103533133	NA	0.200937	
LOC115600238	NA	0.20058782	
GAS6	NA	0.20058368	
TAF1D	NA	0.20047706	
FAM151B	NA	0.20033124	
LOC103531107	NA	0.19990261	
MUSTN1	NA	0.19957873	
ITGB8	NA	0.19956924	
B3GNT7	NA	0.199425	
RAB37	NA	0.19922668	
LOC115598536	NA	0.19902194	
PLK3	NA	0.19893666	
MED6	NA	0.19893306	
SRR	NA	0.19823149	
GDF15	NA	0.19798961	
COMMD2	NA	0.19785616	
LOC103538635	NA	0.19777472	
FNDC11	NA	0.19686435	
PLA2G7	NA	0.19565256	
VASH2	NA	0.19542928	
SNTG1	NA	0.19486034	
COL6A3	NA	0.19484517	
SCOC	NA	0.19473	
LOC115598728	NA	0.19445983	
C5H11orf24	NA	0.19443607	
LOC103534250	NA	0.19366114	
GRAMD2B	NA	0.19348751	
CHRD	NA	0.19330497	
ZFAND4	NA	0.19299649	
LOC103531782	NA	0.1929568	
METTL8	NA	0.19258377	
LOC115600499	NA	0.19251318	
IFT27	NA	0.19251296	
LOC115599301	NA	0.19232772	
LOC115599490	NA	0.19229807	
MAP10	NA	0.19215275	
LOC103532327	NA	0.19212005	
CLDN34	NA	0.19173433	
GRIP1	NA	0.1912205	
C1QTNF1	NA	0.19096754	
LOC103533635	NA	0.1908915	
LOC103539722	NA	0.19076328	
LOC103537390	NA	0.19069636	
LOC103529648	NA	0.1906942	
LOC103525317	NA	0.18996997	
YEATS2	NA	0.18991491	
PPEF2	NA	0.18988742	
LOC115599849	NA	0.18985382	
LOC115598195	NA	0.1898109	
TMEM94	NA	0.18971792	
LOC115598345	NA	0.18954603	
CZH9orf64	NA	0.18950634	
MBTPS2	NA	0.18950205	
NTPCR	NA	0.18947108	
DNAJC16	NA	0.18946162	
LOC115598925	NA	0.18940967	
LOC115598926	NA	0.18934368	
LRRC74A	NA	0.18919651	
LOC115597865	NA	0.18917795	
PRPSAP1	NA	0.1888478	
SMIM15	NA	0.18862943	
LOC115600475	NA	0.18843903	
HOXA6	NA	0.18818426	
CCNL1	NA	0.18803428	
LOC115598454	NA	0.18790193	
ATG10	NA	0.1874714	
EPHA8	NA	0.18739025	
LOC115597911	NA	0.18738969	
MYMK	NA	0.18735497	
LOC103528944	NA	0.18720053	
LOC115597869	NA	0.18715955	
IL22	NA	0.18714647	
MTAP	NA	0.18700123	
LOC115598206	NA	0.18631636	
SNAPC5	NA	0.1860801	
CRYGS	NA	0.18597905	
LOC103539847	NA	0.18586603	
RAD21L1	NA	0.18570116	
EFCAB7	NA	0.18559732	
LOC115598787	NA	0.18553689	
LOC103539273	NA	0.18547769	
LOC115600486	NA	0.18432991	
ADARB2	NA	0.18428676	
LUZP1	NA	0.1840014	
LOC115599285	NA	0.1839517	
RPIA	NA	0.1834217	
RAB28	NA	0.18340577	
FSIP1	NA	0.18319456	
LOC115600250	NA	0.18268208	
C1QL4	NA	0.18258527	
WRAP73	NA	0.1822285	
PLCB2	NA	0.182046	
C1QL2	NA	0.1820211	
ENDOV	NA	0.18185106	
TECPR1	NA	0.18180904	
CLMP	NA	0.18160169	
LOC115598094	NA	0.18158972	
TRUB2	NA	0.1812824	
HOXA9	NA	0.18109876	
TAMM41	NA	0.18093424	
LOC115599283	NA	0.18049718	
LOC115600216	NA	0.18049218	
LOC103534554	NA	0.18043724	
LOC115599247	NA	0.18037546	
SPIC	NA	0.18016843	
PPCDC	NA	0.1799344	
COL1A1	NA	0.1799201	
EIF2AK1	NA	0.17949319	
CC2D1B	NA	0.17934403	
PLLP	NA	0.17920491	
RPL7L1	NA	0.17918125	
LOC115599536	NA	0.17898183	
CRYZL1	NA	0.17885312	
IRF7	NA	0.17824885	
LOC115597868	NA	0.17817876	
LOC103532183	NA	0.17807081	
NCMAP	NA	0.1779173	
NSG1	NA	0.17783535	
LOC115600387	NA	0.17754182	
AAMDC	NA	0.17753044	
YTHDC2	NA	0.17725982	
SERINC4	NA	0.17722414	
UROS	NA	0.17709902	
LOC115598055	NA	0.17695454	
CPLX3	NA	0.17693877	
LOC103534707	NA	0.17684494	
COL16A1	NA	0.17683157	
LOC115600364	NA	0.17679393	
FOXR1	NA	0.17670645	
LOC115598077	NA	0.17666468	
AHRR	NA	0.17658606	
C1QTNF2	NA	0.17615113	
CNOT11	NA	0.1759041	
DDX17	NA	0.17587273	
SYNPO2	NA	0.17561522	
LOC103538257	NA	0.17552693	
LOC115599422	NA	0.17513983	
COL9A1	NA	0.17463471	
RBM5	NA	0.17455164	
LOC115598801	NA	0.174543	
LOC103534725	NA	0.17424662	
EXOSC9	NA	0.17404686	
LOC115599885	NA	0.17378166	
WDR93	NA	0.17376035	
S1PR3	NA	0.17352436	
UGCG	NA	0.17349397	
RSAD2	NA	0.17347527	
LOC103533238	NA	0.17347297	
DUSP12	NA	0.17341347	
LOC103531483	NA	0.17321847	
GPR19	NA	0.17307077	
MYO3A	NA	0.17294176	
ANKRD40	NA	0.1729304	
CPNE7	NA	0.17245445	
TUBD1	NA	0.17243908	
LOC115599402	NA	0.17240223	
LOC115598518	NA	0.17212938	
PTGR2	NA	0.17212231	
DUOXA2	NA	0.17193116	
INTS10	NA	0.1718602	
PMM2	NA	0.1717212	
PJA2	NA	0.17160362	
LOC115600495	NA	0.17158556	
LOC115599699	NA	0.17141724	
MAS1	NA	0.17141038	
COL20A1	NA	0.17139627	
CIRBP	NA	0.17131336	
SLC1A7	NA	0.17121604	
CCNH	NA	0.17057833	
JPT2	NA	0.1705162	
TTC14	NA	0.17051405	
PDCD2L	NA	0.17050241	
TECTA	NA	0.1702998	
DONSON	NA	0.17017823	
PLEKHM1	NA	0.16993967	
ARHGEF39	NA	0.16988392	
TOP1	NA	0.16981936	
C9orf72	NA	0.16978988	
TPH1	NA	0.16975263	
LOC103539278	NA	0.16964853	
ELAC1	NA	0.16953506	
TMEM216	NA	0.16945176	
OTULINL	NA	0.16905022	
LOC115598433	NA	0.16893394	
LOC115598507	NA	0.16882071	
LOC115599903	NA	0.16840735	
LOC115599069	NA	0.16835253	
STRBP	NA	0.16828765	
LOC115597877	NA	0.16827178	
TRIQK	NA	0.16743465	
VAMP1	NA	0.16734122	
ALKBH8	NA	0.16692218	
SOCS1	NA	0.16692045	
LOC115599840	NA	0.1667395	
TRPV3	NA	0.16667838	
TBC1D8	NA	0.16658278	
LOC115600421	NA	0.16643356	
CLDN14	NA	0.16625291	
LOC115599833	NA	0.16600078	
LOC115599148	NA	0.16591184	
COL12A1	NA	0.16577001	
CLK4	NA	0.1657526	
CCDC125	NA	0.16568711	
ITGA2	NA	0.16556323	
IMP3	NA	0.16556235	
LRRN3	NA	0.16543174	
FASLG	NA	0.16541517	
LOC115599622	NA	0.165376	
LOC103526199	NA	0.16524611	
LOC103525189	NA	0.16516407	
TERT	NA	0.16515246	
TRNAE-CUC_5	NA	0.16499358	
TGM2	NA	0.16498175	
LOC115598493	NA	0.16483495	
LOC115598099	NA	0.16458544	
RAP1GAP	NA	0.16440687	
LOC115598038	NA	0.16437034	
PDCD7	NA	0.16417201	
ZDHHC6	NA	0.16410148	
DARS2	NA	0.16409498	
LOC103534279	NA	0.16396186	
COL6A2	NA	0.16389619	
SLC66A3	NA	0.16381739	
SRSF1	NA	0.16368105	
COL6A1	NA	0.16354518	
LOC115599175	NA	0.1634009	
TMEFF1	NA	0.16338383	
OTOG	NA	0.16320993	
LOC103533784	NA	0.16316833	
TRMT10B	NA	0.16301131	
LOC103536142	NA	0.16299593	
DLG2	NA	0.16288011	
RSPH10B	NA	0.16249406	
LOC115598408	NA	0.16247064	
RBBP8NL	NA	0.16222234	
LOC103533032	NA	0.16208722	
LOC115599406	NA	0.16199724	
LOC115598758	NA	0.16195929	
PKD1L2	NA	0.16167246	
NPW	NA	0.16164784	
ANKRD26	NA	0.16157985	
LOC103539223	NA	0.16155626	
ILF3	NA	0.16151997	
LOC115599185	NA	0.16143848	
RPP25L	NA	0.16141047	
BAG2	NA	0.16134025	
ALG6	NA	0.16131203	
RGS7BP	NA	0.16121465	
TPRKB	NA	0.16117153	
LOC103531573	NA	0.16113207	
LOC103532969	NA	0.16107725	
TRPM1	NA	0.16094877	
JAKMIP2	NA	0.16062424	
TTC31	NA	0.16038916	
LOC115599120	NA	0.16033879	
LOC103525545	NA	0.16033265	
DDX25	NA	0.16026221	
TRIM67	NA	0.1599096	
CSNK1G3	NA	0.15987648	
SCARB1	NA	0.15977079	
DUS2	NA	0.15974553	
LOC115600494	NA	0.15970434	
LOC115599504	NA	0.15966855	
FER1L6	NA	0.15966588	
LOC103525338	NA	0.15944955	
DEPDC7	NA	0.15925813	
XKR4	NA	0.15922862	
PPIP5K1	NA	0.1589041	
AGTPBP1	NA	0.15886375	
ZAR1L	NA	0.15876552	
GIPC3	NA	0.15857618	
DEFB1	NA	0.15856968	
TRAFD1	NA	0.1584767	
HHIPL2	NA	0.1578841	
CTSB	NA	0.15767565	
LOC115599563	NA	0.15750436	
SFR1	NA	0.15743908	
LOC115598593	NA	0.15735246	
LOC103528205	NA	0.15723075	
OPRM1	NA	0.1571666	
LOC103530884	NA	0.15716577	
DCP1B	NA	0.15693119	
DTWD2	NA	0.15687345	
PIGK	NA	0.15669906	
LOC115600355	NA	0.15655719	
LOC103534036	NA	0.15643048	
KBTBD3	NA	0.15635253	
IL12RB1	NA	0.15626387	
PIGM	NA	0.15614887	
LOC115599580	NA	0.15611212	
RMI1	NA	0.15594558	
C14H7orf50	NA	0.15589577	
FGD4	NA	0.15588017	
HCN1	NA	0.15582666	
CILP	NA	0.15577139	
FOXD1	NA	0.15572903	
KANSL2	NA	0.15569305	
CNOT9	NA	0.15559298	
ELOA	NA	0.15536621	
ZNF207	NA	0.15533401	
LOC103531075	NA	0.15531346	
LOC103527041	NA	0.1551605	
STAT2	NA	0.15509047	
