Sample,Uniquely_mapped,Mapped_to_multiple_loci,Mapped_to_too_many_loci,Unmapped_too_short,Unmapped_other
cAS1,34216212,2147817,54409,3933787,52558
cAS10,45111580,4191697,27411,7004709,33839
cAS100,51642700,2855789,69605,5779777,18118
cAS101,39084406,5317109,42709,4964964,19761
cAS102,54263449,6552682,21260,8151688,20690
cAS103,37129833,1551924,25672,4684307,17365
cAS104,39226362,2944942,42369,4927906,23579
cAS105,36049201,1326283,101091,6492320,21993
cAS106,48160130,2474199,39157,6109524,17034
cAS107,35482826,2348118,40940,4987536,12854
cAS108,45345260,4690670,19689,6902805,17100
cAS109,47743788,3278824,33973,6333775,17227
cAS11,38010748,2403184,45712,5110524,27353
cAS110,51276188,4245049,29556,6422894,18581
cAS111,33626227,2580287,27949,4861702,16452
cAS112,44139530,2298960,70777,4993279,20612
cAS113,40201808,2742782,78620,5274386,19320
cAS114,35355653,1633794,68580,4757913,16738
cAS115,42694854,5460511,22709,6290814,16354
cAS116,40346353,3762800,68713,5603650,19924
cAS117,41254483,2524783,74501,6145808,25003
cAS118,33320296,1959556,32858,3597402,7787
cAS119,41562774,1954261,113502,5770197,24722
cAS12,91274992,9611197,82842,12956727,79769
cAS120,51461091,6027744,30082,7574382,26051
cAS121,55678561,3225164,60547,5706296,19409
cAS13,40335127,3978821,33619,6201663,25292
cAS14,32454769,1536330,91602,4571059,46407
cAS15,50743583,3804509,53335,5920691,48431
cAS16,40406076,1426030,78615,6259432,48187
cAS17,36034219,1703305,43247,4160750,20993
cAS18,36565048,2652325,29990,4531225,35058
cAS19,28602498,1938003,21118,3502555,10221
cAS2,26629694,1365185,38851,3249894,31339
cAS20,26188871,2241237,19198,3150781,9481
cAS21,26554976,1715734,45394,2853743,18713
cAS22,30202114,1049252,63571,4183561,49762
cAS23,35796697,3643644,23787,4481320,17591
cAS24,81179022,2480654,146793,11145805,76016
cAS25,33023898,2066674,33334,3948443,15637
cAS26,41937566,5184631,103368,6604635,59259
cAS27,48748115,4121820,30582,5292366,11644
cAS28,44369014,2759004,63996,5569708,21117
cAS29,45759633,3023539,88942,6706891,22245
cAS3,49116491,2600297,74346,4963526,28395
cAS30,37174165,1255007,100307,5624898,26512
cAS31,37588554,2473059,48018,3661705,17520
cAS32,33272356,1799607,29229,3212709,11501
cAS33,43565343,5496411,44009,6031084,88368
cAS34,37326195,2648999,49152,4546014,98244
cAS35,49518702,5379660,43606,6914302,30923
cAS36,49380312,3166175,62157,6053157,29327
cAS37,37902132,1712812,46258,3563218,34594
cAS38,38532652,1144880,76521,5863254,18251
cAS39,53200675,2021673,115517,6393536,80383
cAS4,46469159,3351589,47859,5795076,33401
cAS40,43792057,3370397,51425,4745865,109400
cAS42,38642581,2606799,77949,4625722,18393
cAS43,35517098,3065774,35803,3458036,8424
cAS44,38126599,1698857,78590,4595231,22264
cAS45,42329239,2418993,93354,4949059,64791
cAS46,52771300,7558480,42675,6773129,47036
cAS47,43835944,2141384,90997,5111422,35852
cAS48,46204481,4873364,53817,6833142,81278
cAS49,37182559,1319097,71753,6108776,31281
cAS5,41690472,3453143,85810,5660454,45854
cAS50,36276936,1886737,35320,3807692,29419
cAS51,39521930,1627349,78969,5089399,23155
cAS52,31094291,1299990,61676,3276025,28612
cAS53,38683805,3123156,62527,4308893,87937
cAS54,50344744,4922396,49807,6546368,37160
cAS55,37739733,1402538,60852,4276322,47902
cAS56,31244221,2268123,40238,4292938,30285
cAS57,33447182,936062,81986,5233955,55638
cAS58,44821962,4309481,30337,6958708,44931
cAS59,40602086,1838510,63081,5644074,38526
cAS6,41357879,3044608,95423,4865242,64277
cAS60,42639995,4395702,30430,6378287,48158
cAS61,48131195,4740099,37106,5587854,29286
cAS62,39722128,2644151,53760,5337031,33446
cAS63,42011659,3169551,49711,5576962,81415
cAS64,43570035,1639625,95137,6484412,218576
cAS65,37406989,1268218,61588,5559738,26580
cAS66,30747127,1617810,36031,3712637,25305
cAS67,37203813,3589549,63760,6149545,18806
cAS68,33936197,3023302,28086,4490209,24899
cAS69,53119261,7708439,28577,7479417,27347
cAS7,46409192,2334050,80716,5104335,26979
cAS70,43192065,3166702,60407,6903508,42680
cAS71,47786633,5401740,36431,6693135,47979
cAS72,35376673,1655200,102177,6350415,187805
cAS73,35603755,1468082,53501,4881709,21024
cAS74,54122455,4560365,51843,7347781,33068
cAS75,39193933,1635089,62944,4849406,32024
cAS76,43765148,1363880,120026,7392627,31592
cAS77,38826691,1786811,52420,5423756,23060
cAS78,38557878,2062596,75229,4231583,31478
cAS79,39934267,1465403,85046,7739877,19707
cAS8,49224591,1995065,144653,7286944,152914
cAS80,36378193,3163408,49638,6423340,46078
cAS82,43134320,1917749,86640,5393833,35419
cAS83,40729648,3144551,51558,4018885,14387
cAS84,38460283,3177814,81057,5000089,23387
cAS85,46305366,2018038,93199,6971213,33249
cAS86,45394791,1943217,102707,7583278,27516
cAS87,40209393,1617846,70842,6526009,19379
cAS88,46209709,2478763,78017,4645350,21358
cAS89,110392819,13462213,66520,15966996,55975
cAS9,39202946,1873677,81783,5664006,28109
cAS90,37269565,2280107,67421,3776843,13024
cAS91,44148519,2270990,125976,5700396,26149
cAS92,40603090,1744468,119368,6392532,24436
cAS93,43924611,2535285,41888,5945629,20991
cAS94,41911098,2331539,33466,4174831,14546
cAS95,41604260,1506902,48104,4957892,24067
cAS96,49431619,5000164,45343,6602455,30567
cAS97,48259419,2031025,60494,4612502,16493
cAS98,45307326,5462299,29971,6923988,17324
cAS99,35664618,3188385,46152,5384368,13284
