NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRHPR	NA	68	0.5904910564422607	0.012152289	Yes	
row_1	SDC4	NA	120	0.5367252230644226	0.023895666	Yes	
row_2	PGM2	NA	325	0.45692816376686096	0.023528943	Yes	
row_3	PPP1R3C	NA	364	0.4471718370914459	0.033602748	Yes	
row_4	ERRFI1	NA	405	0.4353453516960144	0.04321618	Yes	
row_5	GPI	NA	543	0.41185393929481506	0.045911074	Yes	
row_6	SCARB1	NA	589	0.4041438400745392	0.05432777	Yes	
row_7	EGFR	NA	624	0.40051302313804626	0.06335271	Yes	
row_8	PCK1	NA	640	0.3988058567047119	0.07355612	Yes	
row_9	NOCT	NA	652	0.3981305658817291	0.08399876	Yes	
row_10	EXT1	NA	659	0.3972221314907074	0.09473867	Yes	
row_11	SLC37A4	NA	707	0.3942438066005707	0.10274896	Yes	
row_12	IGFBP1	NA	749	0.39100146293640137	0.11105568	Yes	
row_13	ALDOB	NA	879	0.3818993866443634	0.113427795	Yes	
row_14	SLC25A1	NA	920	0.3781124949455261	0.121438004	Yes	
row_15	SDC2	NA	956	0.37514975666999817	0.12968792	Yes	
row_16	DDIT3	NA	986	0.3726031184196472	0.13825373	Yes	
row_17	VHL	NA	1021	0.3694460988044739	0.14640842	Yes	
row_18	PFKL	NA	1023	0.36915209889411926	0.15668473	Yes	
row_19	TMEM45A	NA	1049	0.36680933833122253	0.16534641	Yes	
row_20	HMOX1	NA	1071	0.3651760220527649	0.17422052	Yes	
row_21	CITED2	NA	1089	0.3638514578342438	0.18331568	Yes	
row_22	MAP3K1	NA	1094	0.3631487488746643	0.19323018	Yes	
row_23	MAFF	NA	1097	0.3626745641231537	0.2032605	Yes	
row_24	NAGK	NA	1219	0.3529338240623474	0.20533755	Yes	
row_25	BTG1	NA	1308	0.34560632705688477	0.2093392	Yes	
row_26	CDKN1C	NA	1473	0.3307831883430481	0.20802051	Yes	
row_27	RBPJ	NA	1501	0.3278083801269531	0.2154606	Yes	
row_28	NFIL3	NA	1810	0.3026684820652008	0.20406042	Yes	
row_29	SELENBP1	NA	1824	0.3012981712818146	0.21166147	Yes	
row_30	HDLBP	NA	1842	0.29982244968414307	0.21896303	Yes	
row_31	GPC3	NA	1975	0.289330393075943	0.21854845	Yes	
row_32	ATF3	NA	2061	0.282753050327301	0.22098304	Yes	
row_33	RORA	NA	2078	0.28215137124061584	0.22785413	Yes	
row_34	BHLHE40	NA	2085	0.28139686584472656	0.23534949	Yes	
row_35	ENO1	NA	2095	0.2806847393512726	0.24263129	Yes	
row_36	MIF	NA	2165	0.27637267112731934	0.24591981	Yes	
row_37	UGP2	NA	2384	0.26081323623657227	0.23915586	Yes	
row_38	CP	NA	2390	0.2605520784854889	0.24613185	Yes	
row_39	TIPARP	NA	2465	0.2560260593891144	0.24852772	Yes	
row_40	NDST1	NA	2653	0.24527977406978607	0.2433294	Yes	
row_41	PLIN2	NA	2725	0.24026165902614594	0.2454773	Yes	
row_42	PAM	NA	2901	0.22926491498947144	0.24060488	Yes	
row_43	B3GALT6	NA	3113	0.2152973860502243	0.2330177	Yes	
row_44	DTNA	NA	3136	0.21377800405025482	0.23758623	Yes	
row_45	RRAGD	NA	3213	0.20844973623752594	0.2385203	Yes	
row_46	TPI1	NA	3243	0.20711982250213623	0.24245054	Yes	
row_47	ANKZF1	NA	3298	0.20425564050674438	0.244687	Yes	
row_48	JMJD6	NA	3479	0.19402898848056793	0.23850483	Yes	
row_49	TPST2	NA	3512	0.19248084723949432	0.24183136	Yes	
row_50	GAA	NA	3600	0.18754875659942627	0.24146998	Yes	
row_51	VLDLR	NA	3672	0.1836414635181427	0.24203181	Yes	
row_52	PFKFB3	NA	3706	0.18205000460147858	0.24500161	Yes	
row_53	PRKCA	NA	3739	0.1800069659948349	0.24797873	Yes	
row_54	GALK1	NA	3759	0.17896753549575806	0.25176576	Yes	
row_55	GAPDH	NA	3883	0.17277072370052338	0.24866693	No	
row_56	ANGPTL4	NA	4812	0.12908896803855896	0.19238888	No	
row_57	AKAP12	NA	4818	0.128749281167984	0.19567275	No	
row_58	KLHL24	NA	4913	0.12459282577037811	0.19309603	No	
row_59	CDKN1B	NA	5021	0.12015760689973831	0.18955603	No	
row_60	ADORA2B	NA	5082	0.11737082898616791	0.18897142	No	
row_61	EFNA1	NA	5091	0.11683674156665802	0.19172797	No	
row_62	PGM1	NA	5122	0.115964874625206	0.19304018	No	
row_63	GBE1	NA	5152	0.1144917905330658	0.19437568	No	
row_64	LOX	NA	5501	0.0995342880487442	0.17470357	No	
row_65	PDK1	NA	5539	0.09818771481513977	0.17506602	No	
row_66	LARGE1	NA	5627	0.09528692066669464	0.17212017	No	
row_67	PHKG1	NA	5792	0.08847178518772125	0.16401373	No	
row_68	CCNG2	NA	5919	0.0831090435385704	0.15820964	No	
row_69	CXCR4	NA	5994	0.08019113540649414	0.15567994	No	
row_70	P4HA2	NA	6043	0.07788939774036407	0.15476385	No	
row_71	ZNF292	NA	6052	0.07767054438591003	0.15642326	No	
row_72	STC2	NA	6083	0.076603963971138	0.15663289	No	
row_73	VEGFA	NA	6265	0.0691853016614914	0.14688899	No	
row_74	CA12	NA	6403	0.06326662003993988	0.13981912	No	
row_75	NCAN	NA	6511	0.058416761457920074	0.1345496	No	
row_76	NDST2	NA	6637	0.05456153675913811	0.12801036	No	
row_77	ETS1	NA	6674	0.05286048725247383	0.12716764	No	
row_78	P4HA1	NA	6801	0.047658585011959076	0.120370485	No	
row_79	TGFB3	NA	6859	0.04572631046175957	0.11797255	No	
row_80	GPC4	NA	7047	0.03788575530052185	0.10696463	No	
row_81	IL6	NA	7207	0.03150244429707527	0.09758506	No	
