NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VPS37D	NA	280	0.48197856545448303	0.0040361546	No	
row_1	AK3	NA	483	0.42863526940345764	0.010649393	No	
row_2	HPRT1	NA	553	0.41629621386528015	0.025252938	No	
row_3	CMPK2	NA	711	0.3872208893299103	0.032866303	No	
row_4	GSDME	NA	940	0.3562268316745758	0.034495175	No	
row_5	RRM2B	NA	1045	0.343878835439682	0.043535057	No	
row_6	NT5C3A	NA	1086	0.3396953344345093	0.056500133	No	
row_7	SNAPC5	NA	1780	0.27922895550727844	0.02469776	No	
row_8	ELOA	NA	1850	0.27441030740737915	0.032811336	No	
row_9	RPA3	NA	2120	0.2557198107242584	0.02720578	No	
row_10	MPG	NA	2169	0.2523989677429199	0.035663284	No	
row_11	NUDT9	NA	2240	0.2486376166343689	0.04253368	No	
row_12	DUT	NA	2345	0.2425207495689392	0.046937365	No	
row_13	SNAPC4	NA	2443	0.2368336170911789	0.05153117	No	
row_14	XPC	NA	2519	0.2332489788532257	0.057376068	No	
row_15	AK1	NA	2601	0.2291204333305359	0.0626462	No	
row_16	MRPL40	NA	2810	0.21847470104694366	0.05926061	No	
row_17	UPF3B	NA	2995	0.20941367745399475	0.05700427	No	
row_18	PDE4B	NA	3321	0.19423356652259827	0.044984307	No	
row_19	IMPDH2	NA	3489	0.18659307062625885	0.04277759	No	
row_20	DDB1	NA	3595	0.18208181858062744	0.044352435	No	
row_21	PNP	NA	3860	0.16949917376041412	0.035124686	No	
row_22	AAAS	NA	3955	0.1650659739971161	0.036628745	No	
row_23	PDE6G	NA	4108	0.15856152772903442	0.034104664	No	
row_24	POLR2F	NA	4153	0.15695525705814362	0.038453788	No	
row_25	POLB	NA	4243	0.15276028215885162	0.03971658	No	
row_26	POLR2K	NA	4320	0.14973236620426178	0.041677047	No	
row_27	AGO4	NA	4380	0.14734044671058655	0.044621564	No	
row_28	EIF1B	NA	4515	0.14162732660770416	0.042480677	No	
row_29	ELL	NA	4843	0.12749256193637848	0.027279288	No	
row_30	NPR2	NA	4870	0.12647745013237	0.031392112	No	
row_31	POLR2J	NA	4965	0.12154987454414368	0.030905712	No	
row_32	ADCY6	NA	5037	0.11809360235929489	0.031740606	No	
row_33	TAF10	NA	5289	0.10605587065219879	0.020447087	No	
row_34	TARBP2	NA	5349	0.10312359035015106	0.021369092	No	
row_35	GTF2A2	NA	5407	0.10027753561735153	0.02228956	No	
row_36	SDCBP	NA	5475	0.0969003438949585	0.022412341	No	
row_37	CCNO	NA	5736	0.08583562076091766	0.009615043	No	
row_38	ERCC8	NA	5810	0.08278078585863113	0.008706059	No	
row_39	TAF13	NA	5846	0.08104974031448364	0.0101620965	No	
row_40	GTF2H3	NA	6021	0.07286734879016876	0.0023032345	No	
row_41	DDB2	NA	6223	0.06452859193086624	-0.007673718	No	
row_42	CANT1	NA	6248	0.06353389471769333	-0.0063113365	No	
row_43	VPS37B	NA	6435	0.05605379492044449	-0.015711116	No	
row_44	GTF2B	NA	6641	0.0466783381998539	-0.026761837	No	
row_45	GTF2H5	NA	6718	0.0434652604162693	-0.029662106	No	
row_46	RBX1	NA	6720	0.04339512810111046	-0.027741501	No	
row_47	REV3L	NA	7083	0.027930032461881638	-0.049748193	No	
row_48	SUPT4H1	NA	7514	0.008829390630126	-0.0770024	No	
row_49	POLR2C	NA	7619	0.005139362532645464	-0.08345672	No	
row_50	MPC2	NA	7922	-0.004047354683279991	-0.10269655	No	
row_51	HCLS1	NA	7944	-0.004751651082187891	-0.10382995	No	
row_52	NELFCD	NA	7984	-0.006501061841845512	-0.10604111	No	
row_53	APRT	NA	8040	-0.008989287540316582	-0.1091676	No	
row_54	RALA	NA	8279	-0.018810389563441277	-0.123615615	No	
row_55	ERCC3	NA	8379	-0.02314257062971592	-0.12892485	No	
row_56	CSTF3	NA	8428	-0.024982240051031113	-0.13086955	No	
row_57	CLP1	NA	8679	-0.036438778042793274	-0.14528309	No	
row_58	TSG101	NA	8851	-0.04399174824357033	-0.15426977	No	
row_59	NME3	NA	9839	-0.08492551743984222	-0.21387012	No	
row_60	RFC2	NA	9951	-0.08863658457994461	-0.21695547	No	
row_61	POLR1C	NA	10075	-0.09297686070203781	-0.22061414	No	
row_62	RPA2	NA	10219	-0.09858755767345428	-0.22530258	No	
row_63	RAD51	NA	10470	-0.10993196815252304	-0.23635449	No	
row_64	DGUOK	NA	10502	-0.11133074760437012	-0.23325609	No	
row_65	RFC5	NA	10776	-0.12255039811134338	-0.24521019	No	
row_66	RAD52	NA	10810	-0.12411339581012726	-0.24165575	No	
row_67	DCTN4	NA	11003	-0.132084459066391	-0.24796376	No	
row_68	TYMS	NA	11176	-0.13931268453598022	-0.2526547	No	
row_69	PRIM1	NA	11350	-0.14638416469097137	-0.25708655	No	
row_70	PCNA	NA	11362	-0.1467577964067459	-0.25108126	No	
row_71	SSRP1	NA	11399	-0.1481446623802185	-0.24662058	No	
row_72	ADA	NA	11735	-0.16581542789936066	-0.2605836	No	
row_73	ADRM1	NA	11763	-0.16709402203559875	-0.25467727	No	
row_74	DAD1	NA	11793	-0.16859498620033264	-0.24883093	No	
row_75	SRSF6	NA	11795	-0.16871435940265656	-0.24117813	No	
row_76	RFC4	NA	12272	-0.19217073917388916	-0.26300493	Yes	
row_77	TAF1C	NA	12309	-0.1944192498922348	-0.25642762	Yes	
row_78	ITPA	NA	12392	-0.19966460764408112	-0.25256914	Yes	
row_79	ERCC4	NA	12394	-0.19967740774154663	-0.24350007	Yes	
row_80	TK2	NA	12473	-0.2038153111934662	-0.23919444	Yes	
row_81	CDA	NA	12571	-0.20797213912010193	-0.23592079	Yes	
row_82	NT5C	NA	12595	-0.20922662317752838	-0.22783	Yes	
row_83	ALYREF	NA	12650	-0.21260643005371094	-0.22157855	Yes	
row_84	GTF2H1	NA	12716	-0.21639791131019592	-0.21586122	Yes	
row_85	POLH	NA	12772	-0.21982763707637787	-0.20934379	Yes	
row_86	SMAD5	NA	13221	-0.24484163522720337	-0.2269604	Yes	
row_87	TMED2	NA	13253	-0.24716071784496307	-0.21764904	Yes	
row_88	ARL6IP1	NA	13283	-0.24863308668136597	-0.20814168	Yes	
row_89	SEC61A1	NA	13376	-0.2547643780708313	-0.20240612	Yes	
row_90	NFX1	NA	13445	-0.25829073786735535	-0.19496554	Yes	
row_91	RFC3	NA	13467	-0.2595933675765991	-0.18444228	Yes	
row_92	GTF3C5	NA	13758	-0.27802327275276184	-0.19037841	Yes	
row_93	POLA1	NA	13853	-0.2846969962120056	-0.18340234	Yes	
row_94	CETN2	NA	13943	-0.2906229496002197	-0.17583361	Yes	
row_95	POLL	NA	14422	-0.33200421929359436	-0.19139296	Yes	
row_96	POLR2E	NA	14472	-0.3377307057380676	-0.17909664	Yes	
row_97	EDF1	NA	14628	-0.3537513017654419	-0.17288557	Yes	
row_98	NME4	NA	14639	-0.35505685210227966	-0.15728821	Yes	
row_99	UMPS	NA	14693	-0.36046040058135986	-0.1442095	Yes	
