NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMC1	NA	31	1.0352978706359863	0.014656249	Yes	
row_1	PDLIM4	NA	53	0.9863036274909973	0.029169777	Yes	
row_2	MEST	NA	57	0.9776048064231873	0.044705387	Yes	
row_3	COL6A2	NA	81	0.9248704314231873	0.058101363	Yes	
row_4	COL6A3	NA	87	0.9134876132011414	0.07247624	Yes	
row_5	GADD45A	NA	141	0.8260771632194519	0.08234593	Yes	
row_6	IL15	NA	194	0.7773243188858032	0.091495775	Yes	
row_7	GREM1	NA	263	0.7343295812606812	0.09892093	Yes	
row_8	COL1A2	NA	288	0.7183368802070618	0.1089293	Yes	
row_9	COL16A1	NA	323	0.7047169804573059	0.11807296	Yes	
row_10	TNC	NA	410	0.6725061535835266	0.12334135	Yes	
row_11	GPC1	NA	564	0.632981538772583	0.123648435	Yes	
row_12	SNAI2	NA	603	0.6261162161827087	0.1312692	Yes	
row_13	SCG2	NA	666	0.6103367805480957	0.1370867	Yes	
row_14	TGM2	NA	697	0.6014763116836548	0.14482749	Yes	
row_15	TNFAIP3	NA	745	0.5941944122314453	0.15135363	Yes	
row_16	LAMC2	NA	752	0.5933043956756592	0.16051233	Yes	
row_17	COL5A2	NA	958	0.5532636046409607	0.15617977	Yes	
row_18	FBLN1	NA	965	0.5519971251487732	0.16467385	Yes	
row_19	PTX3	NA	967	0.5515680313110352	0.1734838	Yes	
row_20	THY1	NA	1000	0.5463529229164124	0.18020856	Yes	
row_21	FAS	NA	1007	0.5456032752990723	0.18859977	Yes	
row_22	COL3A1	NA	1149	0.5210168361663818	0.18788007	Yes	
row_23	ECM1	NA	1227	0.5082385540008545	0.19108649	Yes	
row_24	ENO2	NA	1354	0.4894794523715973	0.19082773	Yes	
row_25	COL5A1	NA	1403	0.4832397699356079	0.1955041	Yes	
row_26	MXRA5	NA	1404	0.48315879702568054	0.20327793	Yes	
row_27	LAMA3	NA	1468	0.47520148754119873	0.20685661	Yes	
row_28	MYL9	NA	1500	0.47113481163978577	0.21243569	Yes	
row_29	COL12A1	NA	1505	0.47056934237480164	0.21974874	Yes	
row_30	ITGAV	NA	1648	0.45027926564216614	0.21782635	Yes	
row_31	THBS1	NA	1652	0.4498531222343445	0.22487064	Yes	
row_32	QSOX1	NA	1735	0.4402655065059662	0.2266606	Yes	
row_33	TGFBI	NA	1825	0.4297676682472229	0.22782975	Yes	
row_34	COL1A1	NA	1830	0.4295462667942047	0.23448275	Yes	
row_35	JUN	NA	1843	0.4280398190021515	0.24059506	Yes	
row_36	COL7A1	NA	2166	0.39060646295547485	0.22609216	Yes	
row_37	GEM	NA	2306	0.3762957453727722	0.22317308	Yes	
