NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EOMES	NA	0	1.1226507425308228	0.035347454	Yes	
row_1	ADAM19	NA	65	0.6292713284492493	0.051029608	Yes	
row_2	TGM2	NA	81	0.6118505001068115	0.069325976	Yes	
row_3	CKAP4	NA	120	0.5722202062606812	0.084890015	Yes	
row_4	LIF	NA	128	0.5642781257629395	0.10220489	Yes	
row_5	COL6A1	NA	154	0.5440126061439514	0.11771988	Yes	
row_6	PLIN2	NA	231	0.5024089813232422	0.12863314	Yes	
row_7	FGL2	NA	251	0.4926990866661072	0.14291976	Yes	
row_8	F2RL2	NA	274	0.48438963294029236	0.15675111	Yes	
row_9	PDCD2L	NA	670	0.3952583372592926	0.14370072	Yes	
row_10	PIM1	NA	836	0.37012383341789246	0.14470436	Yes	
row_11	SH3BGRL2	NA	915	0.35924285650253296	0.15098085	Yes	
row_12	NT5E	NA	1034	0.3452182114124298	0.15423393	Yes	
row_13	PLPP1	NA	1459	0.3040522038936615	0.13644004	Yes	
row_14	LRRC8C	NA	1466	0.3032139539718628	0.14559966	Yes	
row_15	TNFRSF21	NA	1492	0.3012661933898926	0.15347162	Yes	
row_16	PENK	NA	1513	0.29969584941864014	0.16161685	Yes	
row_17	BCL2L1	NA	1670	0.2872471511363983	0.16059196	Yes	
row_18	S100A1	NA	1760	0.2809205949306488	0.16369241	Yes	
row_19	ABCB1	NA	1890	0.2714225947856903	0.16391201	Yes	
row_20	GUCY1B1	NA	1997	0.26376408338546753	0.16537501	Yes	
row_21	NFIL3	NA	2070	0.25877538323402405	0.16887547	Yes	
row_22	IGF1R	NA	2076	0.2584267854690552	0.17668949	Yes	
row_23	BMPR2	NA	2110	0.2565927803516388	0.18263851	Yes	
row_24	PRNP	NA	2160	0.2532523274421692	0.18744962	Yes	
row_25	DCPS	NA	2243	0.2484731376171112	0.18998025	Yes	
row_26	NCOA3	NA	2319	0.24402272701263428	0.19282259	Yes	
row_27	BCL2	NA	2391	0.2392151653766632	0.19577172	Yes	
row_28	ARL4A	NA	2419	0.23782280087471008	0.20151703	Yes	
row_29	CDC42SE2	NA	2521	0.23302967846393585	0.20233506	Yes	
row_30	TNFRSF4	NA	2702	0.22407622635364532	0.1977721	Yes	
row_31	BMP2	NA	2784	0.21956104040145874	0.19945697	Yes	
