NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFASC	NA	10	1.2142040729522705	0.021726038	Yes	
row_1	ADAMTS5	NA	23	1.1302791833877563	0.041776888	Yes	
row_2	LAYN	NA	93	0.9747161865234375	0.055286802	Yes	
row_3	SGCE	NA	117	0.9392989277839661	0.07110982	Yes	
row_4	ACTA1	NA	156	0.9047057628631592	0.08532842	Yes	
row_5	FBN1	NA	233	0.8604981303215027	0.09628267	Yes	
row_6	MMP2	NA	341	0.8030165433883667	0.10417928	Yes	
row_7	JAM3	NA	438	0.7648868560791016	0.11208255	Yes	
row_8	VCAN	NA	458	0.757937490940094	0.124822006	Yes	
row_9	WNK4	NA	505	0.7404125928878784	0.13549788	Yes	
row_10	CD34	NA	784	0.681080162525177	0.13012348	Yes	
row_11	SLIT2	NA	879	0.6665034890174866	0.13634306	Yes	
row_12	TRAF1	NA	884	0.6653296947479248	0.14834334	Yes	
row_13	ITGB1	NA	922	0.6608474850654602	0.15813354	Yes	
row_14	PKD1	NA	946	0.6573324799537659	0.16876154	Yes	
row_15	CLDN18	NA	1063	0.6419398784637451	0.1731102	Yes	
row_16	CADM2	NA	1075	0.6402791142463684	0.18419766	Yes	
row_17	WASL	NA	1172	0.6307662725448608	0.18962987	Yes	
row_18	CERCAM	NA	1408	0.6023872494697571	0.18557784	Yes	
row_19	THY1	NA	1454	0.5973067283630371	0.19368157	Yes	
row_20	CALB2	NA	1489	0.5940420031547546	0.20243433	Yes	
row_21	MSN	NA	1569	0.584667980670929	0.20811321	Yes	
row_22	MAPK11	NA	1725	0.568046510219574	0.20858611	Yes	
row_23	PPP2R2C	NA	1780	0.5613499283790588	0.21544713	Yes	
row_24	TSC1	NA	1847	0.5536572933197021	0.22139278	Yes	
row_25	AMIGO2	NA	1914	0.5460248589515686	0.22719781	Yes	
row_26	CLDN5	NA	1956	0.5414179563522339	0.23452972	Yes	
row_27	CADM3	NA	1978	0.5391080975532532	0.24310848	Yes	
row_28	MYL9	NA	2038	0.5322589874267578	0.24911118	Yes	
row_29	PTPRC	NA	2142	0.5214152336120605	0.2520774	Yes	
row_30	RASA1	NA	2217	0.5125306844711304	0.25674954	Yes	
row_31	CLDN14	NA	2393	0.49536964297294617	0.25459403	Yes	
row_32	RAC2	NA	2402	0.4947231709957123	0.26319313	Yes	
row_33	GNAI2	NA	2576	0.47864779829978943	0.26085848	Yes	
row_34	SHROOM2	NA	2580	0.4784831702709198	0.26948074	Yes	
row_35	AKT3	NA	2597	0.47702404856681824	0.27723798	Yes	
row_36	RHOF	NA	2607	0.4761066436767578	0.28542966	Yes	
row_37	EPB41L2	NA	2665	0.46975240111351013	0.29040965	Yes	
row_38	ADAM15	NA	2682	0.4683971107006073	0.29800797	Yes	
row_39	ITGA3	NA	2833	0.4541504681110382	0.29670477	Yes	
row_40	TJP1	NA	2840	0.45369842648506165	0.30467698	Yes	
row_41	SKAP2	NA	2879	0.45055586099624634	0.31052825	Yes	
row_42	MAPK13	NA	2979	0.44345909357070923	0.31231606	Yes	
row_43	PTK2	NA	3009	0.44115108251571655	0.31857428	Yes	
row_44	PECAM1	NA	3067	0.4358835816383362	0.32293025	Yes	
row_45	EVL	NA	3416	0.4063345491886139	0.30798095	Yes	
