NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL6A3	NA	180	0.19484516978263855	0.006807226	Yes	
row_1	COL1A1	NA	265	0.17992010712623596	0.018400451	Yes	
row_2	COL16A1	NA	285	0.17683157324790955	0.033897832	Yes	
row_3	COL12A1	NA	359	0.1657700091600418	0.044862937	Yes	
row_4	ITGA2	NA	362	0.16556322574615479	0.06039209	Yes	
row_5	TGM2	NA	371	0.16498175263404846	0.075478904	Yes	
row_6	COL6A2	NA	380	0.16389618813991547	0.09046304	Yes	
row_7	TNC	NA	474	0.15392550826072693	0.09901679	Yes	
row_8	COL7A1	NA	647	0.14075052738189697	0.10122444	Yes	
row_9	MEST	NA	736	0.13478563725948334	0.10829081	Yes	
row_10	COL1A2	NA	749	0.1338796764612198	0.12017788	Yes	
row_11	COL3A1	NA	802	0.1310623586177826	0.1292162	Yes	
row_12	TPM2	NA	812	0.13037718832492828	0.1409657	Yes	
row_13	FBN2	NA	871	0.12720632553100586	0.14925198	Yes	
row_14	ELN	NA	1004	0.12161709368228912	0.15223238	Yes	
row_15	QSOX1	NA	1254	0.11056961119174957	0.1466147	Yes	
row_16	TAGLN	NA	1403	0.10527975112199783	0.14701706	Yes	
row_17	ACTA2	NA	1532	0.10150564461946487	0.14835364	Yes	
row_18	PFN2	NA	1613	0.09895956516265869	0.15254818	Yes	
row_19	CALD1	NA	1706	0.09624713659286499	0.15571152	Yes	
row_20	MYLK	NA	1748	0.09522106498479843	0.16207024	Yes	
row_21	GREM1	NA	1823	0.09331492334604263	0.16611831	Yes	
row_22	MYL9	NA	1849	0.09254008531570435	0.17325641	Yes	
row_23	FAP	NA	2084	0.08577939867973328	0.16626254	Yes	
row_24	THY1	NA	2108	0.08525221794843674	0.1728405	Yes	
row_25	FAS	NA	2131	0.08458035439252853	0.17941947	Yes	
row_26	MXRA5	NA	2136	0.08448705077171326	0.18715167	Yes	
row_27	FSTL3	NA	2222	0.08242431282997131	0.1894596	Yes	
row_28	JUN	NA	2230	0.08228091895580292	0.19678947	Yes	
row_29	NID2	NA	2278	0.08113283663988113	0.20142846	Yes	
