NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFKB1	NA	221	0.534905195236206	0.0053147823	Yes	
row_1	LCK	NA	263	0.5169625878334045	0.02156871	Yes	
row_2	SLAMF1	NA	351	0.4853655993938446	0.033704616	Yes	
row_3	RNF144B	NA	403	0.47044309973716736	0.04761409	Yes	
row_4	IRF7	NA	485	0.45179980993270874	0.058909662	Yes	
row_5	EIF2AK2	NA	681	0.4218125641345978	0.06176573	Yes	
row_6	RGS1	NA	757	0.4068095088005066	0.071803406	Yes	
row_7	NMI	NA	790	0.4009643495082855	0.08439734	Yes	
row_8	CCR7	NA	875	0.3898036479949951	0.093233705	Yes	
row_9	OPRK1	NA	876	0.38980090618133545	0.107480936	Yes	
row_10	IL7R	NA	1013	0.37434545159339905	0.11240265	Yes	
row_11	CSF3	NA	1027	0.37280306220054626	0.1251912	Yes	
row_12	TACR3	NA	1276	0.3421653211116791	0.121722095	Yes	
row_13	GPR132	NA	1598	0.313352108001709	0.112497464	Yes	
row_14	CD40	NA	1599	0.31330573558807373	0.1239488	Yes	
row_15	SELENOS	NA	1640	0.3105686902999878	0.13272344	Yes	
row_16	SLC1A2	NA	1681	0.3077564835548401	0.1413953	Yes	
row_17	SPHK1	NA	1703	0.30629411339759827	0.1512376	Yes	
row_18	P2RX4	NA	1783	0.30077943205833435	0.15714222	Yes	
row_19	AHR	NA	2023	0.2823302149772644	0.15206587	Yes	
row_20	PIK3R5	NA	2159	0.27438727021217346	0.15339853	Yes	
row_21	IFNAR1	NA	2299	0.26512712240219116	0.15413506	Yes	
row_22	ADORA2B	NA	2306	0.2647702097892761	0.16342592	Yes	
row_23	NAMPT	NA	2464	0.25527483224868774	0.16264285	Yes	
row_24	SELE	NA	2529	0.2520500123500824	0.16773264	Yes	
row_25	GCH1	NA	2572	0.24971795082092285	0.17415436	Yes	
row_26	TLR2	NA	2687	0.24366790056228638	0.17571695	Yes	
row_27	GP1BA	NA	2700	0.24264009296894073	0.18381245	Yes	
row_28	MARCO	NA	2831	0.2349487841129303	0.18402572	Yes	
row_29	ABCA1	NA	2914	0.23127631843090057	0.18719673	Yes	
row_30	CD82	NA	3050	0.22366413474082947	0.18667544	Yes	
row_31	AQP9	NA	3211	0.21504315733909607	0.18422866	Yes	
row_32	TPBG	NA	3229	0.21386399865150452	0.19095032	Yes	
row_33	LYN	NA	3303	0.21037107706069946	0.19393699	Yes	
row_34	C3AR1	NA	3386	0.2064010202884674	0.19619882	Yes	
row_35	ATP2C1	NA	3387	0.20636975765228271	0.20374164	Yes	
row_36	CSF3R	NA	3465	0.20278798043727875	0.20619348	Yes	
row_37	PROK2	NA	3470	0.20249761641025543	0.21333711	Yes	
row_38	LCP2	NA	3494	0.20129498839378357	0.21921287	Yes	
row_39	IL18R1	NA	3503	0.20070143043994904	0.22603318	Yes	
row_40	SLC7A2	NA	3641	0.19207462668418884	0.22422847	Yes	
row_41	ICOSLG	NA	3696	0.1894264668226242	0.22767353	Yes	
row_42	OSM	NA	3899	0.18017728626728058	0.22124691	Yes	
row_43	GNAI3	NA	3934	0.1786615252494812	0.22558685	Yes	
row_44	GPC3	NA	4153	0.16976313292980194	0.21774891	Yes	
row_45	IL18RAP	NA	4171	0.16847054660320282	0.22281145	Yes	
row_46	BDKRB1	NA	4186	0.16786715388298035	0.22804517	Yes	
row_47	IL15	NA	4265	0.16467265784740448	0.22903948	Yes	
row_48	IL10	NA	4298	0.16358385980129242	0.23295714	Yes	
row_49	ACVR2A	NA	4369	0.16098329424858093	0.23433195	Yes	
row_50	MEP1A	NA	4523	0.15438058972358704	0.23011886	No	
row_51	ITGB3	NA	4672	0.14856982231140137	0.22601546	No	
row_52	NPFFR2	NA	4827	0.14132831990718842	0.22126089	No	
row_53	SLC31A1	NA	4939	0.13663889467716217	0.21910483	No	
row_54	MXD1	NA	5219	0.12409380823373795	0.20566829	No	
row_55	NMUR1	NA	5303	0.11993850022554398	0.20470549	No	
row_56	PSEN1	NA	5417	0.11529119312763214	0.20164034	No	
row_57	RHOG	NA	5562	0.10932369530200958	0.19636016	No	
row_58	SRI	NA	5615	0.10724694281816483	0.19693038	No	
row_59	NFKBIA	NA	5695	0.1040712520480156	0.1956453	No	
row_60	SEMA4D	NA	5814	0.09947672486305237	0.19168004	No	
row_61	VIP	NA	6241	0.08111833781003952	0.16720353	No	
row_62	RASGRP1	NA	6289	0.07912024110555649	0.16706781	No	
row_63	IL4R	NA	6372	0.07585498690605164	0.16455817	No	
row_64	IFNGR2	NA	6399	0.07483404874801636	0.16561854	No	
row_65	CALCRL	NA	6484	0.07153596729040146	0.1628222	No	
row_66	SLC7A1	NA	6841	0.057002585381269455	0.1419734	No	
row_67	ROS1	NA	6850	0.056695323437452316	0.1435303	No	
row_68	TNFSF15	NA	6868	0.055744729936122894	0.14447269	No	
row_69	IL10RA	NA	6909	0.054195936769247055	0.1438769	No	
row_70	CCL22	NA	6927	0.05346857011318207	0.1447361	No	
row_71	IL2RB	NA	6965	0.05199288949370384	0.14425303	No	
row_72	IL15RA	NA	6968	0.05180107802152634	0.14601754	No	
row_73	LAMP3	NA	7155	0.04440950229763985	0.13565925	No	
row_74	MET	NA	7281	0.03961269557476044	0.12905505	No	
row_75	RIPK2	NA	7428	0.03331252932548523	0.12086783	No	
