NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STOM	NA	44	0.25321248173713684	0.02164521	No	
row_1	SLC66A3	NA	381	0.1638173907995224	0.015809096	No	
row_2	SCARB1	NA	418	0.15977078676223755	0.028935295	No	
row_3	PTCD3	NA	1134	0.11574168503284454	-0.0059994124	No	
row_4	ITIH5	NA	1243	0.11105417460203171	-0.0022286037	No	
row_5	CRAT	NA	1450	0.10354076325893402	-0.0055064578	No	
row_6	REEP5	NA	1469	0.10305348038673401	0.0032968207	No	
row_7	MYLK	NA	1748	0.09522106498479843	-0.0054303473	No	
row_8	ACAA2	NA	1850	0.09248568117618561	-0.0030033884	No	
row_9	COQ3	NA	1879	0.09161826223134995	0.004049071	No	
row_10	ARL4A	NA	2011	0.0879286378622055	0.0041000387	No	
row_11	CCNG2	NA	2080	0.08585277199745178	0.00801454	No	
row_12	NABP1	NA	2250	0.08151920884847641	0.0049943104	No	
row_13	REEP6	NA	2344	0.07972794771194458	0.0067037884	No	
row_14	COQ5	NA	2809	0.06936550885438919	-0.016522642	No	
row_15	ACADS	NA	2921	0.06729559600353241	-0.017176494	No	
row_16	ESYT1	NA	3003	0.06590768694877625	-0.016029187	No	
row_17	MDH2	NA	3004	0.06589610129594803	-0.009657531	No	
row_18	PLIN2	NA	3039	0.06532943993806839	-0.0055340743	No	
row_19	PTGER3	NA	3101	0.06426037102937698	-0.003255811	No	
row_20	GADD45A	NA	3289	0.06128305196762085	-0.00939394	No	
row_21	ACADL	NA	3307	0.06094140559434891	-0.0045980695	No	
row_22	CPT2	NA	3347	0.06037169322371483	-0.0012765488	No	
row_23	DNAJC15	NA	3416	0.05930163711309433	7.065833E-5	No	
row_24	HADH	NA	3492	0.0581425279378891	8.542045E-4	No	
row_25	ACO2	NA	3504	0.05792495980858803	0.0057454794	No	
row_26	ATP5PO	NA	3596	0.05625853314995766	0.005314666	No	
row_27	COQ9	NA	3631	0.05579381808638573	0.0085161	No	
row_28	ANGPTL4	NA	3668	0.055174630135297775	0.01152864	No	
row_29	GHITM	NA	3729	0.05414963513612747	0.012893783	No	
row_30	IDH3A	NA	3749	0.0538579598069191	0.016875714	No	
row_31	ITSN1	NA	3770	0.053622402250766754	0.020770356	No	
row_32	CS	NA	3817	0.05287737771868706	0.02291565	No	
row_33	PPARG	NA	4220	0.04666435346007347	0.0014939306	No	
row_34	CHCHD10	NA	4253	0.04611974209547043	0.0038889786	No	
row_35	NDUFA5	NA	4440	0.04348701238632202	-0.0039053808	No	
row_36	ITGA7	NA	4461	0.04309342801570892	-0.0010288109	No	
row_37	UCK1	NA	4556	0.04162156954407692	-0.0030684439	No	
row_38	NDUFAB1	NA	4577	0.04134787991642952	-3.6065516E-4	No	
row_39	CAVIN1	NA	4601	0.04086354002356529	0.0021067658	No	
row_40	SAMM50	NA	4622	0.04053714871406555	0.0047361627	No	
row_41	NDUFS3	NA	4723	0.03898992761969566	0.002054998	No	
row_42	SDHC	NA	4866	0.037246380001306534	-0.0035042572	No	
row_43	PDCD4	NA	4909	0.03659125417470932	-0.0026756616	No	
row_44	SUCLG1	NA	4984	0.035677507519721985	-0.0039998014	No	
row_45	SDHB	NA	5062	0.03456040099263191	-0.0056254924	No	
row_46	RNF11	NA	5250	0.03186705708503723	-0.014607926	No	
row_47	LPL	NA	5343	0.03054206818342209	-0.01758984	No	
row_48	HSPB8	NA	5347	0.030480794608592987	-0.014836112	No	
row_49	MGLL	NA	5416	0.02964436635375023	-0.016356539	No	
row_50	GRPEL1	NA	5468	0.028747117146849632	-0.016867021	No	
row_51	PGM1	NA	5492	0.028426695615053177	-0.015602149	No	
row_52	CD151	NA	5530	0.027865484356880188	-0.015294709	No	
row_53	GPD2	NA	5802	0.024032320827245712	-0.030453708	No	
row_54	ADCY6	NA	5834	0.023465346544981003	-0.030184656	No	
row_55	RREB1	NA	6147	0.01933732070028782	-0.048442617	No	
row_56	PHLDB1	NA	6219	0.01817314699292183	-0.05126576	No	
row_57	SQOR	NA	6256	0.01769375242292881	-0.05187734	No	
row_58	TANK	NA	6259	0.0176223311573267	-0.050302416	No	
row_59	IMMT	NA	6413	0.015521327033638954	-0.05867195	No	
row_60	RAB34	NA	6456	0.014983643777668476	-0.05993265	No	
row_61	GPAT4	NA	6759	0.010667971335351467	-0.07838375	No	
row_62	MAP4K3	NA	6934	0.008503256365656853	-0.08878663	No	
row_63	DLD	NA	6958	0.008244196884334087	-0.089473255	No	
row_64	CMPK1	NA	7113	0.006247004494071007	-0.09880406	No	
row_65	ECHS1	NA	7385	0.002847392112016678	-0.11601148	No	
row_66	LTC4S	NA	7436	0.0022867207881063223	-0.11901597	No	
row_67	MGST3	NA	7652	-6.103602354414761E-4	-0.13282703	No	
row_68	NMT1	NA	7878	-0.0033665576484054327	-0.1470167	No	
row_69	ANGPT1	NA	8213	-0.00788036361336708	-0.16780172	No	
row_70	TALDO1	NA	8324	-0.00948367454111576	-0.17398104	No	
row_71	CAVIN2	NA	8327	-0.009517996571958065	-0.17318974	No	
row_72	SSPN	NA	8375	-0.010177023708820343	-0.17523776	No	
row_73	PPM1B	NA	8495	-0.011804241687059402	-0.1817733	No	
row_74	CHUK	NA	8507	-0.011909049935638905	-0.18133143	No	
row_75	ATP1B3	NA	8528	-0.012167769484221935	-0.18144514	No	
row_76	PRDX3	NA	8642	-0.013626177795231342	-0.18741743	No	
row_77	BAZ2A	NA	8721	-0.01452813483774662	-0.19104461	No	
row_78	PPP1R15B	NA	8942	-0.01745133101940155	-0.20354983	No	
row_79	GBE1	NA	9117	-0.01955617219209671	-0.21288398	No	
row_80	JAGN1	NA	9502	-0.02464599907398224	-0.23527348	No	
row_81	DLAT	NA	9605	-0.026123348623514175	-0.23932777	No	
row_82	TKT	NA	9639	-0.026566484943032265	-0.23888789	No	
row_83	CDKN2C	NA	9789	-0.028471415862441063	-0.24574721	No	
row_84	HIBCH	NA	10324	-0.03599650412797928	-0.276716	No	
row_85	SCP2	NA	10438	-0.03724418208003044	-0.28040463	No	
row_86	SLC25A10	NA	10482	-0.03792935609817505	-0.27951115	No	
row_87	DHCR7	NA	10513	-0.03829874098300934	-0.2777433	No	
row_88	AGPAT3	NA	10534	-0.03859196603298187	-0.275302	No	
row_89	TOB1	NA	10608	-0.039527419954538345	-0.2761894	No	
row_90	CD36	NA	10629	-0.03987713158130646	-0.2736238	No	
row_91	AIFM1	NA	10673	-0.04033161699771881	-0.27249804	No	
row_92	LPCAT3	NA	10690	-0.040559057146310806	-0.2696085	No	
row_93	LAMA4	NA	10732	-0.0412006601691246	-0.2682697	No	
row_94	PHYH	NA	10875	-0.04316766932606697	-0.2732564	No	
row_95	DECR1	NA	10924	-0.04383227229118347	-0.27211472	No	
row_96	BCL2L13	NA	10935	-0.04400783032178879	-0.26850462	No	
row_97	COL4A1	NA	11041	-0.0457942895591259	-0.27085042	No	
row_98	SLC5A6	NA	11117	-0.047016389667987823	-0.27114266	No	
row_99	SPARCL1	NA	11174	-0.047857679426670074	-0.27012786	No	
row_100	YWHAG	NA	11523	-0.05373240262269974	-0.2873825	Yes	
row_101	MRPL15	NA	11568	-0.05432466045022011	-0.28496826	Yes	
row_102	RIOK3	NA	11578	-0.05448063835501671	-0.280281	Yes	
row_103	PEX14	NA	11627	-0.05539068579673767	-0.27802172	Yes	
row_104	G3BP2	NA	11665	-0.05595631152391434	-0.2749981	Yes	
